received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:39,AD4AFE,,,,,,392.0,47.69,64.0,GS,1574871579
2019-11-27 16:19:42,AD4AFE,,41.45868,-88.4363,11425.0,,,,,,1574871582
2019-11-27 16:19:49,AD4AFE,,,,,,392.0,47.79,0.0,GS,1574871589
2019-11-27 16:20:44,AD4AFE,,41.53413,-88.32526999999999,10800.0,,,,,,1574871644
2019-11-27 16:21:16,AD4AFE,,,,,,392.0,47.99,-256.0,GS,1574871676
2019-11-27 16:21:31,AD4AFE,,41.59117,-88.24104,10450.0,,,,,,1574871691
2019-11-27 16:22:06,AD4AFE,,,,,,388.0,48.44,0.0,GS,1574871726
2019-11-27 16:22:23,AD4AFE,,,,,,,,,,1574871743
2019-11-27 16:22:25,AD4AFE,AAL1734,,,,,388.0,48.13,64.0,GS,1574871745
2019-11-27 16:22:27,AD4AFE,AAL1734,41.65768,-88.14169,10450.0,,,,,,1574871747
2019-11-27 16:22:27,AD4AFE,AAL1734,41.65837,-88.14063,10450.0,,,,,,1574871747
2019-11-27 16:22:29,AD4AFE,AAL1734,,,,,388.0,48.02,0.0,GS,1574871749
2019-11-27 16:22:29,AD4AFE,AAL1734,,,,,388.0,48.02,0.0,GS,1574871749
2019-11-27 16:22:37,AD4AFE,AAL1734,,,,,388.0,48.23,0.0,GS,1574871757
2019-11-27 16:22:43,AD4AFE,AAL1734,,,,,,,,,1574871763
2019-11-27 16:22:45,AD4AFE,AAL1734,,,,,388.0,48.23,-128.0,GS,1574871765
2019-11-27 16:22:50,AD4AFE,AAL1734,41.68585,-88.09956,10400.0,,,,,,1574871770
2019-11-27 16:22:51,AD4AFE,AAL1734,41.68703,-88.0978,10425.0,,,,,,1574871771
2019-11-27 16:22:52,AD4AFE,AAL1734,41.687940000000005,-88.09643,10400.0,,,,,,1574871772
2019-11-27 16:22:53,AD4AFE,AAL1734,,,,,379.0,48.42,0.0,GS,1574871773
2019-11-27 16:22:53,AD4AFE,AAL1734,,,,,,,,,1574871773
2019-11-27 16:22:55,AD4AFE,AAL1734,,,,,376.0,48.44,0.0,GS,1574871775
2019-11-27 16:22:55,AD4AFE,AAL1734,41.691559999999996,-88.09100000000001,10425.0,,,,,,1574871775
2019-11-27 16:22:56,AD4AFE,AAL1734,,,,,376.0,48.56,-64.0,GS,1574871776
2019-11-27 16:22:58,AD4AFE,AAL1734,,,,,373.0,48.58,-64.0,GS,1574871778
2019-11-27 16:22:58,AD4AFE,AAL1734,41.69498,-88.08582,10425.0,,,,,,1574871778
2019-11-27 16:22:58,AD4AFE,AAL1734,,,,,373.0,48.58,-64.0,GS,1574871778
2019-11-27 16:23:07,AD4AFE,AAL1734,41.705059999999996,-88.07059,10425.0,,,,,,1574871787
2019-11-27 16:23:16,AD4AFE,AAL1734,,,,,351.0,48.46,-64.0,GS,1574871796
2019-11-27 16:23:17,AD4AFE,AAL1734,,,,,350.0,48.35,-128.0,GS,1574871797
2019-11-27 16:23:25,AD4AFE,AAL1734,41.724059999999994,-88.04205999999999,10425.0,,,,,,1574871805
2019-11-27 16:23:25,AD4AFE,AAL1734,,,,,340.0,48.21,0.0,GS,1574871805
2019-11-27 16:23:25,AD4AFE,AAL1734,,,,,339.0,48.34,0.0,GS,1574871805
2019-11-27 16:23:26,AD4AFE,AAL1734,41.725190000000005,-88.04035,10400.0,,,,,,1574871806
2019-11-27 16:23:29,AD4AFE,AAL1734,41.72817,-88.03581,10400.0,,,,,,1574871809
2019-11-27 16:23:33,AD4AFE,AAL1734,,,,,332.0,48.29,-192.0,GS,1574871813
2019-11-27 16:23:35,AD4AFE,AAL1734,41.73413,-88.02696,10400.0,,,,,,1574871815
2019-11-27 16:23:44,AD4AFE,AAL1734,,,,,323.0,48.13,-1216.0,GS,1574871824
2019-11-27 16:23:49,AD4AFE,AAL1734,41.74828,-88.00591999999999,10175.0,,,,,,1574871829
2019-11-27 16:23:51,AD4AFE,AAL1734,,,,,321.0,48.03,-1088.0,GS,1574871831
2019-11-27 16:23:53,AD4AFE,AAL1734,41.752140000000004,-88.00017,10100.0,,,,,,1574871833
