received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:18,AD526C,,41.88409,-87.7302,7100.0,,,,,,1574871558
2019-11-27 16:19:18,AD526C,,,,,,317.0,90.18,-704.0,GS,1574871558
2019-11-27 16:19:22,AD526C,,,,,,315.0,90.0,-960.0,GS,1574871562
2019-11-27 16:19:22,AD526C,,41.88409,-87.72215,7050.0,,,,,,1574871562
2019-11-27 16:19:22,AD526C,,,,,,315.0,90.0,-1024.0,GS,1574871562
2019-11-27 16:19:23,AD526C,,41.88412,-87.72117,7050.0,,,,,,1574871563
2019-11-27 16:19:24,AD526C,,41.88409,-87.71728,7000.0,,,,,,1574871564
2019-11-27 16:19:25,AD526C,,,,,,315.0,90.18,-1280.0,GS,1574871565
2019-11-27 16:19:26,AD526C,,41.88412,-87.71516,6975.0,,,,,,1574871566
2019-11-27 16:19:26,AD526C,,41.88407,-87.71395,6975.0,,,,,,1574871566
2019-11-27 16:19:26,AD526C,,,,,,315.0,90.18,-1344.0,GS,1574871566
2019-11-27 16:19:27,AD526C,,41.88407,-87.71299,6950.0,,,,,,1574871567
2019-11-27 16:19:27,AD526C,,,,,,315.0,90.18,-1408.0,GS,1574871567
2019-11-27 16:19:27,AD526C,,,,,,315.0,90.18,-1344.0,GS,1574871567
2019-11-27 16:19:27,AD526C,,41.88409,-87.71122,6950.0,,,,,,1574871567
2019-11-27 16:19:28,AD526C,,41.88407,-87.71024,6925.0,,,,,,1574871568
2019-11-27 16:19:29,AD526C,,,,,,315.0,90.18,-1344.0,GS,1574871569
2019-11-27 16:19:29,AD526C,,41.88407,-87.70833,6900.0,,,,,,1574871569
2019-11-27 16:19:29,AD526C,,,,,,315.0,90.18,-1344.0,GS,1574871569
2019-11-27 16:19:30,AD526C,,,,,,315.0,90.18,-1344.0,GS,1574871570
2019-11-27 16:19:30,AD526C,,,,,,315.0,90.18,-1344.0,GS,1574871570
2019-11-27 16:19:31,AD526C,,41.88407,-87.70558,6875.0,,,,,,1574871571
2019-11-27 16:19:31,AD526C,,,,,,315.0,90.18,-1344.0,GS,1574871571
2019-11-27 16:19:34,AD526C,,41.88405,-87.69799,6800.0,,,,,,1574871574
2019-11-27 16:19:36,AD526C,,,,,,314.0,90.0,-1088.0,GS,1574871576
2019-11-27 16:19:37,AD526C,,,,,,314.0,90.0,-1088.0,GS,1574871577
2019-11-27 16:19:37,AD526C,,,,,,314.0,90.0,-1088.0,GS,1574871577
2019-11-27 16:19:37,AD526C,,,,,,,,,,1574871577
2019-11-27 16:19:38,AD526C,AAL2864,41.88405,-87.69119,6725.0,,,,,,1574871578
2019-11-27 16:19:38,AD526C,AAL2864,41.88407,-87.69019,6725.0,,,,,,1574871578
2019-11-27 16:19:40,AD526C,AAL2864,,,,,313.0,89.82,-1216.0,GS,1574871580
2019-11-27 16:19:41,AD526C,AAL2864,41.88407,-87.68553,6675.0,,,,,,1574871581
2019-11-27 16:19:41,AD526C,AAL2864,,,,,313.0,90.0,-1216.0,GS,1574871581
2019-11-27 16:19:42,AD526C,AAL2864,,,,,313.0,89.82,-1280.0,GS,1574871582
2019-11-27 16:19:42,AD526C,AAL2864,41.88409,-87.68281999999999,6650.0,,,,,,1574871582
2019-11-27 16:19:43,AD526C,AAL2864,,,,,313.0,89.82,-1280.0,GS,1574871583
2019-11-27 16:19:43,AD526C,AAL2864,41.88409,-87.68207,6625.0,,,,,,1574871583
2019-11-27 16:19:53,AD526C,AAL2864,41.88409,-87.66154,6425.0,,,,,,1574871593
2019-11-27 16:19:56,AD526C,AAL2864,,,,,310.0,90.18,-1024.0,GS,1574871596
2019-11-27 16:19:57,AD526C,AAL2864,,,,,310.0,90.18,-1088.0,GS,1574871597
2019-11-27 16:19:58,AD526C,AAL2864,41.88407,-87.65289,6350.0,,,,,,1574871598
2019-11-27 16:19:59,AD526C,AAL2864,,,,,310.0,90.37,-1152.0,GS,1574871599
2019-11-27 16:20:01,AD526C,AAL2864,,,,,309.0,90.37,-1216.0,GS,1574871601
2019-11-27 16:20:02,AD526C,AAL2864,,,,,309.0,90.56,-1280.0,GS,1574871602
2019-11-27 16:20:04,AD526C,AAL2864,41.88398,-87.64088000000001,6225.0,,,,,,1574871604
2019-11-27 16:20:05,AD526C,AAL2864,,,,,308.0,90.74,-1216.0,GS,1574871605
2019-11-27 16:20:06,AD526C,AAL2864,,,,,308.0,90.74,-1216.0,GS,1574871606
2019-11-27 16:20:10,AD526C,AAL2864,,,,,308.0,90.56,-1344.0,GS,1574871610
2019-11-27 16:20:11,AD526C,AAL2864,41.88389,-87.62676,6075.0,,,,,,1574871611
2019-11-27 16:20:14,AD526C,AAL2864,41.88384,-87.62159,6025.0,,,,,,1574871614
2019-11-27 16:20:18,AD526C,AAL2864,,,,,308.0,90.19,-1600.0,GS,1574871618
2019-11-27 16:20:19,AD526C,AAL2864,41.883790000000005,-87.61265,5875.0,,,,,,1574871619
2019-11-27 16:20:19,AD526C,AAL2864,41.883790000000005,-87.6115,5875.0,,,,,,1574871619
2019-11-27 16:20:20,AD526C,AAL2864,41.883790000000005,-87.61054,5850.0,,,,,,1574871620
2019-11-27 16:20:21,AD526C,AAL2864,41.88382,-87.60879,5825.0,,,,,,1574871621
2019-11-27 16:20:21,AD526C,AAL2864,41.88382,-87.60804,5825.0,,,,,,1574871621
2019-11-27 16:20:29,AD526C,AAL2864,,,,,309.0,89.81,-1344.0,GS,1574871629
2019-11-27 16:20:33,AD526C,AAL2864,41.883790000000005,-87.58473000000001,5525.0,,,,,,1574871633
2019-11-27 16:20:36,AD526C,AAL2864,,,,,309.0,90.0,-832.0,GS,1574871636
2019-11-27 16:20:42,AD526C,AAL2864,41.88384,-87.56926999999999,5425.0,,,,,,1574871642
2019-11-27 16:21:09,AD526C,AAL2864,,,,,304.0,89.81,0.0,GS,1574871669
2019-11-27 16:21:25,AD526C,AAL2864,41.88389,-87.4863,5400.0,,,,,,1574871685
2019-11-27 16:21:28,AD526C,AAL2864,,,,,,,,,1574871688
2019-11-27 16:21:36,AD526C,AAL2864,41.88629,-87.46815,5450.0,,,,,,1574871696
2019-11-27 16:21:37,AD526C,AAL2864,41.886520000000004,-87.46721,5450.0,,,,,,1574871697
2019-11-27 16:21:46,AD526C,AAL2864,41.891940000000005,-87.45322,5425.0,,,,,,1574871706
2019-11-27 16:21:48,AD526C,AAL2864,,,,,258.0,52.07,0.0,GS,1574871708
2019-11-27 16:21:54,AD526C,AAL2864,41.89836,-87.44395,5450.0,,,,,,1574871714
2019-11-27 16:21:55,AD526C,AAL2864,41.89893,-87.44343,5450.0,,,,,,1574871715
2019-11-27 16:21:58,AD526C,AAL2864,,,,,246.0,33.75,128.0,GS,1574871718
2019-11-27 16:22:08,AD526C,AAL2864,41.9122,-87.43475,5425.0,,,,,,1574871728
2019-11-27 16:22:18,AD526C,AAL2864,,,,,224.0,9.76,192.0,GS,1574871738
2019-11-27 16:22:26,AD526C,AAL2864,41.929790000000004,-87.43086,5450.0,,,,,,1574871746
2019-11-27 16:22:34,AD526C,AAL2864,,,,,205.0,344.74,-128.0,GS,1574871754
2019-11-27 16:23:22,AD526C,AAL2864,41.958659999999995,-87.47545,5425.0,,,,,,1574871802
2019-11-27 16:24:05,AD526C,AAL2864,41.96553,-87.52096,5425.0,,,,,,1574871845
2019-11-27 16:24:09,AD526C,AAL2864,,,,,159.0,275.75,64.0,GS,1574871849
2019-11-27 16:24:38,AD526C,AAL2864,,,,,148.0,268.45,128.0,GS,1574871878
2019-11-27 16:24:56,AD526C,AAL2864,,,,,144.0,269.6,0.0,GS,1574871896
2019-11-27 16:25:21,AD526C,AAL2864,,,,,146.0,270.0,0.0,GS,1574871921
2019-11-27 16:25:25,AD526C,AAL2864,41.965990000000005,-87.59536999999999,5425.0,,,,,,1574871925
2019-11-27 16:25:26,AD526C,AAL2864,,,,,146.0,270.78,0.0,GS,1574871926
2019-11-27 16:25:26,AD526C,AAL2864,41.965990000000005,-87.5963,5425.0,,,,,,1574871926
2019-11-27 16:25:27,AD526C,AAL2864,41.965959999999995,-87.59711999999999,5425.0,,,,,,1574871927
2019-11-27 16:25:29,AD526C,AAL2864,,,,,147.0,270.78,-64.0,GS,1574871929
2019-11-27 16:25:30,AD526C,AAL2864,,,,,147.0,270.78,-128.0,GS,1574871930
2019-11-27 16:25:30,AD526C,AAL2864,41.965990000000005,-87.59985999999999,5425.0,,,,,,1574871930
2019-11-27 16:25:32,AD526C,AAL2864,,,,,148.0,269.61,-256.0,GS,1574871932
2019-11-27 16:25:32,AD526C,AAL2864,,,,,,,,,1574871932
2019-11-27 16:25:34,AD526C,AAL2864,41.966,-87.60351,5400.0,,,,,,1574871934
2019-11-27 16:25:35,AD526C,AAL2864,,,,,149.0,270.0,-768.0,GS,1574871935
2019-11-27 16:25:37,AD526C,AAL2864,,,,,151.0,270.38,-768.0,GS,1574871937
2019-11-27 16:25:37,AD526C,AAL2864,41.966,-87.60587,5350.0,,,,,,1574871937
2019-11-27 16:25:37,AD526C,AAL2864,,,,,151.0,270.38,-768.0,GS,1574871937
2019-11-27 16:25:37,AD526C,AAL2864,,,,,,,,,1574871937
2019-11-27 16:25:38,AD526C,AAL2864,,,,,151.0,270.38,-704.0,GS,1574871938
2019-11-27 16:25:38,AD526C,AAL2864,41.966,-87.60734000000001,5350.0,,,,,,1574871938
2019-11-27 16:25:40,AD526C,AAL2864,,,,,152.0,270.0,-640.0,GS,1574871940
2019-11-27 16:25:41,AD526C,AAL2864,41.966,-87.60951999999999,5325.0,,,,,,1574871941
2019-11-27 16:25:41,AD526C,AAL2864,,,,,152.0,270.0,-512.0,GS,1574871941
2019-11-27 16:25:42,AD526C,AAL2864,,,,,152.0,269.62,-448.0,GS,1574871942
2019-11-27 16:25:42,AD526C,AAL2864,41.966,-87.61054,5300.0,,,,,,1574871942
2019-11-27 16:25:42,AD526C,AAL2864,41.965990000000005,-87.61104,5300.0,,,,,,1574871942
2019-11-27 16:25:42,AD526C,AAL2864,,,,,,,,,1574871942
2019-11-27 16:25:43,AD526C,AAL2864,41.965990000000005,-87.61140999999999,5300.0,,,,,,1574871943
2019-11-27 16:25:44,AD526C,AAL2864,,,,,151.0,269.62,-384.0,GS,1574871944
2019-11-27 16:25:44,AD526C,AAL2864,,,,,151.0,269.62,-448.0,GS,1574871944
2019-11-27 16:25:45,AD526C,AAL2864,41.966,-87.61335,5275.0,,,,,,1574871945
2019-11-27 16:25:45,AD526C,AAL2864,41.966,-87.61392,5275.0,,,,,,1574871945
2019-11-27 16:25:46,AD526C,AAL2864,,,,,150.0,269.62,-448.0,GS,1574871946
2019-11-27 16:25:47,AD526C,AAL2864,41.966,-87.61494,5275.0,,,,,,1574871947
2019-11-27 16:25:47,AD526C,AAL2864,,,,,150.0,269.62,-512.0,GS,1574871947
2019-11-27 16:25:47,AD526C,AAL2864,,,,,,,,,1574871947
2019-11-27 16:25:48,AD526C,AAL2864,,,,,149.0,269.62,-640.0,GS,1574871948
2019-11-27 16:25:49,AD526C,AAL2864,,,,,148.0,270.0,-704.0,GS,1574871949
2019-11-27 16:25:49,AD526C,AAL2864,41.966,-87.61712,5250.0,,,,,,1574871949
2019-11-27 16:25:49,AD526C,AAL2864,41.966,-87.6175,5250.0,,,,,,1574871949
2019-11-27 16:25:51,AD526C,AAL2864,,,,,147.0,270.0,-768.0,GS,1574871951
2019-11-27 16:25:51,AD526C,AAL2864,,,,,147.0,270.0,-704.0,GS,1574871951
2019-11-27 16:25:51,AD526C,AAL2864,41.965990000000005,-87.61934000000001,5225.0,,,,,,1574871951
