received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:35:26,AD9F7F,,41.82669,-86.82027,12450.0,,,,,,1574872526
2019-11-27 16:36:39,AD9F7F,,,,,,252.0,299.41,-1664.0,GS,1574872599
2019-11-27 16:36:46,AD9F7F,,,,,,252.0,299.21,-1600.0,GS,1574872606
2019-11-27 16:37:04,AD9F7F,,,,,,,,,,1574872624
2019-11-27 16:37:06,AD9F7F,AAL738,41.910509999999995,-86.92121,10775.0,,,,,,1574872626
2019-11-27 16:42:08,AD9F7F,AAL738,,,,,174.0,270.33,64.0,GS,1574872928
2019-11-27 16:42:20,AD9F7F,AAL738,,,,,161.0,270.36,-128.0,GS,1574872940
2019-11-27 16:42:20,AD9F7F,AAL738,41.98233,-87.33051,9450.0,,,,,,1574872940
2019-11-27 16:42:22,AD9F7F,AAL738,41.98233,-87.33232,9450.0,,,,,,1574872942
2019-11-27 16:42:26,AD9F7F,AAL738,,,,,154.0,270.74,448.0,GS,1574872946
2019-11-27 16:42:36,AD9F7F,AAL738,,,,,150.0,270.38,-192.0,GS,1574872956
2019-11-27 16:42:37,AD9F7F,AAL738,,,,,150.0,270.38,-256.0,GS,1574872957
2019-11-27 16:42:42,AD9F7F,AAL738,,,,,150.0,270.38,-448.0,GS,1574872962
2019-11-27 16:42:47,AD9F7F,AAL738,,,,,149.0,270.38,-448.0,GS,1574872967
2019-11-27 16:42:52,AD9F7F,AAL738,41.98253,-87.36046999999999,9350.0,,,,,,1574872972
2019-11-27 16:43:00,AD9F7F,AAL738,41.98256,-87.3674,9300.0,,,,,,1574872980
2019-11-27 16:43:06,AD9F7F,AAL738,,,,,144.0,270.4,-512.0,GS,1574872986
2019-11-27 16:43:26,AD9F7F,AAL738,41.98274,-87.39031,9025.0,,,,,,1574873006
2019-11-27 16:43:35,AD9F7F,AAL738,41.98279,-87.39843,8900.0,,,,,,1574873015
2019-11-27 16:44:13,AD9F7F,AAL738,41.983000000000004,-87.43105,8250.0,,,,,,1574873053
2019-11-27 16:44:17,AD9F7F,AAL738,,,,,132.0,270.0,-960.0,GS,1574873057
2019-11-27 16:44:28,AD9F7F,AAL738,,,,,134.0,270.0,-832.0,GS,1574873068
2019-11-27 16:44:40,AD9F7F,AAL738,,,,,139.0,270.0,-832.0,GS,1574873080
2019-11-27 16:44:46,AD9F7F,AAL738,,,,,,,,,1574873086
2019-11-27 16:44:48,AD9F7F,AAL738,,,,,140.0,270.0,-704.0,GS,1574873088
2019-11-27 16:44:55,AD9F7F,AAL738,,,,,143.0,270.0,-640.0,GS,1574873095
2019-11-27 16:45:07,AD9F7F,AAL738,,,,,145.0,270.4,-768.0,GS,1574873107
2019-11-27 16:45:13,AD9F7F,AAL738,41.983059999999995,-87.48245,7450.0,,,,,,1574873113
2019-11-27 16:45:14,AD9F7F,AAL738,41.983059999999995,-87.48326,7450.0,,,,,,1574873114
2019-11-27 16:45:15,AD9F7F,AAL738,,,,,146.0,270.39,-704.0,GS,1574873115
2019-11-27 16:45:16,AD9F7F,AAL738,41.983109999999996,-87.48581999999999,7400.0,,,,,,1574873116
