received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:36:21,ADB65B,,42.00269,-87.77604000000001,2950.0,,,,,,1574872581
2019-11-27 16:36:25,ADB65B,,,,,,,,,,1574872585
2019-11-27 16:36:28,ADB65B,DAL1709,42.0027,-87.78201,2850.0,,,,,,1574872588
2019-11-27 16:36:39,ADB65B,DAL1709,42.00269,-87.79149,2750.0,,,,,,1574872599
2019-11-27 16:36:40,ADB65B,DAL1709,,,,,134.0,269.57,-960.0,GS,1574872600
2019-11-27 16:36:48,ADB65B,DAL1709,,,,,118.0,270.0,-832.0,GS,1574872608
2019-11-27 16:36:57,ADB65B,DAL1709,,,,,113.0,270.0,-704.0,GS,1574872617
2019-11-27 16:36:59,ADB65B,DAL1709,42.00269,-87.80631,2475.0,,,,,,1574872619
2019-11-27 16:37:05,ADB65B,DAL1709,,,,,115.0,270.5,-448.0,GS,1574872625
2019-11-27 16:37:05,ADB65B,DAL1709,,,,,115.0,270.5,-448.0,GS,1574872625
2019-11-27 16:37:05,ADB65B,DAL1709,,,,,,,,,1574872625
2019-11-27 16:37:07,ADB65B,DAL1709,42.00273,-87.81219,2400.0,,,,,,1574872627
2019-11-27 16:37:09,ADB65B,DAL1709,42.00278,-87.81334,2400.0,,,,,,1574872629
2019-11-27 16:37:09,ADB65B,DAL1709,,,,,114.0,271.51,-512.0,GS,1574872629
2019-11-27 16:37:13,ADB65B,DAL1709,42.002790000000005,-87.81628,2350.0,,,,,,1574872633
2019-11-27 16:37:13,ADB65B,DAL1709,42.00278,-87.8166,2350.0,,,,,,1574872633
2019-11-27 16:37:16,ADB65B,DAL1709,42.002790000000005,-87.81846,2325.0,,,,,,1574872636
2019-11-27 16:37:17,ADB65B,DAL1709,42.002829999999996,-87.81877,2300.0,,,,,,1574872637
2019-11-27 16:37:19,ADB65B,DAL1709,42.002829999999996,-87.82011,2300.0,,,,,,1574872639
2019-11-27 16:37:20,ADB65B,DAL1709,,,,,,,,,1574872640
2019-11-27 16:37:25,ADB65B,DAL1709,42.002790000000005,-87.82396,2250.0,,,,,,1574872645
2019-11-27 16:37:26,ADB65B,DAL1709,42.00278,-87.82515,2225.0,,,,,,1574872646
2019-11-27 16:37:28,ADB65B,DAL1709,42.00278,-87.82643,2200.0,,,,,,1574872648
2019-11-27 16:37:30,ADB65B,DAL1709,,,,,104.0,270.55,-576.0,GS,1574872650
2019-11-27 16:37:31,ADB65B,DAL1709,,,,,106.0,270.0,-576.0,GS,1574872651
2019-11-27 16:37:31,ADB65B,DAL1709,42.00278,-87.82848,2175.0,,,,,,1574872651
2019-11-27 16:37:32,ADB65B,DAL1709,,,,,107.0,269.46,-512.0,GS,1574872652
2019-11-27 16:37:33,ADB65B,DAL1709,,,,,107.0,269.46,-576.0,GS,1574872653
2019-11-27 16:37:33,ADB65B,DAL1709,42.00278,-87.8295,2150.0,,,,,,1574872653
2019-11-27 16:37:33,ADB65B,DAL1709,,,,,107.0,269.46,-576.0,GS,1574872653
2019-11-27 16:37:34,ADB65B,DAL1709,,,,,107.0,269.46,-640.0,GS,1574872654
2019-11-27 16:37:34,ADB65B,DAL1709,42.002790000000005,-87.83045,2125.0,,,,,,1574872654
2019-11-27 16:37:35,ADB65B,DAL1709,,,,,,,,,1574872655
2019-11-27 16:37:35,ADB65B,DAL1709,,,,,107.0,268.93,-576.0,GS,1574872655
2019-11-27 16:37:36,ADB65B,DAL1709,42.00275,-87.83145,2125.0,,,,,,1574872656
2019-11-27 16:37:36,ADB65B,DAL1709,42.00278,-87.8318,2125.0,,,,,,1574872656
2019-11-27 16:37:37,ADB65B,DAL1709,42.00275,-87.83238,2100.0,,,,,,1574872657
2019-11-27 16:37:38,ADB65B,DAL1709,42.00273,-87.83301,2100.0,,,,,,1574872658
2019-11-27 16:37:39,ADB65B,DAL1709,42.00273,-87.83333,2100.0,,,,,,1574872659
2019-11-27 16:37:39,ADB65B,DAL1709,42.00275,-87.8337,2075.0,,,,,,1574872659
2019-11-27 16:37:43,ADB65B,DAL1709,,,,,110.0,270.0,-576.0,GS,1574872663
2019-11-27 16:37:43,ADB65B,DAL1709,,,,,110.0,270.0,-512.0,GS,1574872663
2019-11-27 16:37:43,ADB65B,DAL1709,42.00275,-87.8365,2050.0,,,,,,1574872663
2019-11-27 16:37:44,ADB65B,DAL1709,,,,,111.0,270.52,-448.0,GS,1574872664
2019-11-27 16:37:44,ADB65B,DAL1709,42.00278,-87.83723,2050.0,,,,,,1574872664
2019-11-27 16:37:45,ADB65B,DAL1709,,,,,,,,,1574872665
2019-11-27 16:37:46,ADB65B,DAL1709,42.00275,-87.83863000000001,2025.0,,,,,,1574872666
2019-11-27 16:37:48,ADB65B,DAL1709,42.00278,-87.84004,2000.0,,,,,,1574872668
2019-11-27 16:37:49,ADB65B,DAL1709,42.00275,-87.84062,1975.0,,,,,,1574872669
2019-11-27 16:37:51,ADB65B,DAL1709,42.002790000000005,-87.84206,1975.0,,,,,,1574872671
2019-11-27 16:37:53,ADB65B,DAL1709,,,,,115.0,270.5,-576.0,GS,1574872673
2019-11-27 16:37:53,ADB65B,DAL1709,42.00278,-87.84355,1950.0,,,,,,1574872673
2019-11-27 16:37:53,ADB65B,DAL1709,,,,,115.0,270.5,-640.0,GS,1574872673
2019-11-27 16:37:54,ADB65B,DAL1709,42.00278,-87.84387,1950.0,,,,,,1574872674
2019-11-27 16:37:55,ADB65B,DAL1709,42.00278,-87.84508000000001,1925.0,,,,,,1574872675
2019-11-27 16:38:00,ADB65B,DAL1709,42.00278,-87.84808000000001,1875.0,,,,,,1574872680
2019-11-27 16:38:00,ADB65B,DAL1709,,,,,121.0,270.0,-640.0,GS,1574872680
2019-11-27 16:38:00,ADB65B,DAL1709,42.002790000000005,-87.84843000000001,1875.0,,,,,,1574872680
2019-11-27 16:38:01,ADB65B,DAL1709,,,,,122.0,270.0,-768.0,GS,1574872681
2019-11-27 16:38:02,ADB65B,DAL1709,,,,,122.0,270.0,-640.0,GS,1574872682
2019-11-27 16:38:02,ADB65B,DAL1709,42.002790000000005,-87.84999,1850.0,,,,,,1574872682
2019-11-27 16:38:05,ADB65B,DAL1709,,,,,,,,,1574872685
2019-11-27 16:38:05,ADB65B,DAL1709,,,,,121.0,269.53,-640.0,GS,1574872685
2019-11-27 16:38:07,ADB65B,DAL1709,,,,,119.0,270.0,-576.0,GS,1574872687
2019-11-27 16:38:08,ADB65B,DAL1709,,,,,117.0,270.49,-512.0,GS,1574872688
2019-11-27 16:38:08,ADB65B,DAL1709,,,,,117.0,270.49,-448.0,GS,1574872688
2019-11-27 16:38:09,ADB65B,DAL1709,42.002790000000005,-87.85473,1775.0,,,,,,1574872689
2019-11-27 16:38:09,ADB65B,DAL1709,,,,,115.0,270.5,-512.0,GS,1574872689
2019-11-27 16:38:09,ADB65B,DAL1709,42.00278,-87.85543,1775.0,,,,,,1574872689
