received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:59:21,ADC180,,42.1171,-89.16847,33000.0,,,,,,1574873961
2019-11-27 16:59:39,ADC180,,,,,,,,,,1574873979
2019-11-27 17:00:42,ADC180,DAL2286,,,,,550.0,137.8,0.0,GS,1574874042
2019-11-27 17:01:20,ADC180,DAL2286,,,,,,,,,1574874080
2019-11-27 17:02:19,ADC180,DAL2286,,,,,554.0,137.85,0.0,GS,1574874139
2019-11-27 17:02:32,ADC180,DAL2286,,,,,554.0,138.0,0.0,GS,1574874152
2019-11-27 17:02:47,ADC180,DAL2286,,,,,553.0,138.07,0.0,GS,1574874167
2019-11-27 17:03:01,ADC180,DAL2286,41.70117,-88.66391,33000.0,,,,,,1574874181
2019-11-27 17:03:20,ADC180,DAL2286,,,,,,,,,1574874200
2019-11-27 17:03:22,ADC180,DAL2286,,,,,555.0,137.92,64.0,GS,1574874202
2019-11-27 17:03:30,ADC180,DAL2286,,,,,555.0,137.84,0.0,GS,1574874210
2019-11-27 17:04:22,ADC180,DAL2286,,,,,550.0,138.09,-896.0,GS,1574874262
2019-11-27 17:04:31,ADC180,DAL2286,41.52948,-88.45815,32650.0,,,,,,1574874271
2019-11-27 17:04:40,ADC180,DAL2286,41.51157,-88.43682,32525.0,,,,,,1574874280
2019-11-27 17:04:46,ADC180,DAL2286,,,,,551.0,138.16,-768.0,GS,1574874286
2019-11-27 17:05:17,ADC180,DAL2286,41.44099,-88.35295,32050.0,,,,,,1574874317
2019-11-27 17:05:23,ADC180,DAL2286,41.42875,-88.33838,31975.0,,,,,,1574874323
2019-11-27 17:05:26,ADC180,DAL2286,,,,,565.0,138.3,-704.0,GS,1574874326
2019-11-27 17:05:38,ADC180,DAL2286,,,,,566.0,138.15,-768.0,GS,1574874338
2019-11-27 17:06:00,ADC180,DAL2286,,,,,567.0,138.36,-832.0,GS,1574874360
2019-11-27 17:06:19,ADC180,DAL2286,41.31995,-88.20954,31250.0,,,,,,1574874379
2019-11-27 17:06:21,ADC180,DAL2286,,,,,568.0,138.07,-768.0,GS,1574874381
2019-11-27 17:06:22,ADC180,DAL2286,,,,,568.0,138.07,-768.0,GS,1574874382
2019-11-27 17:06:29,ADC180,DAL2286,,,,,569.0,138.27,-768.0,GS,1574874389
2019-11-27 17:06:52,ADC180,DAL2286,41.255340000000004,-88.13314,30800.0,,,,,,1574874412
2019-11-27 17:07:23,ADC180,DAL2286,,,,,568.0,138.43,-832.0,GS,1574874443
2019-11-27 17:07:26,ADC180,DAL2286,,,,,,,,,1574874446
2019-11-27 17:08:10,ADC180,DAL2286,,,,,563.0,138.53,-768.0,GS,1574874490
2019-11-27 17:11:01,ADC180,DAL2286,,,,,550.0,138.76,-1600.0,GS,1574874661
2019-11-27 17:11:46,ADC180,DAL2286,,,,,542.0,138.88,-2816.0,GS,1574874706
2019-11-27 17:12:15,ADC180,DAL2286,,,,,539.0,138.83,-2816.0,GS,1574874735
2019-11-27 17:12:26,ADC180,DAL2286,40.607240000000004,-87.37957,23450.0,,,,,,1574874746
2019-11-27 17:12:29,ADC180,DAL2286,,,,,530.0,138.82,-2752.0,GS,1574874749
