received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:22:49,ADC57D,,,,,,137.0,270.42,-576.0,GS,1574875369
2019-11-27 17:23:20,ADC57D,,,,,,136.0,269.58,-832.0,GS,1574875400
2019-11-27 17:23:36,ADC57D,,42.00278,-87.80400999999999,2500.0,,,,,,1574875416
2019-11-27 17:23:42,ADC57D,,,,,,114.0,270.5,-704.0,GS,1574875422
2019-11-27 17:23:44,ADC57D,,,,,,,,,,1574875424
2019-11-27 17:23:48,ADC57D,DAL2486,,,,,110.0,268.96,-640.0,GS,1574875428
2019-11-27 17:23:56,ADC57D,DAL2486,42.00278,-87.81749,2275.0,,,,,,1574875436
2019-11-27 17:24:03,ADC57D,DAL2486,,,,,94.0,269.39,-448.0,GS,1574875443
2019-11-27 17:24:05,ADC57D,DAL2486,,,,,,,,,1574875445
2019-11-27 17:24:05,ADC57D,DAL2486,,,,,93.0,269.38,-320.0,GS,1574875445
2019-11-27 17:24:12,ADC57D,DAL2486,,,,,100.0,270.57,-576.0,GS,1574875452
2019-11-27 17:24:13,ADC57D,DAL2486,,,,,101.0,271.13,-512.0,GS,1574875453
2019-11-27 17:24:15,ADC57D,DAL2486,,,,,,,,,1574875455
2019-11-27 17:24:17,ADC57D,DAL2486,42.00275,-87.83014,2125.0,,,,,,1574875457
2019-11-27 17:24:17,ADC57D,DAL2486,,,,,100.0,269.43,-576.0,GS,1574875457
2019-11-27 17:24:18,ADC57D,DAL2486,,,,,100.0,269.43,-704.0,GS,1574875458
2019-11-27 17:24:18,ADC57D,DAL2486,42.00273,-87.83078,2100.0,,,,,,1574875458
2019-11-27 17:24:19,ADC57D,DAL2486,,,,,99.0,269.42,-704.0,GS,1574875459
2019-11-27 17:24:19,ADC57D,DAL2486,42.00273,-87.83166999999999,2100.0,,,,,,1574875459
2019-11-27 17:24:21,ADC57D,DAL2486,42.00273,-87.83263000000001,2075.0,,,,,,1574875461
2019-11-27 17:24:26,ADC57D,DAL2486,42.00275,-87.83588,2025.0,,,,,,1574875466
2019-11-27 17:24:27,ADC57D,DAL2486,,,,,99.0,271.16,-512.0,GS,1574875467
2019-11-27 17:24:30,ADC57D,DAL2486,42.002790000000005,-87.83832,2000.0,,,,,,1574875470
2019-11-27 17:24:31,ADC57D,DAL2486,,,,,101.0,270.57,-256.0,GS,1574875471
2019-11-27 17:24:31,ADC57D,DAL2486,,,,,101.0,270.57,-320.0,GS,1574875471
2019-11-27 17:24:35,ADC57D,DAL2486,42.002829999999996,-87.84119,1950.0,,,,,,1574875475
2019-11-27 17:24:35,ADC57D,DAL2486,,,,,99.0,270.0,-832.0,GS,1574875475
2019-11-27 17:24:35,ADC57D,DAL2486,,,,,99.0,270.0,-768.0,GS,1574875475
2019-11-27 17:24:36,ADC57D,DAL2486,,,,,98.0,270.0,-768.0,GS,1574875476
2019-11-27 17:24:38,ADC57D,DAL2486,,,,,97.0,269.41,-768.0,GS,1574875478
2019-11-27 17:24:39,ADC57D,DAL2486,,,,,97.0,269.41,-704.0,GS,1574875479
2019-11-27 17:24:41,ADC57D,DAL2486,,,,,98.0,270.0,-448.0,GS,1574875481
2019-11-27 17:24:41,ADC57D,DAL2486,,,,,98.0,270.0,-448.0,GS,1574875481
2019-11-27 17:24:42,ADC57D,DAL2486,,,,,99.0,270.0,-448.0,GS,1574875482
2019-11-27 17:24:46,ADC57D,DAL2486,,,,,106.0,271.62,-448.0,GS,1574875486
2019-11-27 17:24:46,ADC57D,DAL2486,42.00284,-87.84836999999999,1850.0,,,,,,1574875486
2019-11-27 17:24:46,ADC57D,DAL2486,,,,,106.0,271.62,-448.0,GS,1574875486
2019-11-27 17:24:47,ADC57D,DAL2486,42.00284,-87.84899,1825.0,,,,,,1574875487
2019-11-27 17:24:49,ADC57D,DAL2486,,,,,106.0,270.0,-576.0,GS,1574875489
2019-11-27 17:24:49,ADC57D,DAL2486,42.002829999999996,-87.85025999999999,1825.0,,,,,,1574875489
2019-11-27 17:24:50,ADC57D,DAL2486,42.002790000000005,-87.85061,1800.0,,,,,,1574875490
2019-11-27 17:24:50,ADC57D,DAL2486,42.002829999999996,-87.85096,1800.0,,,,,,1574875490
2019-11-27 17:24:55,ADC57D,DAL2486,42.002790000000005,-87.8543,1750.0,,,,,,1574875495
2019-11-27 17:25:01,ADC57D,DAL2486,,,,,111.0,270.52,-576.0,GS,1574875501
2019-11-27 17:25:01,ADC57D,DAL2486,42.002790000000005,-87.85854,1700.0,,,,,,1574875501
2019-11-27 17:25:08,ADC57D,DAL2486,,,,,111.0,270.0,-576.0,GS,1574875508
2019-11-27 17:25:08,ADC57D,DAL2486,42.00278,-87.86341,1625.0,,,,,,1574875508
2019-11-27 17:25:09,ADC57D,DAL2486,,,,,110.0,270.0,-640.0,GS,1574875509
2019-11-27 17:25:09,ADC57D,DAL2486,,,,,,,,,1574875509
2019-11-27 17:25:09,ADC57D,DAL2486,,,,,110.0,270.0,-768.0,GS,1574875509
2019-11-27 17:25:10,ADC57D,DAL2486,,,,,108.0,270.0,-704.0,GS,1574875510
2019-11-27 17:25:11,ADC57D,DAL2486,42.00278,-87.86501,1600.0,,,,,,1574875511
2019-11-27 17:25:12,ADC57D,DAL2486,42.002790000000005,-87.86591,1575.0,,,,,,1574875512
2019-11-27 17:25:13,ADC57D,DAL2486,42.002790000000005,-87.86622,1575.0,,,,,,1574875513
2019-11-27 17:25:13,ADC57D,DAL2486,,,,,105.0,268.91,-576.0,GS,1574875513
2019-11-27 17:25:14,ADC57D,DAL2486,,,,,104.0,269.45,-640.0,GS,1574875514
2019-11-27 17:25:17,ADC57D,DAL2486,,,,,102.0,268.88,-576.0,GS,1574875517
2019-11-27 17:25:17,ADC57D,DAL2486,42.00273,-87.86916,1525.0,,,,,,1574875517
2019-11-27 17:25:18,ADC57D,DAL2486,,,,,102.0,269.44,-704.0,GS,1574875518
