received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:18,ADDF01,,41.983740000000004,-87.73222,3525.0,,,,,,1574871558
2019-11-27 16:19:21,ADDF01,,41.983740000000004,-87.73445,3475.0,,,,,,1574871561
2019-11-27 16:19:22,ADDF01,,41.983740000000004,-87.73496,3475.0,,,,,,1574871562
2019-11-27 16:19:23,ADDF01,,41.98375,-87.73619000000001,3450.0,,,,,,1574871563
2019-11-27 16:19:25,ADDF01,,41.98375,-87.73738,3450.0,,,,,,1574871565
2019-11-27 16:19:25,ADDF01,,,,,,133.0,270.0,-832.0,GS,1574871565
2019-11-27 16:19:26,ADDF01,,,,,,132.0,270.0,-896.0,GS,1574871566
2019-11-27 16:19:26,ADDF01,,41.98379,-87.73886,3425.0,,,,,,1574871566
2019-11-27 16:19:27,ADDF01,,41.98375,-87.73931,3400.0,,,,,,1574871567
2019-11-27 16:19:29,ADDF01,,41.98379,-87.74122,3375.0,,,,,,1574871569
2019-11-27 16:19:29,ADDF01,,,,,,131.0,270.0,-640.0,GS,1574871569
2019-11-27 16:19:31,ADDF01,,41.98375,-87.74243,3350.0,,,,,,1574871571
2019-11-27 16:19:32,ADDF01,,,,,,130.0,268.68,-960.0,GS,1574871572
2019-11-27 16:19:35,ADDF01,,41.9837,-87.74574,3300.0,,,,,,1574871575
2019-11-27 16:19:35,ADDF01,,,,,,,,,,1574871575
2019-11-27 16:19:36,ADDF01,AAL2258,41.98369,-87.74620999999999,3275.0,,,,,,1574871576
2019-11-27 16:19:39,ADDF01,AAL2258,,,,,131.0,270.44,-640.0,GS,1574871579
2019-11-27 16:19:40,ADDF01,AAL2258,,,,,131.0,270.87,-576.0,GS,1574871580
2019-11-27 16:19:41,ADDF01,AAL2258,,,,,131.0,270.87,-704.0,GS,1574871581
2019-11-27 16:19:43,ADDF01,AAL2258,41.98379,-87.75189,3200.0,,,,,,1574871583
2019-11-27 16:19:47,ADDF01,AAL2258,,,,,131.0,270.44,-768.0,GS,1574871587
2019-11-27 16:19:57,ADDF01,AAL2258,41.98384,-87.7636,3025.0,,,,,,1574871597
2019-11-27 16:20:02,ADDF01,AAL2258,41.98383,-87.76722,2975.0,,,,,,1574871602
2019-11-27 16:20:02,ADDF01,AAL2258,,,,,124.0,270.46,-640.0,GS,1574871602
2019-11-27 16:20:03,ADDF01,AAL2258,,,,,124.0,270.46,-640.0,GS,1574871603
2019-11-27 16:20:06,ADDF01,AAL2258,41.98388,-87.77073,2900.0,,,,,,1574871606
2019-11-27 16:20:07,ADDF01,AAL2258,,,,,124.0,270.46,-896.0,GS,1574871607
2019-11-27 16:20:07,ADDF01,AAL2258,,,,,124.0,270.46,-1024.0,GS,1574871607
2019-11-27 16:20:15,ADDF01,AAL2258,,,,,,,,,1574871615
2019-11-27 16:20:15,ADDF01,AAL2258,41.98388,-87.77763,2800.0,,,,,,1574871615
2019-11-27 16:20:16,ADDF01,AAL2258,41.98388,-87.7784,2775.0,,,,,,1574871616
2019-11-27 16:20:22,ADDF01,AAL2258,,,,,123.0,270.93,-704.0,GS,1574871622
2019-11-27 16:20:23,ADDF01,AAL2258,,,,,122.0,270.47,-704.0,GS,1574871623
2019-11-27 16:20:25,ADDF01,AAL2258,,,,,,,,,1574871625
2019-11-27 16:20:26,ADDF01,AAL2258,,,,,119.0,269.52,-448.0,GS,1574871626
2019-11-27 16:20:26,ADDF01,AAL2258,,,,,119.0,269.52,-576.0,GS,1574871626
2019-11-27 16:20:27,ADDF01,AAL2258,41.98388,-87.78631999999999,2650.0,,,,,,1574871627
2019-11-27 16:20:28,ADDF01,AAL2258,,,,,117.0,269.02,-704.0,GS,1574871628
2019-11-27 16:20:29,ADDF01,AAL2258,,,,,115.0,269.5,-640.0,GS,1574871629
2019-11-27 16:20:34,ADDF01,AAL2258,,,,,114.0,270.0,-768.0,GS,1574871634
2019-11-27 16:20:37,ADDF01,AAL2258,,,,,113.0,268.99,-640.0,GS,1574871637
2019-11-27 16:20:44,ADDF01,AAL2258,41.9838,-87.79855,2450.0,,,,,,1574871644
2019-11-27 16:20:53,ADDF01,AAL2258,,,,,108.0,269.47,-640.0,GS,1574871653
2019-11-27 16:20:54,ADDF01,AAL2258,,,,,108.0,270.0,-512.0,GS,1574871654
2019-11-27 16:20:54,ADDF01,AAL2258,41.98379,-87.80523000000001,2350.0,,,,,,1574871654
2019-11-27 16:20:54,ADDF01,AAL2258,,,,,108.0,270.0,-448.0,GS,1574871654
2019-11-27 16:20:55,ADDF01,AAL2258,,,,,108.0,270.0,-448.0,GS,1574871655
2019-11-27 16:20:55,ADDF01,AAL2258,,,,,,,,,1574871655
2019-11-27 16:20:56,ADDF01,AAL2258,41.98379,-87.80676,2325.0,,,,,,1574871656
