received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:28:17,ADF194,,42.424170000000004,-87.22511999999999,10375.0,,,,,,1574872097
2019-11-27 16:44:53,ADF194,,,,,,134.0,270.0,-704.0,GS,1574873093
2019-11-27 16:46:17,ADF194,,42.002790000000005,-87.79874000000001,2575.0,,,,,,1574873177
2019-11-27 16:46:29,ADF194,,,,,,113.0,268.99,-384.0,GS,1574873189
2019-11-27 16:46:33,ADF194,,,,,,,,,,1574873193
2019-11-27 16:46:34,ADF194,AAL129,42.00273,-87.8104,2425.0,,,,,,1574873194
2019-11-27 16:46:37,ADF194,AAL129,42.00269,-87.8127,2400.0,,,,,,1574873197
2019-11-27 16:46:41,ADF194,AAL129,,,,,115.0,269.5,-640.0,GS,1574873201
2019-11-27 16:47:04,ADF194,AAL129,,,,,114.0,271.51,-448.0,GS,1574873224
2019-11-27 16:47:07,ADF194,AAL129,42.002790000000005,-87.83388000000001,2050.0,,,,,,1574873227
2019-11-27 16:47:08,ADF194,AAL129,,,,,115.0,271.0,-320.0,GS,1574873228
2019-11-27 16:47:08,ADF194,AAL129,,,,,,,,,1574873228
2019-11-27 16:47:08,ADF194,AAL129,42.00278,-87.83505,2025.0,,,,,,1574873228
2019-11-27 16:47:09,ADF194,AAL129,,,,,115.0,270.5,-320.0,GS,1574873229
2019-11-27 16:47:09,ADF194,AAL129,42.00278,-87.83530999999999,2025.0,,,,,,1574873229
2019-11-27 16:47:09,ADF194,AAL129,,,,,115.0,271.0,-448.0,GS,1574873229
2019-11-27 16:47:12,ADF194,AAL129,42.00284,-87.83775,2000.0,,,,,,1574873232
2019-11-27 16:47:15,ADF194,AAL129,,,,,114.0,271.51,-384.0,GS,1574873235
2019-11-27 16:47:18,ADF194,AAL129,,,,,111.0,270.0,-576.0,GS,1574873238
2019-11-27 16:47:21,ADF194,AAL129,42.00284,-87.84393,1925.0,,,,,,1574873241
