received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:21:00,04004A,,41.97339,-87.89084,,,,,,,1574871660
2019-11-27 16:21:00,04004A,,41.97338,-87.89085,,,,,,,1574871660
2019-11-27 16:21:02,04004A,,41.97335,-87.89084,,,,,,,1574871662
2019-11-27 16:21:05,04004A,,41.973290000000006,-87.89083000000001,,,,,,,1574871665
2019-11-27 16:21:06,04004A,,41.973240000000004,-87.89085,,,,,,,1574871666
2019-11-27 16:21:11,04004A,,41.97314,-87.89086,,,,,,,1574871671
2019-11-27 16:21:23,04004A,,41.97289,-87.89078,,,,,,,1574871683
2019-11-27 16:21:27,04004A,,41.97283,-87.89072,,,,,,,1574871687
2019-11-27 16:21:29,04004A,,41.972809999999996,-87.89067,,,,,,,1574871689
2019-11-27 16:21:31,04004A,,41.97279,-87.89064,,,,,,,1574871691
2019-11-27 16:21:40,04004A,,41.97271,-87.89043000000001,,,,,,,1574871700
2019-11-27 16:24:46,04004A,,,,,,,,,,1574871886
2019-11-27 16:24:49,04004A,ETH575,41.97269,-87.89033,,,,,,,1574871889
2019-11-27 16:25:03,04004A,ETH575,41.9727,-87.89048000000001,,,,,,,1574871903
2019-11-27 16:25:23,04004A,ETH575,41.9727,-87.89112,,,,,,,1574871923
2019-11-27 16:25:25,04004A,ETH575,41.97269,-87.89121999999999,,,,,,,1574871925
2019-11-27 16:25:27,04004A,ETH575,41.9727,-87.89133000000001,,,,,,,1574871927
2019-11-27 16:25:34,04004A,ETH575,41.9727,-87.89165,,,,,,,1574871934
2019-11-27 16:25:39,04004A,ETH575,41.97269,-87.89187,,,,,,,1574871939
2019-11-27 16:25:44,04004A,ETH575,41.9727,-87.89205,,,,,,,1574871944
2019-11-27 16:25:46,04004A,ETH575,41.97269,-87.89208,,,,,,,1574871946
2019-11-27 16:25:47,04004A,ETH575,41.9727,-87.89211,,,,,,,1574871947
2019-11-27 16:25:48,04004A,ETH575,41.9727,-87.89213000000001,,,,,,,1574871948
2019-11-27 16:25:49,04004A,ETH575,41.9727,-87.89213000000001,,,,,,,1574871949
2019-11-27 16:25:52,04004A,ETH575,41.97269,-87.8922,,,,,,,1574871952
2019-11-27 16:25:53,04004A,ETH575,41.9727,-87.89222,,,,,,,1574871953
2019-11-27 16:25:56,04004A,ETH575,41.97269,-87.89229,,,,,,,1574871956
2019-11-27 16:26:04,04004A,ETH575,41.97269,-87.8924,,,,,,,1574871964
2019-11-27 16:26:05,04004A,ETH575,41.9727,-87.8924,,,,,,,1574871965
2019-11-27 16:35:11,04004A,ETH575,41.9727,-87.89260999999999,,,,,,,1574872511
2019-11-27 16:35:17,04004A,ETH575,41.9727,-87.89276,,,,,,,1574872517
2019-11-27 16:35:25,04004A,ETH575,41.97269,-87.89304,,,,,,,1574872525
2019-11-27 16:35:30,04004A,ETH575,41.972609999999996,-87.89318,,,,,,,1574872530
2019-11-27 16:35:32,04004A,ETH575,41.972570000000005,-87.89323,,,,,,,1574872532
2019-11-27 16:35:38,04004A,ETH575,41.97242,-87.89329000000001,,,,,,,1574872538
2019-11-27 16:35:42,04004A,ETH575,41.97234,-87.89329000000001,,,,,,,1574872542
2019-11-27 16:35:44,04004A,ETH575,41.97228,-87.89328,,,,,,,1574872544
2019-11-27 16:35:45,04004A,ETH575,41.97224,-87.89326,,,,,,,1574872545
2019-11-27 16:35:50,04004A,ETH575,41.97215,-87.8932,,,,,,,1574872550
2019-11-27 16:35:50,04004A,ETH575,41.97214,-87.8932,,,,,,,1574872550
2019-11-27 16:35:51,04004A,ETH575,41.97211,-87.89317,,,,,,,1574872551
2019-11-27 16:35:52,04004A,ETH575,41.9721,-87.89315,,,,,,,1574872552
2019-11-27 16:35:52,04004A,ETH575,41.9721,-87.89315,,,,,,,1574872552
2019-11-27 16:35:53,04004A,ETH575,41.97209,-87.89314,,,,,,,1574872553
2019-11-27 16:35:53,04004A,ETH575,41.97208,-87.89313,,,,,,,1574872553
2019-11-27 16:36:18,04004A,ETH575,41.971940000000004,-87.89245,,,,,,,1574872578
2019-11-27 16:36:18,04004A,ETH575,41.971940000000004,-87.89243,,,,,,,1574872578
2019-11-27 16:36:19,04004A,ETH575,41.971940000000004,-87.89242,,,,,,,1574872579
2019-11-27 16:36:19,04004A,ETH575,,,,,,,,,1574872579
2019-11-27 16:36:58,04004A,ETH575,41.971959999999996,-87.89095,,,,,,,1574872618
2019-11-27 16:37:17,04004A,ETH575,41.971959999999996,-87.89041999999999,,,,,,,1574872637
2019-11-27 16:37:20,04004A,ETH575,41.971959999999996,-87.89039,,,,,,,1574872640
2019-11-27 16:37:21,04004A,ETH575,41.971959999999996,-87.89038000000001,,,,,,,1574872641
2019-11-27 16:41:56,04004A,ETH575,41.971959999999996,-87.88989000000001,,,,,,,1574872916
2019-11-27 16:51:23,04004A,ETH575,41.96935,-87.88407,,,,,,,1574873483
2019-11-27 16:51:27,04004A,ETH575,41.96917,-87.88413,,,,,,,1574873487
2019-11-27 16:51:28,04004A,ETH575,41.969159999999995,-87.88415,,,,,,,1574873488
2019-11-27 16:51:28,04004A,ETH575,41.96914,-87.88416,,,,,,,1574873488
2019-11-27 16:51:37,04004A,ETH575,41.96904,-87.88446,,,,,,,1574873497
2019-11-27 16:51:37,04004A,ETH575,41.96905,-87.88448000000001,,,,,,,1574873497
2019-11-27 16:51:38,04004A,ETH575,41.96904,-87.88450999999999,,,,,,,1574873498
2019-11-27 16:52:41,04004A,ETH575,41.96909,-87.88564000000001,,,,,,,1574873561
2019-11-27 16:52:55,04004A,ETH575,41.96906,-87.89056,1025.0,,,,,,1574873575
2019-11-27 16:53:03,04004A,ETH575,41.96908,-87.89522,1025.0,,,,,,1574873583
2019-11-27 16:53:03,04004A,ETH575,,,,,110.0,270.0,0.0,GS,1574873583
2019-11-27 16:53:06,04004A,ETH575,41.96908,-87.89784,1025.0,,,,,,1574873586
2019-11-27 16:53:08,04004A,ETH575,41.96908,-87.89893000000001,1025.0,,,,,,1574873588
2019-11-27 16:53:08,04004A,ETH575,,,,,125.0,270.0,0.0,GS,1574873588
2019-11-27 16:53:09,04004A,ETH575,41.96906,-87.89968,1025.0,,,,,,1574873589
2019-11-27 16:53:09,04004A,ETH575,,,,,128.0,270.0,0.0,GS,1574873589
2019-11-27 16:53:10,04004A,ETH575,,,,,131.0,270.0,0.0,GS,1574873590
2019-11-27 16:53:12,04004A,ETH575,,,,,137.0,270.0,0.0,GS,1574873592
2019-11-27 16:53:13,04004A,ETH575,41.96906,-87.90316999999999,1025.0,,,,,,1574873593
2019-11-27 16:53:13,04004A,ETH575,,,,,140.0,269.59,128.0,GS,1574873593
2019-11-27 16:53:13,04004A,ETH575,41.96906,-87.90366999999999,1000.0,,,,,,1574873593
2019-11-27 16:53:13,04004A,ETH575,,,,,140.0,269.59,128.0,GS,1574873593
2019-11-27 16:53:15,04004A,ETH575,41.96903,-87.90544,1025.0,,,,,,1574873595
2019-11-27 16:53:15,04004A,ETH575,,,,,145.0,269.6,128.0,GS,1574873595
2019-11-27 16:53:16,04004A,ETH575,,,,,147.0,270.39,256.0,GS,1574873596
2019-11-27 16:53:16,04004A,ETH575,41.96903,-87.90634,1050.0,,,,,,1574873596
2019-11-27 16:53:16,04004A,ETH575,,,,,147.0,270.39,256.0,GS,1574873596
2019-11-27 16:53:17,04004A,ETH575,41.96906,-87.90735,1075.0,,,,,,1574873597
2019-11-27 16:53:17,04004A,ETH575,,,,,150.0,270.76,384.0,GS,1574873597
2019-11-27 16:53:18,04004A,ETH575,,,,,,,,,1574873598
2019-11-27 16:53:18,04004A,ETH575,41.96908,-87.90781,1075.0,,,,,,1574873598
2019-11-27 16:53:18,04004A,ETH575,,,,,151.0,271.14,704.0,GS,1574873598
