received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:03:09,4D20F9,,41.6703,-87.56429,6475.0,,,,,,1574874189
2019-11-27 17:03:12,4D20F9,,,,,,,,,,1574874192
2019-11-27 17:03:12,4D20F9,VJT801,,,,,304.0,90.94,3712.0,GS,1574874192
2019-11-27 17:03:13,4D20F9,VJT801,,,,,305.0,90.75,3648.0,GS,1574874193
2019-11-27 17:03:43,4D20F9,VJT801,,,,,328.0,75.2,3904.0,GS,1574874223
2019-11-27 17:04:09,4D20F9,VJT801,,,,,341.0,75.23,3520.0,GS,1574874249
2019-11-27 17:04:15,4D20F9,VJT801,,,,,344.0,75.36,3584.0,GS,1574874255
2019-11-27 17:04:23,4D20F9,VJT801,,,,,348.0,75.37,3392.0,GS,1574874263
2019-11-27 17:04:52,4D20F9,VJT801,,,,,359.0,75.5,3584.0,GS,1574874292
2019-11-27 17:04:53,4D20F9,VJT801,,,,,360.0,75.54,3584.0,GS,1574874293
2019-11-27 17:04:57,4D20F9,VJT801,41.70792,-87.34591,13225.0,,,,,,1574874297
2019-11-27 17:05:04,4D20F9,VJT801,,,,,362.0,75.62,3328.0,GS,1574874304
2019-11-27 17:05:12,4D20F9,VJT801,,,,,366.0,75.62,3264.0,GS,1574874312
2019-11-27 17:05:14,4D20F9,VJT801,,,,,367.0,75.66,3328.0,GS,1574874314
2019-11-27 17:05:14,4D20F9,VJT801,41.71518,-87.30829,14200.0,,,,,,1574874314
2019-11-27 17:05:22,4D20F9,VJT801,,,,,,,,,1574874322
2019-11-27 17:05:22,4D20F9,VJT801,41.71853,-87.29078,14650.0,,,,,,1574874322
2019-11-27 17:05:37,4D20F9,VJT801,,,,,,,,,1574874337
2019-11-27 17:05:43,4D20F9,VJT801,,,,,379.0,75.67,3520.0,GS,1574874343
2019-11-27 17:05:46,4D20F9,VJT801,41.72891,-87.23694,16100.0,,,,,,1574874346
2019-11-27 17:05:47,4D20F9,VJT801,,,,,382.0,75.64,3136.0,GS,1574874347
2019-11-27 17:05:49,4D20F9,VJT801,,,,,384.0,75.53,2944.0,GS,1574874349
