received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:04:54,780C5D,,41.99415,-87.89824,,,,,,,1574874294
2019-11-27 17:05:17,780C5D,,41.99343,-87.89904,,,,,,,1574874317
2019-11-27 17:05:19,780C5D,,41.99337,-87.8991,,,,,,,1574874319
2019-11-27 17:05:19,780C5D,,41.99335,-87.89911,,,,,,,1574874319
2019-11-27 17:05:42,780C5D,,,,,,,,,,1574874342
2019-11-27 17:05:49,780C5D,CAO1056,41.99223,-87.90033000000001,,,,,,,1574874349
2019-11-27 17:05:49,780C5D,CAO1056,41.9922,-87.90035,,,,,,,1574874349
2019-11-27 17:05:50,780C5D,CAO1056,41.99216,-87.90035999999999,,,,,,,1574874350
2019-11-27 17:06:28,780C5D,CAO1056,41.990429999999996,-87.90041,,,,,,,1574874388
2019-11-27 17:07:08,780C5D,CAO1056,41.98997,-87.89853000000001,,,,,,,1574874428
2019-11-27 17:07:43,780C5D,CAO1056,41.989979999999996,-87.89575,,,,,,,1574874463
2019-11-27 17:16:42,780C5D,CAO1056,41.976859999999995,-87.89524,,,,,,,1574875002
2019-11-27 17:16:54,780C5D,CAO1056,,,,,,,,,1574875014
2019-11-27 17:17:06,780C5D,CAO1056,41.97535,-87.89524,,,,,,,1574875026
2019-11-27 17:17:14,780C5D,CAO1056,41.974940000000004,-87.89523,,,,,,,1574875034
2019-11-27 17:17:15,780C5D,CAO1056,,,,,,,,,1574875035
2019-11-27 17:18:28,780C5D,CAO1056,41.97238,-87.89551,,,,,,,1574875108
2019-11-27 17:18:33,780C5D,CAO1056,41.97218,-87.89534,,,,,,,1574875113
2019-11-27 17:18:36,780C5D,CAO1056,41.97211,-87.89524,,,,,,,1574875116
2019-11-27 17:18:56,780C5D,CAO1056,41.97195,-87.89416999999999,,,,,,,1574875136
2019-11-27 17:19:03,780C5D,CAO1056,41.971959999999996,-87.8937,,,,,,,1574875143
2019-11-27 17:20:29,780C5D,CAO1056,41.97123,-87.88927,,,,,,,1574875229
2019-11-27 17:20:53,780C5D,CAO1056,41.970490000000005,-87.88904000000001,,,,,,,1574875253
2019-11-27 17:20:59,780C5D,CAO1056,41.97045,-87.88885,,,,,,,1574875259
2019-11-27 17:27:40,780C5D,CAO1056,41.9704,-87.88436999999999,,,,,,,1574875660
2019-11-27 17:27:49,780C5D,CAO1056,41.97012,-87.88407,,,,,,,1574875669
2019-11-27 17:28:39,780C5D,CAO1056,41.96908,-87.88494,,,,,,,1574875719
2019-11-27 17:28:48,780C5D,CAO1056,41.96908,-87.88505,,,,,,,1574875728
2019-11-27 17:28:55,780C5D,CAO1056,41.96908,-87.88599,,,,,,,1574875735
2019-11-27 17:29:02,780C5D,CAO1056,41.9691,-87.88819000000001,1050.0,,,,,,1574875742
2019-11-27 17:29:05,780C5D,CAO1056,41.96908,-87.88967,1050.0,,,,,,1574875745
2019-11-27 17:29:07,780C5D,CAO1056,,,,,83.0,269.31,64.0,GS,1574875747
2019-11-27 17:29:10,780C5D,CAO1056,,,,,96.0,270.0,64.0,GS,1574875750
2019-11-27 17:29:10,780C5D,CAO1056,41.96906,-87.89256,1050.0,,,,,,1574875750
2019-11-27 17:29:17,780C5D,CAO1056,41.96906,-87.89749,1050.0,,,,,,1574875757
2019-11-27 17:29:17,780C5D,CAO1056,,,,,123.0,270.0,64.0,GS,1574875757
2019-11-27 17:29:18,780C5D,CAO1056,,,,,127.0,270.0,64.0,GS,1574875758
2019-11-27 17:29:18,780C5D,CAO1056,41.96906,-87.8983,1050.0,,,,,,1574875758
2019-11-27 17:29:20,780C5D,CAO1056,,,,,134.0,270.0,0.0,GS,1574875760
2019-11-27 17:29:21,780C5D,CAO1056,41.96908,-87.90116,1025.0,,,,,,1574875761
2019-11-27 17:29:23,780C5D,CAO1056,41.96908,-87.90302,1025.0,,,,,,1574875763
2019-11-27 17:29:24,780C5D,CAO1056,,,,,149.0,270.0,128.0,GS,1574875764
2019-11-27 17:29:26,780C5D,CAO1056,,,,,,,,,1574875766
2019-11-27 17:29:26,780C5D,CAO1056,,,,,155.0,269.63,384.0,GS,1574875766
2019-11-27 17:29:27,780C5D,CAO1056,,,,,158.0,269.27,320.0,GS,1574875767
2019-11-27 17:29:28,780C5D,CAO1056,41.96901,-87.90748,1075.0,,,,,,1574875768
2019-11-27 17:29:28,780C5D,CAO1056,,,,,161.0,269.29,512.0,GS,1574875768
2019-11-27 17:29:29,780C5D,CAO1056,,,,,164.0,269.3,640.0,GS,1574875769
2019-11-27 17:29:29,780C5D,CAO1056,41.96901,-87.90848000000001,1075.0,,,,,,1574875769
2019-11-27 17:29:30,780C5D,CAO1056,41.96903,-87.90947,1075.0,,,,,,1574875770
2019-11-27 17:29:31,780C5D,CAO1056,,,,,,,,,1574875771
2019-11-27 17:29:31,780C5D,CAO1056,41.96901,-87.91104,1125.0,,,,,,1574875771
2019-11-27 17:29:33,780C5D,CAO1056,41.96901,-87.91254,1125.0,,,,,,1574875773
2019-11-27 17:29:33,780C5D,CAO1056,,,,,169.0,269.32,2112.0,GS,1574875773
2019-11-27 17:29:33,780C5D,CAO1056,41.96898,-87.91317,1150.0,,,,,,1574875773
2019-11-27 17:29:34,780C5D,CAO1056,,,,,169.0,269.32,2368.0,GS,1574875774
2019-11-27 17:29:34,780C5D,CAO1056,41.968959999999996,-87.91378,1150.0,,,,,,1574875774
2019-11-27 17:29:35,780C5D,CAO1056,,,,,169.0,269.32,2496.0,GS,1574875775
2019-11-27 17:29:35,780C5D,CAO1056,41.96898,-87.91476999999999,1200.0,,,,,,1574875775
2019-11-27 17:29:35,780C5D,CAO1056,,,,,169.0,269.32,2560.0,GS,1574875775
2019-11-27 17:29:36,780C5D,CAO1056,,,,,169.0,268.98,2624.0,GS,1574875776
2019-11-27 17:29:36,780C5D,CAO1056,41.968959999999996,-87.91578,1250.0,,,,,,1574875776
2019-11-27 17:29:36,780C5D,CAO1056,,,,,,,,,1574875776
2019-11-27 17:29:37,780C5D,CAO1056,41.968959999999996,-87.91684000000001,1300.0,,,,,,1574875777
2019-11-27 17:29:38,780C5D,CAO1056,,,,,168.0,268.98,2752.0,GS,1574875778
2019-11-27 17:29:38,780C5D,CAO1056,41.968920000000004,-87.91803,1325.0,,,,,,1574875778
2019-11-27 17:29:38,780C5D,CAO1056,,,,,168.0,268.98,2752.0,GS,1574875778
2019-11-27 17:29:38,780C5D,CAO1056,41.968920000000004,-87.91853,1375.0,,,,,,1574875778
2019-11-27 17:29:39,780C5D,CAO1056,,,,,167.0,268.97,2752.0,GS,1574875779
2019-11-27 17:29:39,780C5D,CAO1056,,,,,167.0,268.97,2880.0,GS,1574875779
2019-11-27 17:29:40,780C5D,CAO1056,,,,,167.0,268.97,3008.0,GS,1574875780
2019-11-27 17:29:40,780C5D,CAO1056,41.96889,-87.92033,1475.0,,,,,,1574875780
2019-11-27 17:29:41,780C5D,CAO1056,41.96889,-87.92076999999999,1500.0,,,,,,1574875781
2019-11-27 17:29:41,780C5D,CAO1056,41.96887,-87.92121,1525.0,,,,,,1574875781
2019-11-27 17:29:41,780C5D,CAO1056,,,,,,,,,1574875781
2019-11-27 17:29:41,780C5D,CAO1056,41.96887,-87.92165,1550.0,,,,,,1574875781
2019-11-27 17:29:42,780C5D,CAO1056,,,,,166.0,268.96,3200.0,GS,1574875782
2019-11-27 17:29:42,780C5D,CAO1056,41.96887,-87.92215,1575.0,,,,,,1574875782
2019-11-27 17:29:42,780C5D,CAO1056,,,,,166.0,268.96,3200.0,GS,1574875782
2019-11-27 17:29:43,780C5D,CAO1056,41.96887,-87.92271,1600.0,,,,,,1574875783
2019-11-27 17:29:43,780C5D,CAO1056,,,,,166.0,268.96,3136.0,GS,1574875783
2019-11-27 17:29:43,780C5D,CAO1056,41.96884,-87.9232,1625.0,,,,,,1574875783
2019-11-27 17:29:43,780C5D,CAO1056,41.96887,-87.92365,1675.0,,,,,,1574875783
2019-11-27 17:29:44,780C5D,CAO1056,41.96884,-87.92409,1700.0,,,,,,1574875784
2019-11-27 17:29:44,780C5D,CAO1056,,,,,165.0,268.61,3136.0,GS,1574875784
2019-11-27 17:29:44,780C5D,CAO1056,,,,,165.0,268.61,3136.0,GS,1574875784
2019-11-27 17:29:45,780C5D,CAO1056,41.9688,-87.92511999999999,1750.0,,,,,,1574875785
2019-11-27 17:29:45,780C5D,CAO1056,,,,,165.0,268.26,3264.0,GS,1574875785
2019-11-27 17:29:46,780C5D,CAO1056,,,,,165.0,268.26,3456.0,GS,1574875786
2019-11-27 17:29:46,780C5D,CAO1056,,,,,,,,,1574875786
2019-11-27 17:29:46,780C5D,CAO1056,,,,,164.0,267.9,3456.0,GS,1574875786
2019-11-27 17:29:47,780C5D,CAO1056,41.96875,-87.92678000000001,1850.0,,,,,,1574875787
2019-11-27 17:29:47,780C5D,CAO1056,,,,,164.0,267.9,3392.0,GS,1574875787
2019-11-27 17:29:48,780C5D,CAO1056,,,,,164.0,267.9,3328.0,GS,1574875788
2019-11-27 17:29:48,780C5D,CAO1056,41.96873,-87.92827,1925.0,,,,,,1574875788
2019-11-27 17:29:49,780C5D,CAO1056,41.9687,-87.92926999999999,2000.0,,,,,,1574875789
2019-11-27 17:29:49,780C5D,CAO1056,,,,,164.0,267.9,3264.0,GS,1574875789
2019-11-27 17:29:50,780C5D,CAO1056,,,,,163.0,267.89,3264.0,GS,1574875790
2019-11-27 17:29:50,780C5D,CAO1056,41.96869,-87.9302,2050.0,,,,,,1574875790
2019-11-27 17:29:50,780C5D,CAO1056,,,,,163.0,267.89,3328.0,GS,1574875790
2019-11-27 17:29:50,780C5D,CAO1056,41.96864,-87.93075999999999,2075.0,,,,,,1574875790
2019-11-27 17:29:52,780C5D,CAO1056,,,,,162.0,267.53,3456.0,GS,1574875792
2019-11-27 17:29:52,780C5D,CAO1056,41.96861,-87.93253,2175.0,,,,,,1574875792
2019-11-27 17:29:53,780C5D,CAO1056,,,,,162.0,267.53,3584.0,GS,1574875793
2019-11-27 17:29:53,780C5D,CAO1056,,,,,161.0,267.16,3648.0,GS,1574875793
2019-11-27 17:29:54,780C5D,CAO1056,,,,,161.0,267.16,3712.0,GS,1574875794
2019-11-27 17:29:54,780C5D,CAO1056,41.96855,-87.93463,2300.0,,,,,,1574875794
2019-11-27 17:29:54,780C5D,CAO1056,,,,,160.0,267.14,3776.0,GS,1574875794
2019-11-27 17:29:55,780C5D,CAO1056,41.968509999999995,-87.93519,2350.0,,,,,,1574875795
2019-11-27 17:29:55,780C5D,CAO1056,,,,,160.0,267.14,3776.0,GS,1574875795
2019-11-27 17:29:55,780C5D,CAO1056,41.968509999999995,-87.93557,2375.0,,,,,,1574875795
2019-11-27 17:29:55,780C5D,CAO1056,,,,,160.0,267.14,3776.0,GS,1574875795
2019-11-27 17:29:56,780C5D,CAO1056,,,,,159.0,267.12,3776.0,GS,1574875796
2019-11-27 17:29:56,780C5D,CAO1056,41.96847,-87.9361,2400.0,,,,,,1574875796
2019-11-27 17:29:56,780C5D,CAO1056,,,,,,,,,1574875796
2019-11-27 17:29:56,780C5D,CAO1056,,,,,159.0,267.12,3776.0,GS,1574875796
2019-11-27 17:29:56,780C5D,CAO1056,41.96847,-87.93655,2450.0,,,,,,1574875796
2019-11-27 17:29:57,780C5D,CAO1056,,,,,158.0,267.1,3712.0,GS,1574875797
2019-11-27 17:29:57,780C5D,CAO1056,41.96843,-87.93700000000001,2475.0,,,,,,1574875797
2019-11-27 17:29:57,780C5D,CAO1056,41.96841,-87.9375,2500.0,,,,,,1574875797
2019-11-27 17:29:58,780C5D,CAO1056,41.96841,-87.93799999999999,2525.0,,,,,,1574875798
2019-11-27 17:29:58,780C5D,CAO1056,,,,,158.0,267.1,3648.0,GS,1574875798
2019-11-27 17:29:58,780C5D,CAO1056,41.96837,-87.93838000000001,2550.0,,,,,,1574875798
2019-11-27 17:29:59,780C5D,CAO1056,41.96832,-87.93938,2625.0,,,,,,1574875799
