received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:53:30,A067EC,,41.97566,-87.90659000000001,,,,,,,1574873610
2019-11-27 16:55:37,A067EC,,,,,,,,,,1574873737
2019-11-27 16:56:25,A067EC,SKW764P,41.97583,-87.90668000000001,,,,,,,1574873785
2019-11-27 16:56:26,A067EC,SKW764P,41.975840000000005,-87.90671,,,,,,,1574873786
2019-11-27 16:56:27,A067EC,SKW764P,41.97585,-87.90671,,,,,,,1574873787
2019-11-27 16:56:35,A067EC,SKW764P,41.97595,-87.90682,,,,,,,1574873795
2019-11-27 16:56:35,A067EC,SKW764P,41.975970000000004,-87.90682,,,,,,,1574873795
2019-11-27 16:56:37,A067EC,SKW764P,,,,,,,,,1574873797
2019-11-27 16:56:40,A067EC,SKW764P,41.97602,-87.90685,,,,,,,1574873800
2019-11-27 16:56:41,A067EC,SKW764P,41.97605,-87.90684,,,,,,,1574873801
2019-11-27 16:56:43,A067EC,SKW764P,41.97607,-87.90684,,,,,,,1574873803
2019-11-27 16:58:23,A067EC,SKW764P,41.976040000000005,-87.90706,,,,,,,1574873903
2019-11-27 16:59:38,A067EC,SKW764P,41.97541,-87.90979,,,,,,,1574873978
2019-11-27 17:04:57,A067EC,SKW764P,,,,,,,,,1574874297
2019-11-27 17:04:58,A067EC,SKW764P,41.9753,-87.91017,,,,,,,1574874298
2019-11-27 17:05:01,A067EC,SKW764P,41.975229999999996,-87.91027,,,,,,,1574874301
2019-11-27 17:05:05,A067EC,SKW764P,41.97507,-87.91041,,,,,,,1574874305
2019-11-27 17:05:10,A067EC,SKW764P,41.97481,-87.91056999999999,,,,,,,1574874310
2019-11-27 17:05:12,A067EC,SKW764P,,,,,,,,,1574874312
2019-11-27 17:05:18,A067EC,SKW764P,41.9744,-87.91078,,,,,,,1574874318
2019-11-27 17:05:20,A067EC,SKW764P,41.97428,-87.91079,,,,,,,1574874320
2019-11-27 17:05:22,A067EC,SKW764P,41.97419,-87.9108,,,,,,,1574874322
2019-11-27 17:05:24,A067EC,SKW764P,41.97405,-87.91076,,,,,,,1574874324
2019-11-27 17:05:27,A067EC,SKW764P,41.97392,-87.91068,,,,,,,1574874327
2019-11-27 17:05:28,A067EC,SKW764P,41.97387,-87.91065,,,,,,,1574874328
2019-11-27 17:05:28,A067EC,SKW764P,41.97385,-87.91063,,,,,,,1574874328
2019-11-27 17:05:29,A067EC,SKW764P,41.97379,-87.91056999999999,,,,,,,1574874329
2019-11-27 17:05:30,A067EC,SKW764P,41.97377,-87.91055,,,,,,,1574874330
2019-11-27 17:05:30,A067EC,SKW764P,41.973729999999996,-87.91051999999999,,,,,,,1574874330
2019-11-27 17:05:32,A067EC,SKW764P,41.97363,-87.9104,,,,,,,1574874332
2019-11-27 17:05:33,A067EC,SKW764P,41.97361,-87.91038,,,,,,,1574874333
2019-11-27 17:05:34,A067EC,SKW764P,41.97356,-87.91033,,,,,,,1574874334
2019-11-27 17:05:35,A067EC,SKW764P,41.973490000000005,-87.91023,,,,,,,1574874335
2019-11-27 17:05:36,A067EC,SKW764P,41.973440000000004,-87.91019,,,,,,,1574874336
2019-11-27 17:05:37,A067EC,SKW764P,,,,,,,,,1574874337
2019-11-27 17:05:37,A067EC,SKW764P,41.97343,-87.91017,,,,,,,1574874337
2019-11-27 17:05:37,A067EC,SKW764P,41.97341,-87.91014,,,,,,,1574874337
2019-11-27 17:05:38,A067EC,SKW764P,41.97338,-87.9101,,,,,,,1574874338
2019-11-27 17:05:40,A067EC,SKW764P,41.973279999999995,-87.90999000000001,,,,,,,1574874340
2019-11-27 17:05:40,A067EC,SKW764P,41.973259999999996,-87.90996,,,,,,,1574874340
2019-11-27 17:05:41,A067EC,SKW764P,41.97323,-87.90993,,,,,,,1574874341
2019-11-27 17:05:41,A067EC,SKW764P,41.973209999999995,-87.90991,,,,,,,1574874341
2019-11-27 17:05:42,A067EC,SKW764P,,,,,,,,,1574874342
2019-11-27 17:05:42,A067EC,SKW764P,41.97316,-87.90985,,,,,,,1574874342
2019-11-27 17:05:44,A067EC,SKW764P,41.97309,-87.90977,,,,,,,1574874344
2019-11-27 17:05:45,A067EC,SKW764P,41.97303,-87.90969,,,,,,,1574874345
2019-11-27 17:05:45,A067EC,SKW764P,41.973009999999995,-87.90966,,,,,,,1574874345
2019-11-27 17:05:46,A067EC,SKW764P,41.97299,-87.90964,,,,,,,1574874346
2019-11-27 17:05:46,A067EC,SKW764P,41.97296,-87.90961,,,,,,,1574874346
2019-11-27 17:05:48,A067EC,SKW764P,41.972879999999996,-87.9095,,,,,,,1574874348
2019-11-27 17:05:48,A067EC,SKW764P,41.97287,-87.90948,,,,,,,1574874348
2019-11-27 17:05:49,A067EC,SKW764P,41.97285,-87.90945,,,,,,,1574874349
2019-11-27 17:05:49,A067EC,SKW764P,41.9728,-87.90938,,,,,,,1574874349
2019-11-27 17:05:50,A067EC,SKW764P,41.972770000000004,-87.90935,,,,,,,1574874350
