received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:55,A1A63D,,41.973040000000005,-87.90801,,,,,,,1574871595
2019-11-27 16:20:13,A1A63D,,41.9733,-87.90873,,,,,,,1574871613
2019-11-27 16:20:18,A1A63D,,,,,,,,,,1574871618
2019-11-27 16:20:18,A1A63D,SKW5406,41.97339,-87.90889,,,,,,,1574871618
2019-11-27 16:20:20,A1A63D,SKW5406,41.97341,-87.90892,,,,,,,1574871620
2019-11-27 16:20:20,A1A63D,SKW5406,41.973420000000004,-87.90894,,,,,,,1574871620
2019-11-27 16:20:21,A1A63D,SKW5406,41.973420000000004,-87.90895,,,,,,,1574871621
2019-11-27 16:20:21,A1A63D,SKW5406,41.973420000000004,-87.90896,,,,,,,1574871621
2019-11-27 16:20:22,A1A63D,SKW5406,41.973420000000004,-87.90897,,,,,,,1574871622
2019-11-27 16:20:29,A1A63D,SKW5406,41.973440000000004,-87.90908,,,,,,,1574871629
2019-11-27 16:20:41,A1A63D,SKW5406,41.973420000000004,-87.90926,,,,,,,1574871641
2019-11-27 16:20:49,A1A63D,SKW5406,41.97331,-87.90945,,,,,,,1574871649
2019-11-27 16:20:51,A1A63D,SKW5406,41.97327,-87.90951,,,,,,,1574871651
2019-11-27 16:20:51,A1A63D,SKW5406,41.973259999999996,-87.90952,,,,,,,1574871651
2019-11-27 16:20:52,A1A63D,SKW5406,41.97323,-87.90956,,,,,,,1574871652
2019-11-27 16:20:53,A1A63D,SKW5406,41.97322,-87.90958,,,,,,,1574871653
2019-11-27 16:20:54,A1A63D,SKW5406,41.9732,-87.90961999999999,,,,,,,1574871654
2019-11-27 16:20:56,A1A63D,SKW5406,41.97313,-87.90973000000001,,,,,,,1574871656
2019-11-27 16:21:00,A1A63D,SKW5406,41.97299,-87.90993,,,,,,,1574871660
2019-11-27 16:21:02,A1A63D,SKW5406,41.97295,-87.91001,,,,,,,1574871662
2019-11-27 16:21:03,A1A63D,SKW5406,41.9729,-87.91004000000001,1050.0,,,,,,1574871663
2019-11-27 16:21:04,A1A63D,SKW5406,41.97289,-87.91011999999999,,,,,,,1574871664
2019-11-27 16:21:06,A1A63D,SKW5406,41.97283,-87.91020999999999,,,,,,,1574871666
2019-11-27 16:21:10,A1A63D,SKW5406,41.97275,-87.91035,,,,,,,1574871670
2019-11-27 16:21:10,A1A63D,SKW5406,41.97273,-87.91036,,,,,,,1574871670
2019-11-27 16:21:13,A1A63D,SKW5406,41.97267,-87.91044000000001,,,,,,,1574871673
2019-11-27 16:21:14,A1A63D,SKW5406,41.97265,-87.91048,,,,,,,1574871674
2019-11-27 16:21:16,A1A63D,SKW5406,41.972640000000006,-87.91051,,,,,,,1574871676
2019-11-27 16:21:23,A1A63D,SKW5406,41.97249,-87.9106,,,,,,,1574871683
2019-11-27 16:21:23,A1A63D,SKW5406,,,,,,,,,1574871683
2019-11-27 16:21:25,A1A63D,SKW5406,41.97244,-87.9106,,,,,,,1574871685
2019-11-27 16:21:27,A1A63D,SKW5406,41.972409999999996,-87.91058000000001,,,,,,,1574871687
2019-11-27 16:21:30,A1A63D,SKW5406,41.97237,-87.91056999999999,,,,,,,1574871690
2019-11-27 16:21:30,A1A63D,SKW5406,41.972359999999995,-87.91056999999999,,,,,,,1574871690
2019-11-27 16:21:32,A1A63D,SKW5406,41.97235,-87.91056999999999,,,,,,,1574871692
2019-11-27 16:21:33,A1A63D,SKW5406,41.97233,-87.91055,,,,,,,1574871693
2019-11-27 16:21:34,A1A63D,SKW5406,,,,,,,,,1574871694
2019-11-27 16:21:34,A1A63D,SKW5406,41.97231,-87.91055,,,,,,,1574871694
2019-11-27 16:21:35,A1A63D,SKW5406,41.97229,-87.91054,,,,,,,1574871695
2019-11-27 16:21:41,A1A63D,SKW5406,41.97225,-87.91049,,,,,,,1574871701
2019-11-27 16:21:44,A1A63D,SKW5406,,,,,,,,,1574871704
2019-11-27 16:21:44,A1A63D,SKW5406,41.972229999999996,-87.91048,,,,,,,1574871704
2019-11-27 16:21:44,A1A63D,SKW5406,41.972229999999996,-87.91046,,,,,,,1574871704
2019-11-27 16:21:45,A1A63D,SKW5406,41.972229999999996,-87.91046,,,,,,,1574871705
2019-11-27 16:21:46,A1A63D,SKW5406,41.97222,-87.91046,,,,,,,1574871706
2019-11-27 16:21:47,A1A63D,SKW5406,41.97221,-87.91044000000001,,,,,,,1574871707
