received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:41:49,A1BFF9,,41.9721,-87.90451,,,,,,,1574872909
2019-11-27 16:41:58,A1BFF9,,41.97209,-87.90451999999999,,,,,,,1574872918
2019-11-27 16:44:19,A1BFF9,,41.97317,-87.90856,,,,,,,1574873059
2019-11-27 16:44:20,A1BFF9,,41.973209999999995,-87.90861,,,,,,,1574873060
2019-11-27 16:44:21,A1BFF9,,41.9733,-87.90871,,,,,,,1574873061
2019-11-27 16:44:21,A1BFF9,,41.97335,-87.9088,,,,,,,1574873061
2019-11-27 16:44:22,A1BFF9,,41.973440000000004,-87.90890999999999,,,,,,,1574873062
2019-11-27 16:44:23,A1BFF9,,41.97347,-87.90896,,,,,,,1574873063
2019-11-27 16:44:23,A1BFF9,,41.97352,-87.90901,,,,,,,1574873063
2019-11-27 16:44:24,A1BFF9,,41.97355,-87.90906,,,,,,,1574873064
2019-11-27 16:44:24,A1BFF9,,,,,,,,,,1574873064
2019-11-27 16:44:25,A1BFF9,LOF4660,41.97364,-87.90916,,,,,,,1574873065
2019-11-27 16:44:25,A1BFF9,LOF4660,41.973690000000005,-87.90923000000001,,,,,,,1574873065
2019-11-27 16:44:26,A1BFF9,LOF4660,41.97374,-87.90929,,,,,,,1574873066
2019-11-27 16:44:26,A1BFF9,LOF4660,41.97378,-87.90934,,,,,,,1574873066
2019-11-27 16:44:27,A1BFF9,LOF4660,41.97381,-87.90937,,,,,,,1574873067
2019-11-27 16:44:27,A1BFF9,LOF4660,41.97385,-87.90942,,,,,,,1574873067
2019-11-27 16:44:28,A1BFF9,LOF4660,41.9739,-87.90948,,,,,,,1574873068
2019-11-27 16:44:28,A1BFF9,LOF4660,41.97394,-87.90953,,,,,,,1574873068
2019-11-27 16:44:29,A1BFF9,LOF4660,41.97399,-87.90958,,,,,,,1574873069
2019-11-27 16:44:29,A1BFF9,LOF4660,,,,,,,,,1574873069
2019-11-27 16:44:30,A1BFF9,LOF4660,41.9741,-87.90971,,,,,,,1574873070
2019-11-27 16:44:31,A1BFF9,LOF4660,41.974140000000006,-87.90975999999999,,,,,,,1574873071
2019-11-27 16:44:32,A1BFF9,LOF4660,41.97426,-87.9099,,,,,,,1574873072
2019-11-27 16:44:33,A1BFF9,LOF4660,41.97429,-87.90993,,,,,,,1574873073
2019-11-27 16:44:33,A1BFF9,LOF4660,41.97433,-87.90996,,,,,,,1574873073
2019-11-27 16:44:34,A1BFF9,LOF4660,,,,,,,,,1574873074
2019-11-27 16:44:34,A1BFF9,LOF4660,41.9744,-87.91005,,,,,,,1574873074
2019-11-27 16:44:35,A1BFF9,LOF4660,41.97444,-87.91009,,,,,,,1574873075
2019-11-27 16:44:35,A1BFF9,LOF4660,41.974470000000004,-87.91014,,,,,,,1574873075
2019-11-27 16:44:36,A1BFF9,LOF4660,41.9745,-87.91017,,,,,,,1574873076
2019-11-27 16:44:36,A1BFF9,LOF4660,41.974540000000005,-87.91020999999999,,,,,,,1574873076
