received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:21:28,A238A6,,41.975840000000005,-87.89659,,,,,,,1574871688
2019-11-27 16:21:35,A238A6,,41.975770000000004,-87.89636,,,,,,,1574871695
2019-11-27 16:24:21,A238A6,,,,,,,,,,1574871861
2019-11-27 16:25:18,A238A6,ENY3475,41.97568,-87.89601,,,,,,,1574871918
2019-11-27 16:25:25,A238A6,ENY3475,41.97562,-87.89582,,,,,,,1574871925
2019-11-27 16:25:25,A238A6,ENY3475,41.97562,-87.89582,,,,,,,1574871925
2019-11-27 16:25:26,A238A6,ENY3475,41.975609999999996,-87.89579,,,,,,,1574871926
2019-11-27 16:25:34,A238A6,ENY3475,41.97552,-87.89551,,,,,,,1574871934
2019-11-27 16:25:34,A238A6,ENY3475,41.97552,-87.89551,,,,,,,1574871934
2019-11-27 16:25:35,A238A6,ENY3475,41.97551,-87.89548,,,,,,,1574871935
2019-11-27 16:25:38,A238A6,ENY3475,41.97546,-87.89542,,,,,,,1574871938
2019-11-27 16:25:45,A238A6,ENY3475,,,,,,,,,1574871945
2019-11-27 16:25:47,A238A6,ENY3475,41.97528,-87.89529,,,,,,,1574871947
2019-11-27 16:25:50,A238A6,ENY3475,41.9752,-87.89526,,,,,,,1574871950
2019-11-27 16:25:57,A238A6,ENY3475,41.974990000000005,-87.89523,,,,,,,1574871957
2019-11-27 16:26:06,A238A6,ENY3475,41.974579999999996,-87.89526,,,,,,,1574871966
2019-11-27 16:26:13,A238A6,ENY3475,41.97429,-87.8953,,,,,,,1574871973
2019-11-27 16:26:14,A238A6,ENY3475,41.97428,-87.8953,,,,,,,1574871974
2019-11-27 16:26:14,A238A6,ENY3475,41.97426,-87.89531,,,,,,,1574871974
2019-11-27 16:26:50,A238A6,ENY3475,41.97354,-87.89577,,,,,,,1574872010
2019-11-27 16:26:57,A238A6,ENY3475,41.97339,-87.89594,,,,,,,1574872017
2019-11-27 16:27:15,A238A6,ENY3475,41.97266,-87.89577,,,,,,,1574872035
2019-11-27 16:27:18,A238A6,ENY3475,41.97255,-87.89567,,,,,,,1574872038
2019-11-27 16:27:33,A238A6,ENY3475,41.972,-87.8949,,,,,,,1574872053
2019-11-27 16:27:44,A238A6,ENY3475,41.97195,-87.89418,,,,,,,1574872064
2019-11-27 16:27:45,A238A6,ENY3475,41.97195,-87.89412,,,,,,,1574872065
2019-11-27 16:27:46,A238A6,ENY3475,41.97195,-87.89409,,,,,,,1574872066
2019-11-27 16:28:03,A238A6,ENY3475,41.97195,-87.89283,,,,,,,1574872083
2019-11-27 16:28:04,A238A6,ENY3475,41.97195,-87.89272,,,,,,,1574872084
2019-11-27 16:28:07,A238A6,ENY3475,41.97195,-87.89251,,,,,,,1574872087
2019-11-27 16:28:15,A238A6,ENY3475,41.97195,-87.89182,,,,,,,1574872095
2019-11-27 16:28:48,A238A6,ENY3475,41.971959999999996,-87.88893,,,,,,,1574872128
2019-11-27 16:28:53,A238A6,ENY3475,41.971959999999996,-87.88853,,,,,,,1574872133
2019-11-27 16:28:56,A238A6,ENY3475,41.971959999999996,-87.88824,,,,,,,1574872136
2019-11-27 16:29:13,A238A6,ENY3475,41.971959999999996,-87.88673,,,,,,,1574872153
2019-11-27 16:29:14,A238A6,ENY3475,,,,,,,,,1574872154
2019-11-27 16:29:17,A238A6,ENY3475,41.971959999999996,-87.88643,,,,,,,1574872157
2019-11-27 16:29:27,A238A6,ENY3475,41.971959999999996,-87.8856,,,,,,,1574872167
2019-11-27 16:29:39,A238A6,ENY3475,41.971790000000006,-87.88465,,,,,,,1574872179
2019-11-27 16:29:42,A238A6,ENY3475,41.97165,-87.88450999999999,,,,,,,1574872182
2019-11-27 16:29:43,A238A6,ENY3475,41.97164,-87.88448000000001,,,,,,,1574872183
2019-11-27 16:29:54,A238A6,ENY3475,41.971379999999996,-87.88369,,,,,,,1574872194
2019-11-27 16:30:03,A238A6,ENY3475,41.97139,-87.88280999999999,,,,,,,1574872203
2019-11-27 16:30:03,A238A6,ENY3475,41.97139,-87.88276,,,,,,,1574872203
2019-11-27 16:30:06,A238A6,ENY3475,41.97139,-87.88243,,,,,,,1574872206
2019-11-27 16:30:06,A238A6,ENY3475,41.97139,-87.8824,,,,,,,1574872206
2019-11-27 16:30:12,A238A6,ENY3475,41.9714,-87.88181,,,,,,,1574872212
2019-11-27 16:30:13,A238A6,ENY3475,41.9714,-87.88178,,,,,,,1574872213
2019-11-27 16:30:16,A238A6,ENY3475,41.97139,-87.88155,,,,,,,1574872216
2019-11-27 16:30:26,A238A6,ENY3475,41.97133,-87.88109,,,,,,,1574872226
2019-11-27 16:30:27,A238A6,ENY3475,41.97133,-87.88105999999999,,,,,,,1574872227
2019-11-27 16:30:32,A238A6,ENY3475,41.97129,-87.88095,,,,,,,1574872232
2019-11-27 16:30:33,A238A6,ENY3475,41.97126,-87.88091999999999,,,,,,,1574872233
2019-11-27 16:30:35,A238A6,ENY3475,41.97123,-87.88084,,,,,,,1574872235
2019-11-27 16:30:39,A238A6,ENY3475,,,,,,,,,1574872239
2019-11-27 16:30:40,A238A6,ENY3475,41.97118,-87.88077,,,,,,,1574872240
2019-11-27 16:31:09,A238A6,ENY3475,,,,,,,,,1574872269
2019-11-27 16:31:19,A238A6,ENY3475,,,,,,,,,1574872279
2019-11-27 16:31:29,A238A6,ENY3475,,,,,,,,,1574872289
2019-11-27 16:31:37,A238A6,ENY3475,41.971109999999996,-87.88064,,,,,,,1574872297
2019-11-27 16:31:39,A238A6,ENY3475,41.97108,-87.8806,,,,,,,1574872299
2019-11-27 16:31:47,A238A6,ENY3475,41.970859999999995,-87.8804,,,,,,,1574872307
2019-11-27 16:31:47,A238A6,ENY3475,41.97083,-87.88039,,,,,,,1574872307
2019-11-27 16:31:48,A238A6,ENY3475,41.97081,-87.88039,,,,,,,1574872308
2019-11-27 16:31:49,A238A6,ENY3475,41.97077,-87.88037,,,,,,,1574872309
2019-11-27 16:31:49,A238A6,ENY3475,,,,,,,,,1574872309
2019-11-27 16:31:52,A238A6,ENY3475,41.970620000000004,-87.88036,,,,,,,1574872312
2019-11-27 16:31:58,A238A6,ENY3475,41.97039,-87.88034,,,,,,,1574872318
2019-11-27 16:32:01,A238A6,ENY3475,41.97023,-87.88034,,,,,,,1574872321
2019-11-27 16:32:11,A238A6,ENY3475,41.96996,-87.88009,,,,,,,1574872331
2019-11-27 16:32:19,A238A6,ENY3475,41.96983,-87.87994,,,,,,,1574872339
2019-11-27 16:32:23,A238A6,ENY3475,41.96976,-87.87996,,,,,,,1574872343
2019-11-27 16:33:46,A238A6,ENY3475,,,,,107.0,221.99,64.0,GS,1574872426
