received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:51:33,A2685B,,,,,,139.0,226.45,3456.0,GS,1574873493
2019-11-27 16:51:34,A2685B,,41.776379999999996,-87.76290999999999,1775.0,,,,,,1574873494
2019-11-27 16:51:48,A2685B,,,,,,127.0,243.43,2944.0,GS,1574873508
2019-11-27 16:51:48,A2685B,,41.77194,-87.77252,2675.0,,,,,,1574873508
2019-11-27 16:52:00,A2685B,,41.7689,-87.78114000000001,3100.0,,,,,,1574873520
2019-11-27 16:52:00,A2685B,,41.76876,-87.78159000000001,3100.0,,,,,,1574873520
2019-11-27 16:52:01,A2685B,,,,,,137.0,244.55,1344.0,GS,1574873521
2019-11-27 16:52:01,A2685B,,,,,,,,,,1574873521
2019-11-27 16:52:01,A2685B,SWA482,,,,,137.0,244.55,1344.0,GS,1574873521
2019-11-27 16:52:02,A2685B,SWA482,,,,,138.0,244.73,1344.0,GS,1574873522
2019-11-27 16:52:02,A2685B,SWA482,41.768190000000004,-87.7832,3150.0,,,,,,1574873522
2019-11-27 16:52:08,A2685B,SWA482,41.7664,-87.78813000000001,3250.0,,,,,,1574873528
2019-11-27 16:52:09,A2685B,SWA482,41.76627,-87.78856,3275.0,,,,,,1574873529
2019-11-27 16:52:18,A2685B,SWA482,41.76364,-87.79673000000001,3300.0,,,,,,1574873538
2019-11-27 16:52:19,A2685B,SWA482,,,,,155.0,253.19,64.0,GS,1574873539
2019-11-27 16:52:19,A2685B,SWA482,,,,,155.0,253.19,0.0,GS,1574873539
2019-11-27 16:52:19,A2685B,SWA482,41.763459999999995,-87.79769,3300.0,,,,,,1574873539
2019-11-27 16:52:20,A2685B,SWA482,,,,,155.0,253.19,-64.0,GS,1574873540
2019-11-27 16:52:22,A2685B,SWA482,41.76308,-87.79973000000001,3300.0,,,,,,1574873542
2019-11-27 16:52:23,A2685B,SWA482,,,,,158.0,256.84,-256.0,GS,1574873543
2019-11-27 16:52:24,A2685B,SWA482,41.76266,-87.80254000000001,3275.0,,,,,,1574873544
2019-11-27 16:52:25,A2685B,SWA482,,,,,159.0,261.01,0.0,GS,1574873545
2019-11-27 16:52:25,A2685B,SWA482,,,,,159.0,261.01,64.0,GS,1574873545
2019-11-27 16:52:26,A2685B,SWA482,41.76256,-87.80355,3275.0,,,,,,1574873546
2019-11-27 16:52:26,A2685B,SWA482,,,,,,,,,1574873546
2019-11-27 16:52:39,A2685B,SWA482,,,,,164.0,266.16,640.0,GS,1574873559
2019-11-27 16:52:44,A2685B,SWA482,,,,,167.0,266.57,128.0,GS,1574873564
2019-11-27 16:52:44,A2685B,SWA482,41.7615,-87.82202,3425.0,,,,,,1574873564
2019-11-27 16:52:48,A2685B,SWA482,41.761359999999996,-87.82573000000001,3425.0,,,,,,1574873568
2019-11-27 16:52:48,A2685B,SWA482,,,,,167.0,266.92,0.0,GS,1574873568
2019-11-27 16:52:48,A2685B,SWA482,41.76132,-87.82664,3400.0,,,,,,1574873568
2019-11-27 16:52:51,A2685B,SWA482,41.76117,-87.82982,3425.0,,,,,,1574873571
2019-11-27 16:52:53,A2685B,SWA482,,,,,167.0,266.57,128.0,GS,1574873573
2019-11-27 16:52:56,A2685B,SWA482,,,,,168.0,266.59,-192.0,GS,1574873576
2019-11-27 16:52:56,A2685B,SWA482,,,,,168.0,266.25,-256.0,GS,1574873576
2019-11-27 16:52:57,A2685B,SWA482,41.76086,-87.83601,3400.0,,,,,,1574873577
2019-11-27 16:53:03,A2685B,SWA482,,,,,170.0,264.62,0.0,GS,1574873583
2019-11-27 16:53:03,A2685B,SWA482,,,,,171.0,264.65,0.0,GS,1574873583
2019-11-27 16:53:06,A2685B,SWA482,,,,,,,,,1574873586
2019-11-27 16:53:06,A2685B,SWA482,,,,,173.0,265.37,-64.0,GS,1574873586
2019-11-27 16:53:07,A2685B,SWA482,41.76024,-87.8461,3425.0,,,,,,1574873587
2019-11-27 16:53:11,A2685B,SWA482,41.76001,-87.85007,3400.0,,,,,,1574873591
2019-11-27 16:53:11,A2685B,SWA482,41.75996,-87.85051,3400.0,,,,,,1574873591
2019-11-27 16:53:27,A2685B,SWA482,,,,,179.0,266.16,0.0,GS,1574873607
2019-11-27 16:53:31,A2685B,SWA482,41.7589,-87.8724,3400.0,,,,,,1574873611
2019-11-27 16:53:33,A2685B,SWA482,,,,,180.0,265.87,-64.0,GS,1574873613
2019-11-27 16:53:34,A2685B,SWA482,,,,,180.0,265.87,64.0,GS,1574873614
2019-11-27 16:53:35,A2685B,SWA482,41.75867,-87.8767,3425.0,,,,,,1574873615
2019-11-27 16:53:36,A2685B,SWA482,41.75866,-87.87728,3425.0,,,,,,1574873616
2019-11-27 16:53:36,A2685B,SWA482,,,,,,,,,1574873616
2019-11-27 16:53:38,A2685B,SWA482,,,,,179.0,266.16,1152.0,GS,1574873618
2019-11-27 16:53:41,A2685B,SWA482,,,,,,,,,1574873621
2019-11-27 16:53:41,A2685B,SWA482,41.75835,-87.88356999999999,3525.0,,,,,,1574873621
2019-11-27 16:53:44,A2685B,SWA482,,,,,177.0,265.8,1472.0,GS,1574873624
2019-11-27 16:53:45,A2685B,SWA482,41.75815,-87.88724,3600.0,,,,,,1574873625
2019-11-27 16:53:47,A2685B,SWA482,41.75806,-87.88941,3650.0,,,,,,1574873627
2019-11-27 16:53:47,A2685B,SWA482,,,,,176.0,266.42,1536.0,GS,1574873627
2019-11-27 16:53:58,A2685B,SWA482,41.75739,-87.90224,3950.0,,,,,,1574873638
2019-11-27 16:53:58,A2685B,SWA482,,,,,181.0,265.26,1472.0,GS,1574873638
2019-11-27 16:54:00,A2685B,SWA482,41.757220000000004,-87.90455,4025.0,,,,,,1574873640
2019-11-27 16:54:01,A2685B,SWA482,41.757220000000004,-87.90519,4050.0,,,,,,1574873641
2019-11-27 16:54:01,A2685B,SWA482,,,,,182.0,265.6,2304.0,GS,1574873641
2019-11-27 16:54:01,A2685B,SWA482,41.75716,-87.90579,4075.0,,,,,,1574873641
2019-11-27 16:54:04,A2685B,SWA482,41.75698,-87.90845,4150.0,,,,,,1574873644
2019-11-27 16:54:04,A2685B,SWA482,,,,,183.0,265.31,2432.0,GS,1574873644
2019-11-27 16:54:06,A2685B,SWA482,41.756890000000006,-87.91049,4250.0,,,,,,1574873646
2019-11-27 16:54:06,A2685B,SWA482,,,,,183.0,265.31,2496.0,GS,1574873646
2019-11-27 16:54:07,A2685B,SWA482,41.75679,-87.91221999999999,4300.0,,,,,,1574873647
2019-11-27 16:54:15,A2685B,SWA482,,,,,183.0,265.0,4032.0,GS,1574873655
2019-11-27 16:54:19,A2685B,SWA482,,,,,183.0,264.07,3840.0,GS,1574873659
2019-11-27 16:54:22,A2685B,SWA482,41.7556,-87.92926,5225.0,,,,,,1574873662
2019-11-27 16:54:34,A2685B,SWA482,41.75415,-87.94319,5875.0,,,,,,1574873674
2019-11-27 16:54:34,A2685B,SWA482,,,,,187.0,261.09,2432.0,GS,1574873674
2019-11-27 16:54:42,A2685B,SWA482,,,,,194.0,259.91,1792.0,GS,1574873682
2019-11-27 16:54:50,A2685B,SWA482,,,,,203.0,258.69,1088.0,GS,1574873690
2019-11-27 16:54:56,A2685B,SWA482,,,,,,,,,1574873696
2019-11-27 16:55:02,A2685B,SWA482,41.7493,-87.97737,6375.0,,,,,,1574873702
2019-11-27 16:55:04,A2685B,SWA482,41.74884,-87.9803,6375.0,,,,,,1574873704
2019-11-27 16:55:13,A2685B,SWA482,,,,,220.0,258.74,64.0,GS,1574873713
2019-11-27 16:55:14,A2685B,SWA482,41.74702,-87.99276,6375.0,,,,,,1574873714
2019-11-27 16:55:14,A2685B,SWA482,41.74693,-87.99327,6400.0,,,,,,1574873714
2019-11-27 16:55:15,A2685B,SWA482,41.74677,-87.99443000000001,6400.0,,,,,,1574873715
2019-11-27 16:55:20,A2685B,SWA482,41.74576,-88.00093000000001,6400.0,,,,,,1574873720
2019-11-27 16:55:21,A2685B,SWA482,,,,,219.0,258.69,64.0,GS,1574873721
2019-11-27 16:55:22,A2685B,SWA482,,,,,218.0,258.9,64.0,GS,1574873722
2019-11-27 16:55:23,A2685B,SWA482,41.74507,-88.00573,6400.0,,,,,,1574873723
2019-11-27 16:55:38,A2685B,SWA482,,,,,207.0,282.5,-64.0,GS,1574873738
2019-11-27 16:55:38,A2685B,SWA482,,,,,207.0,282.5,-64.0,GS,1574873738
2019-11-27 16:55:39,A2685B,SWA482,41.74617,-88.02583,6400.0,,,,,,1574873739
2019-11-27 16:55:42,A2685B,SWA482,41.74677,-88.0292,6400.0,,,,,,1574873742
2019-11-27 16:55:42,A2685B,SWA482,,,,,207.0,283.37,-64.0,GS,1574873742
2019-11-27 16:55:43,A2685B,SWA482,,,,,207.0,283.37,0.0,GS,1574873743
2019-11-27 16:55:44,A2685B,SWA482,41.74731,-88.03226,6400.0,,,,,,1574873744
2019-11-27 16:55:45,A2685B,SWA482,41.747409999999995,-88.03289000000001,6400.0,,,,,,1574873745
2019-11-27 16:55:45,A2685B,SWA482,41.74754,-88.03357,6400.0,,,,,,1574873745
2019-11-27 16:55:47,A2685B,SWA482,41.747820000000004,-88.03526,6400.0,,,,,,1574873747
2019-11-27 16:55:47,A2685B,SWA482,,,,,207.0,283.64,64.0,GS,1574873747
2019-11-27 16:55:48,A2685B,SWA482,,,,,207.0,283.64,64.0,GS,1574873748
2019-11-27 16:55:51,A2685B,SWA482,,,,,207.0,283.37,64.0,GS,1574873751
2019-11-27 16:55:55,A2685B,SWA482,,,,,208.0,283.3,-64.0,GS,1574873755
2019-11-27 16:55:56,A2685B,SWA482,,,,,,,,,1574873756
2019-11-27 16:55:59,A2685B,SWA482,41.75075,-88.05149,6400.0,,,,,,1574873759
2019-11-27 16:56:00,A2685B,SWA482,,,,,209.0,283.51,-64.0,GS,1574873760
2019-11-27 16:56:02,A2685B,SWA482,,,,,209.0,283.51,64.0,GS,1574873762
2019-11-27 16:56:05,A2685B,SWA482,41.75196,-88.0581,6400.0,,,,,,1574873765
2019-11-27 16:56:06,A2685B,SWA482,,,,,210.0,283.44,-64.0,GS,1574873766
2019-11-27 16:56:06,A2685B,SWA482,,,,,210.0,283.44,-64.0,GS,1574873766
2019-11-27 16:56:09,A2685B,SWA482,41.75281,-88.06296999999999,6400.0,,,,,,1574873769
2019-11-27 16:56:11,A2685B,SWA482,41.7534,-88.06609,6400.0,,,,,,1574873771
2019-11-27 16:56:12,A2685B,SWA482,,,,,211.0,283.38,-64.0,GS,1574873772
2019-11-27 16:56:12,A2685B,SWA482,,,,,211.0,283.38,-64.0,GS,1574873772
2019-11-27 16:56:15,A2685B,SWA482,41.75419,-88.07056,6400.0,,,,,,1574873775
2019-11-27 16:56:17,A2685B,SWA482,41.75484,-88.0742,6400.0,,,,,,1574873777
2019-11-27 16:56:22,A2685B,SWA482,,,,,214.0,283.45,0.0,GS,1574873782
2019-11-27 16:56:23,A2685B,SWA482,41.7561,-88.08114,6400.0,,,,,,1574873783
2019-11-27 16:56:26,A2685B,SWA482,41.75674,-88.08482,6400.0,,,,,,1574873786
2019-11-27 16:56:27,A2685B,SWA482,,,,,214.0,283.45,-64.0,GS,1574873787
2019-11-27 16:56:29,A2685B,SWA482,,,,,214.0,283.45,0.0,GS,1574873789
2019-11-27 16:56:30,A2685B,SWA482,41.75782,-88.09087,6400.0,,,,,,1574873790
2019-11-27 16:56:31,A2685B,SWA482,,,,,215.0,283.39,0.0,GS,1574873791
2019-11-27 16:56:31,A2685B,SWA482,41.75812,-88.09231,6400.0,,,,,,1574873791
2019-11-27 16:56:36,A2685B,SWA482,,,,,215.0,283.71,0.0,GS,1574873796
2019-11-27 16:56:38,A2685B,SWA482,41.75973,-88.10141,6400.0,,,,,,1574873798
2019-11-27 16:56:43,A2685B,SWA482,41.760709999999996,-88.10670999999999,6400.0,,,,,,1574873803
2019-11-27 16:56:43,A2685B,SWA482,41.7608,-88.10735,6400.0,,,,,,1574873803
2019-11-27 16:56:45,A2685B,SWA482,,,,,213.0,283.52,0.0,GS,1574873805
2019-11-27 16:56:46,A2685B,SWA482,,,,,,,,,1574873806
2019-11-27 16:56:46,A2685B,SWA482,,,,,213.0,283.52,0.0,GS,1574873806
2019-11-27 16:56:49,A2685B,SWA482,,,,,213.0,283.52,0.0,GS,1574873809
2019-11-27 16:56:51,A2685B,SWA482,41.76262,-88.11731,6400.0,,,,,,1574873811
2019-11-27 16:56:53,A2685B,SWA482,41.76308,-88.11986999999999,6400.0,,,,,,1574873813
2019-11-27 16:56:53,A2685B,SWA482,,,,,213.0,283.52,0.0,GS,1574873813
2019-11-27 16:56:56,A2685B,SWA482,41.76383,-88.12377,6400.0,,,,,,1574873816
