received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:30,A2DDAC,,,,,,,,,,1574871570
2019-11-27 16:23:42,A2DDAC,ENY3636,41.97616,-87.89613,,,,,,,1574871822
2019-11-27 16:24:07,A2DDAC,ENY3636,41.97616,-87.89613,,,,,,,1574871847
2019-11-27 16:24:12,A2DDAC,ENY3636,41.97616,-87.89613,,,,,,,1574871852
2019-11-27 16:24:17,A2DDAC,ENY3636,41.97616,-87.89613,,,,,,,1574871857
2019-11-27 16:24:22,A2DDAC,ENY3636,41.97616,-87.89613,,,,,,,1574871862
2019-11-27 16:25:02,A2DDAC,ENY3636,41.97616,-87.89613,,,,,,,1574871902
2019-11-27 16:25:07,A2DDAC,ENY3636,41.97616,-87.89613,,,,,,,1574871907
2019-11-27 16:25:12,A2DDAC,ENY3636,41.97616,-87.89615,,,,,,,1574871912
2019-11-27 16:25:22,A2DDAC,ENY3636,,,,,,,,,1574871922
2019-11-27 16:25:27,A2DDAC,ENY3636,41.97616,-87.89615,,,,,,,1574871927
2019-11-27 16:25:32,A2DDAC,ENY3636,41.97616,-87.89615,,,,,,,1574871932
2019-11-27 16:25:57,A2DDAC,ENY3636,41.97613,-87.89615,,,,,,,1574871957
2019-11-27 16:26:02,A2DDAC,ENY3636,,,,,,,,,1574871962
2019-11-27 16:26:07,A2DDAC,ENY3636,41.97602,-87.89615,,,,,,,1574871967
2019-11-27 16:26:08,A2DDAC,ENY3636,41.976009999999995,-87.89615,,,,,,,1574871968
2019-11-27 16:26:09,A2DDAC,ENY3636,41.976000000000006,-87.89615,,,,,,,1574871969
2019-11-27 16:26:09,A2DDAC,ENY3636,41.97599,-87.89615,,,,,,,1574871969
2019-11-27 16:26:12,A2DDAC,ENY3636,41.97595,-87.89617,,,,,,,1574871972
2019-11-27 16:26:14,A2DDAC,ENY3636,41.97593,-87.89617,,,,,,,1574871974
2019-11-27 16:26:14,A2DDAC,ENY3636,41.97592,-87.89616,,,,,,,1574871974
2019-11-27 16:26:14,A2DDAC,ENY3636,41.97591,-87.89616,,,,,,,1574871974
2019-11-27 16:26:16,A2DDAC,ENY3636,41.9759,-87.89617,,,,,,,1574871976
2019-11-27 16:26:16,A2DDAC,ENY3636,41.97589,-87.89618,,,,,,,1574871976
2019-11-27 16:26:20,A2DDAC,ENY3636,41.975840000000005,-87.8962,,,,,,,1574871980
2019-11-27 16:26:20,A2DDAC,ENY3636,41.97583,-87.8962,,,,,,,1574871980
2019-11-27 16:26:23,A2DDAC,ENY3636,41.9758,-87.89623,,,,,,,1574871983
2019-11-27 16:26:24,A2DDAC,ENY3636,41.97579,-87.89623,,,,,,,1574871984
2019-11-27 16:26:26,A2DDAC,ENY3636,41.97578,-87.89624,,,,,,,1574871986
2019-11-27 16:26:30,A2DDAC,ENY3636,41.97576,-87.89626,,,,,,,1574871990
2019-11-27 16:26:33,A2DDAC,ENY3636,41.97576,-87.89629000000001,,,,,,,1574871993
2019-11-27 16:26:34,A2DDAC,ENY3636,41.97576,-87.89629000000001,,,,,,,1574871994
2019-11-27 16:26:35,A2DDAC,ENY3636,41.97576,-87.89629000000001,,,,,,,1574871995
2019-11-27 16:26:35,A2DDAC,ENY3636,41.97576,-87.89631,,,,,,,1574871995
2019-11-27 16:26:38,A2DDAC,ENY3636,41.97576,-87.89631,,,,,,,1574871998
2019-11-27 16:27:27,A2DDAC,ENY3636,,,,,,,,,1574872047
2019-11-27 16:27:37,A2DDAC,ENY3636,,,,,,,,,1574872057
2019-11-27 16:31:26,A2DDAC,ENY3636,41.97568,-87.89602,,,,,,,1574872286
2019-11-27 16:31:31,A2DDAC,ENY3636,41.97562,-87.89584,,,,,,,1574872291
2019-11-27 16:31:32,A2DDAC,ENY3636,41.97562,-87.89582,,,,,,,1574872292
2019-11-27 16:31:33,A2DDAC,ENY3636,41.9756,-87.89576,,,,,,,1574872293
2019-11-27 16:33:48,A2DDAC,ENY3636,41.97205,-87.90139,,,,,,,1574872428
2019-11-27 16:33:50,A2DDAC,ENY3636,41.97206,-87.90158000000001,,,,,,,1574872430
2019-11-27 16:33:54,A2DDAC,ENY3636,41.97205,-87.90189000000001,,,,,,,1574872434
2019-11-27 16:34:08,A2DDAC,ENY3636,41.97206,-87.90294,,,,,,,1574872448
2019-11-27 16:34:16,A2DDAC,ENY3636,41.97206,-87.90359000000001,,,,,,,1574872456
2019-11-27 16:34:16,A2DDAC,ENY3636,41.97206,-87.90361999999999,,,,,,,1574872456
2019-11-27 16:34:27,A2DDAC,ENY3636,41.97209,-87.90446999999999,,,,,,,1574872467
2019-11-27 16:34:30,A2DDAC,ENY3636,41.97209,-87.90463000000001,,,,,,,1574872470
2019-11-27 16:34:45,A2DDAC,ENY3636,41.972159999999995,-87.90568,,,,,,,1574872485
2019-11-27 16:34:55,A2DDAC,ENY3636,41.9722,-87.90642,,,,,,,1574872495
2019-11-27 16:34:56,A2DDAC,ENY3636,41.97221,-87.90648,,,,,,,1574872496
2019-11-27 16:34:59,A2DDAC,ENY3636,41.972229999999996,-87.90671,,,,,,,1574872499
2019-11-27 16:35:17,A2DDAC,ENY3636,41.972609999999996,-87.90776,,,,,,,1574872517
