received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:58,A2E1C7,,,,,,,,,,1574871598
2019-11-27 16:20:18,A2E1C7,ENY3307,,,,,,,,,1574871618
2019-11-27 16:20:58,A2E1C7,ENY3307,,,,,,,,,1574871658
2019-11-27 16:21:18,A2E1C7,ENY3307,41.975629999999995,-87.89554,,,,,,,1574871678
2019-11-27 16:21:19,A2E1C7,ENY3307,41.97562,-87.89551,,,,,,,1574871679
2019-11-27 16:21:26,A2E1C7,ENY3307,41.97554,-87.89532,,,,,,,1574871686
2019-11-27 16:25:17,A2E1C7,ENY3307,41.975229999999996,-87.89524,,,,,,,1574871917
2019-11-27 16:25:18,A2E1C7,ENY3307,41.97522,-87.89524,,,,,,,1574871918
2019-11-27 16:25:34,A2E1C7,ENY3307,41.97472,-87.89524,,,,,,,1574871934
2019-11-27 16:25:34,A2E1C7,ENY3307,41.974709999999995,-87.89524,,,,,,,1574871934
2019-11-27 16:25:45,A2E1C7,ENY3307,41.974309999999996,-87.89529,,,,,,,1574871945
2019-11-27 16:25:45,A2E1C7,ENY3307,41.97429,-87.8953,,,,,,,1574871945
2019-11-27 16:25:46,A2E1C7,ENY3307,41.974270000000004,-87.8953,,,,,,,1574871946
2019-11-27 16:26:08,A2E1C7,ENY3307,,,,,,,,,1574871968
2019-11-27 16:26:09,A2E1C7,ENY3307,41.97339,-87.89594,,,,,,,1574871969
2019-11-27 16:26:26,A2E1C7,ENY3307,41.97293,-87.8968,,,,,,,1574871986
2019-11-27 16:26:29,A2E1C7,ENY3307,41.972879999999996,-87.89693,,,,,,,1574871989
2019-11-27 16:26:34,A2E1C7,ENY3307,41.97275,-87.89724,,,,,,,1574871994
2019-11-27 16:26:49,A2E1C7,ENY3307,,,,,,,,,1574872009
2019-11-27 16:27:13,A2E1C7,ENY3307,41.97208,-87.89949,1050.0,,,,,,1574872033
2019-11-27 16:27:22,A2E1C7,ENY3307,41.97207,-87.90019000000001,,,,,,,1574872042
2019-11-27 16:27:23,A2E1C7,ENY3307,41.97206,-87.90024,,,,,,,1574872043
2019-11-27 16:27:28,A2E1C7,ENY3307,41.97206,-87.90066999999999,,,,,,,1574872048
2019-11-27 16:27:29,A2E1C7,ENY3307,,,,,,,,,1574872049
2019-11-27 16:27:33,A2E1C7,ENY3307,41.97206,-87.90108000000001,,,,,,,1574872053
2019-11-27 16:27:38,A2E1C7,ENY3307,41.97206,-87.90153000000001,,,,,,,1574872058
2019-11-27 16:27:49,A2E1C7,ENY3307,,,,,,,,,1574872069
2019-11-27 16:27:55,A2E1C7,ENY3307,41.97206,-87.90292,,,,,,,1574872075
2019-11-27 16:28:02,A2E1C7,ENY3307,41.97206,-87.9035,,,,,,,1574872082
2019-11-27 16:28:23,A2E1C7,ENY3307,41.97211,-87.90493000000001,,,,,,,1574872103
2019-11-27 16:28:45,A2E1C7,ENY3307,41.97221,-87.90653,,,,,,,1574872125
2019-11-27 16:28:45,A2E1C7,ENY3307,,,,,,,,,1574872125
2019-11-27 16:28:46,A2E1C7,ENY3307,41.972229999999996,-87.90661,,,,,,,1574872126
2019-11-27 16:28:49,A2E1C7,ENY3307,41.97226,-87.90682,,,,,,,1574872129
2019-11-27 16:28:56,A2E1C7,ENY3307,41.972390000000004,-87.90729,,,,,,,1574872136
2019-11-27 16:28:56,A2E1C7,ENY3307,41.972409999999996,-87.90731,,,,,,,1574872136
2019-11-27 16:28:57,A2E1C7,ENY3307,41.97242,-87.90737,,,,,,,1574872137
2019-11-27 16:28:59,A2E1C7,ENY3307,41.97246,-87.90746999999999,,,,,,,1574872139
2019-11-27 16:29:10,A2E1C7,ENY3307,,,,,,,,,1574872150
2019-11-27 16:29:13,A2E1C7,ENY3307,41.97283,-87.90809,,,,,,,1574872153
2019-11-27 16:29:15,A2E1C7,ENY3307,,,,,,,,,1574872155
2019-11-27 16:29:34,A2E1C7,ENY3307,41.97302,-87.90836999999999,,,,,,,1574872174
2019-11-27 16:29:42,A2E1C7,ENY3307,41.97313,-87.90850999999999,,,,,,,1574872182
2019-11-27 16:29:45,A2E1C7,ENY3307,,,,,,,,,1574872185
2019-11-27 16:29:46,A2E1C7,ENY3307,41.97322,-87.90862,,,,,,,1574872186
2019-11-27 16:29:46,A2E1C7,ENY3307,41.973240000000004,-87.90865,,,,,,,1574872186
2019-11-27 16:29:47,A2E1C7,ENY3307,41.97325,-87.90867,,,,,,,1574872187
2019-11-27 16:29:50,A2E1C7,ENY3307,41.97338,-87.90885,,,,,,,1574872190
2019-11-27 16:29:52,A2E1C7,ENY3307,41.97345,-87.90890999999999,,,,,,,1574872192
2019-11-27 16:29:53,A2E1C7,ENY3307,41.97352,-87.90901,,,,,,,1574872193
2019-11-27 16:29:55,A2E1C7,ENY3307,,,,,,,,,1574872195
2019-11-27 16:29:56,A2E1C7,ENY3307,41.97365,-87.90918,,,,,,,1574872196
2019-11-27 16:29:57,A2E1C7,ENY3307,41.97372,-87.90926,,,,,,,1574872197
2019-11-27 16:29:59,A2E1C7,ENY3307,41.97383,-87.9094,,,,,,,1574872199
2019-11-27 16:30:00,A2E1C7,ENY3307,,,,,,,,,1574872200
2019-11-27 16:30:07,A2E1C7,ENY3307,41.97423,-87.90987,,,,,,,1574872207
2019-11-27 16:30:08,A2E1C7,ENY3307,41.974309999999996,-87.90994,,,,,,,1574872208
2019-11-27 16:30:09,A2E1C7,ENY3307,41.97435,-87.90998,,,,,,,1574872209
2019-11-27 16:30:13,A2E1C7,ENY3307,41.9745,-87.91025,,,,,,,1574872213
2019-11-27 16:30:24,A2E1C7,ENY3307,41.97416,-87.91114,,,,,,,1574872224
2019-11-27 16:30:24,A2E1C7,ENY3307,41.97413,-87.91116,,,,,,,1574872224
2019-11-27 16:30:26,A2E1C7,ENY3307,41.97401,-87.9113,,,,,,,1574872226
2019-11-27 16:30:27,A2E1C7,ENY3307,41.97394,-87.91136,,,,,,,1574872227
2019-11-27 16:30:29,A2E1C7,ENY3307,41.97384,-87.9115,,,,,,,1574872229
