received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:28,A3F8B8,,,,,,,,,,1574871568
2019-11-27 16:19:35,A3F8B8,AAL2634,41.97246,-87.91988,,,,,,,1574871575
2019-11-27 16:19:45,A3F8B8,AAL2634,41.97246,-87.91988,,,,,,,1574871585
2019-11-27 16:19:50,A3F8B8,AAL2634,41.97246,-87.91988,,,,,,,1574871590
2019-11-27 16:20:30,A3F8B8,AAL2634,41.97245,-87.91989000000001,,,,,,,1574871630
2019-11-27 16:20:38,A3F8B8,AAL2634,,,,,,,,,1574871638
2019-11-27 16:20:45,A3F8B8,AAL2634,41.97245,-87.91989000000001,,,,,,,1574871645
2019-11-27 16:20:55,A3F8B8,AAL2634,41.97245,-87.91989000000001,,,,,,,1574871655
2019-11-27 16:21:05,A3F8B8,AAL2634,41.97246,-87.91988,,,,,,,1574871665
2019-11-27 16:21:08,A3F8B8,AAL2634,,,,,,,,,1574871668
2019-11-27 16:21:10,A3F8B8,AAL2634,41.97245,-87.91989000000001,,,,,,,1574871670
2019-11-27 16:21:18,A3F8B8,AAL2634,,,,,,,,,1574871678
2019-11-27 16:21:25,A3F8B8,AAL2634,41.97245,-87.91989000000001,,,,,,,1574871685
2019-11-27 16:21:28,A3F8B8,AAL2634,,,,,,,,,1574871688
2019-11-27 16:21:38,A3F8B8,AAL2634,,,,,,,,,1574871698
2019-11-27 16:21:40,A3F8B8,AAL2634,41.97246,-87.91988,,,,,,,1574871700
2019-11-27 16:21:45,A3F8B8,AAL2634,41.97246,-87.91988,,,,,,,1574871705
2019-11-27 16:21:55,A3F8B8,AAL2634,41.97245,-87.91989000000001,,,,,,,1574871715
2019-11-27 16:22:08,A3F8B8,AAL2634,,,,,,,,,1574871728
2019-11-27 16:22:10,A3F8B8,AAL2634,41.97245,-87.91989000000001,,,,,,,1574871730
