received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:51,A40CD9,,,,,,,,,,1574871591
2019-11-27 16:20:31,A40CD9,FFT81,41.97383,-87.88468,,,,,,,1574871631
2019-11-27 16:20:51,A40CD9,FFT81,41.97383,-87.88468,,,,,,,1574871651
2019-11-27 16:20:56,A40CD9,FFT81,41.97383,-87.88468,,,,,,,1574871656
2019-11-27 16:21:26,A40CD9,FFT81,41.97383,-87.88468,,,,,,,1574871686
2019-11-27 16:21:31,A40CD9,FFT81,,,,,,,,,1574871691
2019-11-27 16:21:51,A40CD9,1157,41.97384,-87.88467,,,,,,,1574871711
2019-11-27 16:21:51,A40CD9,1157,,,,,,,,,1574871711
2019-11-27 16:22:31,A40CD9,1157,41.97384,-87.88468,,,,,,,1574871751
2019-11-27 16:22:41,A40CD9,1157,,,,,,,,,1574871761
2019-11-27 16:22:46,A40CD9,1157,41.97383,-87.88468,,,,,,,1574871766
2019-11-27 16:23:01,A40CD9,1157,41.97383,-87.88468,,,,,,,1574871781
2019-11-27 16:23:31,A40CD9,1157,41.97383,-87.88468,,,,,,,1574871811
2019-11-27 16:24:11,A40CD9,1157,41.97383,-87.88468,,,,,,,1574871851
2019-11-27 16:24:21,A40CD9,1157,,,,,,,,,1574871861
2019-11-27 16:24:25,A40CD9,1157,41.97383,-87.88468,,,,,,,1574871865
2019-11-27 16:24:30,A40CD9,1157,41.97384,-87.88468,,,,,,,1574871870
2019-11-27 16:24:31,A40CD9,1157,,,,,,,,,1574871871
2019-11-27 16:25:16,A40CD9,1157,41.97383,-87.88467,,,,,,,1574871916
2019-11-27 16:25:56,A40CD9,1157,41.97383,-87.88468,,,,,,,1574871956
2019-11-27 16:27:12,A40CD9,1157,,,,,,,,,1574872032
2019-11-27 16:27:32,A40CD9,FFT1157,41.97383,-87.88468,,,,,,,1574872052
2019-11-27 16:27:32,A40CD9,FFT1157,,,,,,,,,1574872052
2019-11-27 16:27:36,A40CD9,FFT1157,41.97383,-87.88468,,,,,,,1574872056
2019-11-27 16:27:52,A40CD9,FFT1157,41.97384,-87.88463,,,,,,,1574872072
2019-11-27 16:27:57,A40CD9,FFT1157,41.97384,-87.88465,,,,,,,1574872077
2019-11-27 16:28:12,A40CD9,FFT1157,41.97384,-87.88465,,,,,,,1574872092
2019-11-27 16:28:12,A40CD9,FFT1157,,,,,,,,,1574872092
2019-11-27 16:28:22,A40CD9,FFT1157,,,,,,,,,1574872102
2019-11-27 16:28:31,A40CD9,FFT1157,41.97384,-87.88465,,,,,,,1574872111
2019-11-27 16:28:33,A40CD9,FFT1157,,,,,,,,,1574872113
2019-11-27 16:34:12,A40CD9,FFT1157,,,,,,,,,1574872452
2019-11-27 16:36:33,A40CD9,FFT1157,,,,,,,,,1574872593
2019-11-27 17:15:38,A40CD9,FFT1157,41.97271,-87.88924,,,,,,,1574874938
2019-11-27 17:15:38,A40CD9,FFT1157,,,,,,,,,1574874938
2019-11-27 17:15:39,A40CD9,FFT1157,41.97271,-87.88935,,,,,,,1574874939
2019-11-27 17:16:13,A40CD9,FFT1157,,,,,,,,,1574874973
2019-11-27 17:18:23,A40CD9,FFT1157,41.97197,-87.89165,,,,,,,1574875103
2019-11-27 17:18:25,A40CD9,FFT1157,41.971959999999996,-87.89147,,,,,,,1574875105
2019-11-27 17:18:28,A40CD9,FFT1157,41.971959999999996,-87.89123000000001,,,,,,,1574875108
2019-11-27 17:18:41,A40CD9,FFT1157,41.971959999999996,-87.89010999999999,,,,,,,1574875121
2019-11-27 17:18:42,A40CD9,FFT1157,41.971959999999996,-87.89007,,,,,,,1574875122
2019-11-27 17:18:46,A40CD9,FFT1157,41.97197,-87.88968,,,,,,,1574875126
2019-11-27 17:18:47,A40CD9,FFT1157,41.97197,-87.88965999999999,,,,,,,1574875127
2019-11-27 17:18:47,A40CD9,FFT1157,41.97197,-87.88956,,,,,,,1574875127
2019-11-27 17:18:55,A40CD9,FFT1157,41.97197,-87.88889,,,,,,,1574875135
2019-11-27 17:18:56,A40CD9,FFT1157,41.97197,-87.8888,,,,,,,1574875136
2019-11-27 17:18:58,A40CD9,FFT1157,,,,,,,,,1574875138
2019-11-27 17:18:59,A40CD9,FFT1157,41.97197,-87.88852,,,,,,,1574875139
2019-11-27 17:19:08,A40CD9,FFT1157,41.97197,-87.88754,,,,,,,1574875148
2019-11-27 17:19:15,A40CD9,FFT1157,41.97197,-87.88682,,,,,,,1574875155
2019-11-27 17:19:16,A40CD9,FFT1157,41.97197,-87.88668,,,,,,,1574875156
2019-11-27 17:19:17,A40CD9,FFT1157,41.97197,-87.88663000000001,,,,,,,1574875157
2019-11-27 17:19:18,A40CD9,FFT1157,,,,,,,,,1574875158
2019-11-27 17:19:18,A40CD9,FFT1157,41.97197,-87.88646,,,,,,,1574875158
2019-11-27 17:19:19,A40CD9,FFT1157,41.97197,-87.88641,,,,,,,1574875159
2019-11-27 17:19:21,A40CD9,FFT1157,41.97197,-87.88625,,,,,,,1574875161
2019-11-27 17:19:22,A40CD9,FFT1157,41.97197,-87.88614,,,,,,,1574875162
2019-11-27 17:19:22,A40CD9,FFT1157,41.97197,-87.8861,,,,,,,1574875162
2019-11-27 17:19:25,A40CD9,FFT1157,41.97197,-87.88588,,,,,,,1574875165
2019-11-27 17:19:25,A40CD9,FFT1157,41.97197,-87.88583,,,,,,,1574875165
2019-11-27 17:19:30,A40CD9,FFT1157,41.97197,-87.88544,,,,,,,1574875170
2019-11-27 17:19:30,A40CD9,FFT1157,41.97197,-87.8854,,,,,,,1574875170
2019-11-27 17:19:31,A40CD9,FFT1157,41.97197,-87.88532,,,,,,,1574875171
2019-11-27 17:19:32,A40CD9,FFT1157,41.97197,-87.88524,,,,,,,1574875172
2019-11-27 17:19:36,A40CD9,FFT1157,41.97195,-87.88498,,,,,,,1574875176
2019-11-27 17:19:57,A40CD9,FFT1157,41.97163,-87.88448000000001,,,,,,,1574875197
2019-11-27 17:19:59,A40CD9,FFT1157,41.97163,-87.88448000000001,,,,,,,1574875199
2019-11-27 17:20:16,A40CD9,FFT1157,41.97163,-87.88448000000001,,,,,,,1574875216
2019-11-27 17:20:16,A40CD9,FFT1157,41.97163,-87.88448000000001,,,,,,,1574875216
2019-11-27 17:20:27,A40CD9,FFT1157,41.97163,-87.88448000000001,,,,,,,1574875227
2019-11-27 17:21:06,A40CD9,FFT1157,41.9715,-87.88438000000001,,,,,,,1574875266
2019-11-27 17:21:07,A40CD9,FFT1157,41.97148,-87.88435,,,,,,,1574875267
2019-11-27 17:21:08,A40CD9,FFT1157,,,,,,,,,1574875268
2019-11-27 17:21:10,A40CD9,FFT1157,41.97145,-87.88429000000001,,,,,,,1574875270
2019-11-27 17:21:11,A40CD9,FFT1157,41.97144,-87.88426,,,,,,,1574875271
2019-11-27 17:21:12,A40CD9,FFT1157,41.97142,-87.88423,,,,,,,1574875272
2019-11-27 17:21:18,A40CD9,FFT1157,41.97139,-87.88398000000001,,,,,,,1574875278
2019-11-27 17:21:21,A40CD9,FFT1157,41.9714,-87.88388,,,,,,,1574875281
2019-11-27 17:21:21,A40CD9,FFT1157,41.9714,-87.88385,,,,,,,1574875281
2019-11-27 17:21:22,A40CD9,FFT1157,41.9714,-87.88381,,,,,,,1574875282
2019-11-27 17:21:24,A40CD9,FFT1157,41.9714,-87.88373,,,,,,,1574875284
2019-11-27 17:21:26,A40CD9,FFT1157,41.9714,-87.8836,,,,,,,1574875286
2019-11-27 17:21:29,A40CD9,FFT1157,41.9714,-87.8835,,,,,,,1574875289
