received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:44:22,A50757,,,,,,151.0,242.93,1472.0,GS,1574873062
2019-11-27 16:44:26,A50757,,41.76883,-87.78551,2400.0,,,,,,1574873066
2019-11-27 16:44:41,A50757,,,,,,155.0,246.56,960.0,GS,1574873081
2019-11-27 16:44:42,A50757,,,,,,156.0,247.38,896.0,GS,1574873082
2019-11-27 16:44:42,A50757,,41.76389,-87.80005,2650.0,,,,,,1574873082
2019-11-27 16:44:57,A50757,,,,,,159.0,254.4,896.0,GS,1574873097
2019-11-27 16:45:05,A50757,,41.75913,-87.82106999999999,2975.0,,,,,,1574873105
2019-11-27 16:45:06,A50757,,,,,,155.0,264.11,1024.0,GS,1574873106
2019-11-27 16:45:09,A50757,,41.75894,-87.82464,3025.0,,,,,,1574873109
2019-11-27 16:45:09,A50757,,,,,,152.0,265.86,960.0,GS,1574873109
2019-11-27 16:45:09,A50757,,,,,,,,,,1574873109
2019-11-27 16:45:10,A50757,LXJ423,,,,,151.0,265.83,832.0,GS,1574873110
2019-11-27 16:45:12,A50757,LXJ423,41.75875,-87.82803,3100.0,,,,,,1574873112
2019-11-27 16:45:14,A50757,LXJ423,41.75866,-87.83006999999999,3125.0,,,,,,1574873114
2019-11-27 16:45:16,A50757,LXJ423,41.75858,-87.83182,3175.0,,,,,,1574873116
2019-11-27 16:45:16,A50757,LXJ423,,,,,152.0,267.74,1216.0,GS,1574873116
2019-11-27 16:45:24,A50757,LXJ423,,,,,,,,,1574873124
2019-11-27 16:45:25,A50757,LXJ423,41.75844,-87.84,3325.0,,,,,,1574873125
2019-11-27 16:45:30,A50757,LXJ423,41.7583,-87.84593000000001,3425.0,,,,,,1574873130
2019-11-27 16:45:38,A50757,LXJ423,41.75803,-87.85454,3575.0,,,,,,1574873138
2019-11-27 16:45:38,A50757,LXJ423,,,,,180.0,267.46,1664.0,GS,1574873138
2019-11-27 16:45:39,A50757,LXJ423,41.757979999999996,-87.85561,3600.0,,,,,,1574873139
2019-11-27 16:45:39,A50757,LXJ423,,,,,179.0,267.44,2112.0,GS,1574873139
2019-11-27 16:45:39,A50757,LXJ423,,,,,,,,,1574873139
2019-11-27 16:45:40,A50757,LXJ423,41.75796,-87.85664,3650.0,,,,,,1574873140
2019-11-27 16:45:42,A50757,LXJ423,,,,,179.0,267.44,2432.0,GS,1574873142
2019-11-27 16:45:55,A50757,LXJ423,,,,,200.0,268.0,1984.0,GS,1574873155
2019-11-27 16:45:59,A50757,LXJ423,,,,,211.0,267.56,1920.0,GS,1574873159
2019-11-27 16:46:02,A50757,LXJ423,41.75725,-87.88306999999999,4525.0,,,,,,1574873162
2019-11-27 16:46:09,A50757,LXJ423,41.756609999999995,-87.89291999999999,4925.0,,,,,,1574873169
2019-11-27 16:46:10,A50757,LXJ423,41.75652,-87.89443,5000.0,,,,,,1574873170
2019-11-27 16:46:12,A50757,LXJ423,41.756240000000005,-87.89768000000001,5100.0,,,,,,1574873172
