received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:19,A54AB2,,41.979,-87.91381,,,,,,,1574871559
2019-11-27 16:19:20,A54AB2,,41.97886,-87.91386,,,,,,,1574871560
2019-11-27 16:19:21,A54AB2,,41.97882,-87.91386,,,,,,,1574871561
2019-11-27 16:19:30,A54AB2,,41.97788,-87.91391,,,,,,,1574871570
2019-11-27 16:19:33,A54AB2,,41.977579999999996,-87.91388,,,,,,,1574871573
2019-11-27 16:19:33,A54AB2,,,,,,,,,,1574871573
2019-11-27 16:19:42,A54AB2,AWI3868,41.97683,-87.91364,,,,,,,1574871582
2019-11-27 16:20:08,A54AB2,AWI3868,41.974940000000004,-87.91186,,,,,,,1574871608
2019-11-27 16:20:10,A54AB2,AWI3868,41.97477,-87.91167,,,,,,,1574871610
2019-11-27 16:20:13,A54AB2,AWI3868,41.97459,-87.91149,,,,,,,1574871613
2019-11-27 16:20:20,A54AB2,AWI3868,41.97418,-87.91102,,,,,,,1574871620
2019-11-27 16:20:27,A54AB2,AWI3868,41.97377,-87.91055,,,,,,,1574871627
2019-11-27 16:20:31,A54AB2,AWI3868,41.97351,-87.91027,,,,,,,1574871631
2019-11-27 16:20:33,A54AB2,AWI3868,41.97339,-87.91011999999999,,,,,,,1574871633
2019-11-27 16:20:39,A54AB2,AWI3868,41.97291,-87.90952,,,,,,,1574871639
2019-11-27 16:20:44,A54AB2,AWI3868,41.972559999999994,-87.90904,,,,,,,1574871644
2019-11-27 16:20:47,A54AB2,AWI3868,41.97229,-87.90865,,,,,,,1574871647
2019-11-27 16:20:51,A54AB2,AWI3868,41.97201,-87.9082,,,,,,,1574871651
2019-11-27 16:20:53,A54AB2,AWI3868,41.971940000000004,-87.90805,,,,,,,1574871653
2019-11-27 16:20:56,A54AB2,AWI3868,41.97177,-87.90765999999999,,,,,,,1574871656
2019-11-27 16:21:01,A54AB2,AWI3868,41.97161,-87.90714,,,,,,,1574871661
2019-11-27 16:21:02,A54AB2,AWI3868,41.9716,-87.90706999999999,,,,,,,1574871662
2019-11-27 16:21:03,A54AB2,AWI3868,41.971579999999996,-87.90695,,,,,,,1574871663
2019-11-27 16:21:04,A54AB2,AWI3868,41.97156,-87.90684,,,,,,,1574871664
2019-11-27 16:21:05,A54AB2,AWI3868,41.97155,-87.90671,,,,,,,1574871665
2019-11-27 16:21:06,A54AB2,AWI3868,41.97153,-87.90658,,,,,,,1574871666
2019-11-27 16:21:12,A54AB2,AWI3868,41.97149,-87.90587,,,,,,,1574871672
2019-11-27 16:21:18,A54AB2,AWI3868,41.97152,-87.90548000000001,,,,,,,1574871678
2019-11-27 16:21:28,A54AB2,AWI3868,41.972,-87.90534,,,,,,,1574871688
