received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:24,A5AC43,,,,,,402.0,120.13,1088.0,GS,1574871564
2019-11-27 16:19:24,A5AC43,,,,,,,,,,1574871564
2019-11-27 16:19:59,A5AC43,AWI773A,,,,,,,,,1574871599
2019-11-27 16:19:59,A5AC43,AWI773A,,,,,412.0,100.06,1792.0,GS,1574871599
2019-11-27 16:20:00,A5AC43,AWI773A,42.02042,-87.17779,16525.0,,,,,,1574871600
2019-11-27 16:20:19,A5AC43,AWI773A,,,,,,,,,1574871619
2019-11-27 16:20:22,A5AC43,AWI773A,,,,,415.0,99.98,1984.0,GS,1574871622
2019-11-27 16:20:41,A5AC43,AWI773A,42.00669,-87.07259,17650.0,,,,,,1574871641
2019-11-27 16:21:28,A5AC43,AWI773A,41.9902,-86.95092,18600.0,,,,,,1574871688
2019-11-27 16:21:33,A5AC43,AWI773A,,,,,431.0,100.55,1280.0,GS,1574871693
