received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:27:24,A5C36E,,,,,,168.0,321.5,3456.0,GS,1574872044
2019-11-27 16:27:24,A5C36E,,41.97583,-87.97034000000001,4450.0,,,,,,1574872044
2019-11-27 16:27:24,A5C36E,,,,,,168.0,321.5,3456.0,GS,1574872044
2019-11-27 16:27:25,A5C36E,,41.97652,-87.9709,4525.0,,,,,,1574872045
2019-11-27 16:27:26,A5C36E,,41.9772,-87.97146,4575.0,,,,,,1574872046
2019-11-27 16:27:26,A5C36E,,,,,,173.0,327.5,3136.0,GS,1574872046
2019-11-27 16:27:27,A5C36E,,41.97755,-87.97174,4600.0,,,,,,1574872047
2019-11-27 16:27:27,A5C36E,,,,,,175.0,330.21,3008.0,GS,1574872047
2019-11-27 16:27:28,A5C36E,,41.978390000000005,-87.97227,4650.0,,,,,,1574872048
2019-11-27 16:27:28,A5C36E,,,,,,177.0,332.86,2944.0,GS,1574872048
2019-11-27 16:27:29,A5C36E,,41.97909,-87.9727,4700.0,,,,,,1574872049
2019-11-27 16:27:29,A5C36E,,41.97945,-87.9729,4725.0,,,,,,1574872049
2019-11-27 16:27:30,A5C36E,,,,,,179.0,335.29,2752.0,GS,1574872050
2019-11-27 16:27:30,A5C36E,,41.97995,-87.97315,4750.0,,,,,,1574872050
2019-11-27 16:27:30,A5C36E,,,,,,182.0,338.08,2624.0,GS,1574872050
2019-11-27 16:27:31,A5C36E,,41.98123,-87.97371,4825.0,,,,,,1574872051
2019-11-27 16:27:32,A5C36E,,,,,,184.0,340.68,2496.0,GS,1574872052
2019-11-27 16:27:33,A5C36E,,,,,,186.0,343.21,2432.0,GS,1574872053
2019-11-27 16:27:33,A5C36E,,41.98242,-87.97408,4875.0,,,,,,1574872053
2019-11-27 16:27:34,A5C36E,,41.98379,-87.97443,4950.0,,,,,,1574872054
2019-11-27 16:27:35,A5C36E,,41.98411,-87.97449,4975.0,,,,,,1574872055
2019-11-27 16:27:36,A5C36E,,41.985490000000006,-87.97471,5025.0,,,,,,1574872056
2019-11-27 16:27:37,A5C36E,,41.98598,-87.97475,5050.0,,,,,,1574872057
2019-11-27 16:27:37,A5C36E,,,,,,202.0,355.75,2240.0,GS,1574872057
2019-11-27 16:27:37,A5C36E,,41.98645,-87.97476999999999,5050.0,,,,,,1574872057
2019-11-27 16:27:39,A5C36E,,,,,,205.0,357.77,2240.0,GS,1574872059
2019-11-27 16:27:39,A5C36E,,41.9886,-87.97476999999999,5150.0,,,,,,1574872059
2019-11-27 16:27:39,A5C36E,,,,,,,,,,1574872059
2019-11-27 16:27:41,A5C36E,AWI890A,41.99057,-87.97465,5225.0,,,,,,1574872061
2019-11-27 16:27:42,A5C36E,AWI890A,41.991170000000004,-87.97465,5250.0,,,,,,1574872062
2019-11-27 16:27:43,A5C36E,AWI890A,41.99194,-87.97458,5275.0,,,,,,1574872063
2019-11-27 16:27:44,A5C36E,AWI890A,,,,,,,,,1574872064
2019-11-27 16:27:45,A5C36E,AWI890A,,,,,216.0,3.71,1984.0,GS,1574872065
2019-11-27 16:27:45,A5C36E,AWI890A,41.99445,-87.97436,5375.0,,,,,,1574872065
2019-11-27 16:27:46,A5C36E,AWI890A,,,,,217.0,4.22,1600.0,GS,1574872066
2019-11-27 16:27:46,A5C36E,AWI890A,,,,,217.0,4.22,1600.0,GS,1574872066
2019-11-27 16:27:47,A5C36E,AWI890A,41.99638,-87.97415,5425.0,,,,,,1574872067
2019-11-27 16:27:48,A5C36E,AWI890A,,,,,220.0,5.19,768.0,GS,1574872068
2019-11-27 16:27:49,A5C36E,AWI890A,41.9978,-87.97395999999999,5450.0,,,,,,1574872069
2019-11-27 16:27:49,A5C36E,AWI890A,41.99821,-87.9739,5450.0,,,,,,1574872069
2019-11-27 16:27:50,A5C36E,AWI890A,,,,,222.0,5.68,384.0,GS,1574872070
2019-11-27 16:27:50,A5C36E,AWI890A,,,,,224.0,6.14,128.0,GS,1574872070
2019-11-27 16:27:51,A5C36E,AWI890A,,,,,225.0,6.62,-64.0,GS,1574872071
2019-11-27 16:27:52,A5C36E,AWI890A,,,,,227.0,7.06,-192.0,GS,1574872072
2019-11-27 16:27:53,A5C36E,AWI890A,,,,,229.0,7.25,-192.0,GS,1574872073
2019-11-27 16:27:53,A5C36E,AWI890A,42.002320000000005,-87.97321,5450.0,,,,,,1574872073
2019-11-27 16:27:53,A5C36E,AWI890A,,,,,229.0,7.25,-192.0,GS,1574872073
2019-11-27 16:27:54,A5C36E,AWI890A,42.003890000000006,-87.97296,5450.0,,,,,,1574872074
2019-11-27 16:27:55,A5C36E,AWI890A,,,,,232.0,7.4,-256.0,GS,1574872075
2019-11-27 16:27:56,A5C36E,AWI890A,,,,,234.0,7.61,-320.0,GS,1574872076
2019-11-27 16:27:56,A5C36E,AWI890A,,,,,234.0,7.61,-320.0,GS,1574872076
2019-11-27 16:27:56,A5C36E,AWI890A,42.00595,-87.97258000000001,5450.0,,,,,,1574872076
2019-11-27 16:27:57,A5C36E,AWI890A,,,,,236.0,7.79,-320.0,GS,1574872077
2019-11-27 16:27:58,A5C36E,AWI890A,42.0076,-87.97227,5425.0,,,,,,1574872078
2019-11-27 16:27:58,A5C36E,AWI890A,42.00801,-87.97215,5425.0,,,,,,1574872078
2019-11-27 16:27:59,A5C36E,AWI890A,,,,,238.0,7.96,-192.0,GS,1574872079
2019-11-27 16:27:59,A5C36E,AWI890A,,,,,,,,,1574872079
2019-11-27 16:28:00,A5C36E,AWI890A,,,,,239.0,8.16,-128.0,GS,1574872080
2019-11-27 16:28:00,A5C36E,AWI890A,42.0099,-87.97180999999999,5425.0,,,,,,1574872080
2019-11-27 16:28:00,A5C36E,AWI890A,,,,,241.0,8.1,-128.0,GS,1574872080
2019-11-27 16:28:02,A5C36E,AWI890A,42.01204,-87.9714,5425.0,,,,,,1574872082
2019-11-27 16:28:02,A5C36E,AWI890A,,,,,243.0,8.5,64.0,GS,1574872082
2019-11-27 16:28:02,A5C36E,AWI890A,42.0126,-87.9713,5425.0,,,,,,1574872082
2019-11-27 16:28:03,A5C36E,AWI890A,,,,,244.0,8.69,64.0,GS,1574872083
2019-11-27 16:28:04,A5C36E,AWI890A,42.01474,-87.97084,5425.0,,,,,,1574872084
2019-11-27 16:28:05,A5C36E,AWI890A,,,,,247.0,8.82,-128.0,GS,1574872085
2019-11-27 16:28:06,A5C36E,AWI890A,,,,,248.0,9.04,-128.0,GS,1574872086
2019-11-27 16:28:07,A5C36E,AWI890A,,,,,248.0,9.04,-128.0,GS,1574872087
2019-11-27 16:28:07,A5C36E,AWI890A,42.018359999999994,-87.97009,5425.0,,,,,,1574872087
2019-11-27 16:28:08,A5C36E,AWI890A,,,,,248.0,8.78,-64.0,GS,1574872088
2019-11-27 16:28:09,A5C36E,AWI890A,,,,,,,,,1574872089
2019-11-27 16:28:10,A5C36E,AWI890A,,,,,248.0,8.78,-64.0,GS,1574872090
2019-11-27 16:28:10,A5C36E,AWI890A,,,,,248.0,8.78,0.0,GS,1574872090
2019-11-27 16:28:11,A5C36E,AWI890A,42.02293,-87.96915,5425.0,,,,,,1574872091
2019-11-27 16:28:13,A5C36E,AWI890A,,,,,247.0,8.82,0.0,GS,1574872093
2019-11-27 16:28:14,A5C36E,AWI890A,,,,,246.0,8.85,0.0,GS,1574872094
2019-11-27 16:28:15,A5C36E,AWI890A,,,,,246.0,8.85,64.0,GS,1574872095
2019-11-27 16:28:15,A5C36E,AWI890A,42.02755,-87.96817,5425.0,,,,,,1574872095
2019-11-27 16:28:16,A5C36E,AWI890A,,,,,246.0,8.85,64.0,GS,1574872096
2019-11-27 16:28:16,A5C36E,AWI890A,42.02811,-87.96803,5425.0,,,,,,1574872096
2019-11-27 16:28:16,A5C36E,AWI890A,,,,,245.0,8.66,64.0,GS,1574872096
2019-11-27 16:28:17,A5C36E,AWI890A,42.028659999999995,-87.96791,5425.0,,,,,,1574872097
2019-11-27 16:28:17,A5C36E,AWI890A,,,,,245.0,8.66,64.0,GS,1574872097
2019-11-27 16:28:17,A5C36E,AWI890A,42.02925,-87.96784,5425.0,,,,,,1574872097
2019-11-27 16:28:17,A5C36E,AWI890A,,,,,245.0,8.66,64.0,GS,1574872097
2019-11-27 16:28:18,A5C36E,AWI890A,42.03025,-87.96759,5425.0,,,,,,1574872098
2019-11-27 16:28:19,A5C36E,AWI890A,,,,,,,,,1574872099
2019-11-27 16:28:20,A5C36E,AWI890A,,,,,246.0,8.16,64.0,GS,1574872100
