received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:20,A7D7F3,,,,,,359.0,182.87,2048.0,GS,1574871560
2019-11-27 16:19:36,A7D7F3,,,,,,370.0,176.75,1600.0,GS,1574871576
2019-11-27 16:19:39,A7D7F3,,41.45612,-87.86884,13625.0,,,,,,1574871579
2019-11-27 16:19:45,A7D7F3,,,,,,378.0,173.48,1600.0,GS,1574871585
2019-11-27 16:19:51,A7D7F3,,41.43658,-87.86572,13925.0,,,,,,1574871591
2019-11-27 16:20:17,A7D7F3,,,,,,386.0,169.56,1984.0,GS,1574871617
2019-11-27 16:20:19,A7D7F3,,,,,,,,,,1574871619
2019-11-27 16:20:20,A7D7F3,ASQ4187,,,,,386.0,169.71,1984.0,GS,1574871620
2019-11-27 16:20:20,A7D7F3,ASQ4187,41.3849,-87.85321,14975.0,,,,,,1574871620
2019-11-27 16:20:26,A7D7F3,ASQ4187,41.37395,-87.85055,15200.0,,,,,,1574871626
2019-11-27 16:20:29,A7D7F3,ASQ4187,41.368829999999996,-87.8493,15300.0,,,,,,1574871629
2019-11-27 16:20:32,A7D7F3,ASQ4187,,,,,387.0,169.59,1984.0,GS,1574871632
2019-11-27 16:20:33,A7D7F3,ASQ4187,,,,,387.0,169.59,1984.0,GS,1574871633
2019-11-27 16:20:34,A7D7F3,ASQ4187,41.36137,-87.84747,15425.0,,,,,,1574871634
2019-11-27 16:21:12,A7D7F3,ASQ4187,41.29257,-87.83093000000001,16700.0,,,,,,1574871672
2019-11-27 16:21:33,A7D7F3,ASQ4187,41.255520000000004,-87.82209,17200.0,,,,,,1574871693
2019-11-27 16:21:43,A7D7F3,ASQ4187,,,,,399.0,169.76,1536.0,GS,1574871703
2019-11-27 16:21:50,A7D7F3,ASQ4187,,,,,400.0,169.78,1792.0,GS,1574871710
2019-11-27 16:21:55,A7D7F3,ASQ4187,41.216609999999996,-87.81278,17750.0,,,,,,1574871715
2019-11-27 16:21:56,A7D7F3,ASQ4187,41.21475,-87.81232,17775.0,,,,,,1574871716
2019-11-27 16:22:10,A7D7F3,ASQ4187,,,,,401.0,169.67,1536.0,GS,1574871730
2019-11-27 16:25:08,A7D7F3,ASQ4187,,,,,416.0,169.77,1728.0,GS,1574871908
