received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:20:19,A7E62D,,,,,,437.0,162.02,896.0,GS,1574871619
2019-11-27 16:20:29,A7E62D,,,,,,440.0,162.02,1536.0,GS,1574871629
2019-11-27 16:20:34,A7E62D,,,,,,441.0,162.06,1792.0,GS,1574871634
2019-11-27 16:20:42,A7E62D,,40.988690000000005,-87.62120999999999,24525.0,,,,,,1574871642
2019-11-27 16:20:45,A7E62D,,40.98386,-87.61914,24575.0,,,,,,1574871645
2019-11-27 16:20:45,A7E62D,,,,,,443.0,162.01,832.0,GS,1574871645
2019-11-27 16:20:47,A7E62D,,,,,,445.0,162.09,640.0,GS,1574871647
2019-11-27 16:20:52,A7E62D,,40.96886,-87.61272,24650.0,,,,,,1574871652
2019-11-27 16:20:55,A7E62D,,,,,,448.0,162.09,768.0,GS,1574871655
2019-11-27 16:22:23,A7E62D,,,,,,468.0,161.6,2432.0,GS,1574871743
2019-11-27 16:24:07,A7E62D,,,,,,487.0,161.94,832.0,GS,1574871847
2019-11-27 16:24:17,A7E62D,,40.54367,-87.42969000000001,28750.0,,,,,,1574871857
2019-11-27 16:24:21,A7E62D,,,,,,489.0,162.05,1088.0,GS,1574871861
2019-11-27 16:24:22,A7E62D,,40.53317,-87.4252,28825.0,,,,,,1574871862
2019-11-27 16:24:29,A7E62D,,40.51785,-87.4187,28975.0,,,,,,1574871869
2019-11-27 16:26:35,A7E62D,,40.24548,-87.30242,31675.0,,,,,,1574871995
2019-11-27 16:26:35,A7E62D,,,,,,489.0,161.79,1920.0,GS,1574871995
2019-11-27 16:26:52,A7E62D,,40.20903,-87.28688000000001,32200.0,,,,,,1574872012
2019-11-27 16:27:02,A7E62D,,40.188309999999994,-87.27801,32750.0,,,,,,1574872022
2019-11-27 16:27:28,A7E62D,,40.13576,-87.25548,34400.0,,,,,,1574872048
2019-11-27 16:28:04,A7E62D,,40.06695,-87.22708,35025.0,,,,,,1574872084
