received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:57:52,A84A7B,,41.76146,-87.77115,2900.0,,,,,,1574873872
2019-11-27 16:57:54,A84A7B,,,,,,172.0,176.01,1856.0,GS,1574873874
2019-11-27 16:57:56,A84A7B,,41.75826,-87.77059,3025.0,,,,,,1574873876
2019-11-27 16:57:57,A84A7B,,41.757290000000005,-87.77027,3075.0,,,,,,1574873877
2019-11-27 16:58:00,A84A7B,,41.75522,-87.76939,3125.0,,,,,,1574873880
2019-11-27 16:58:05,A84A7B,,,,,,207.0,149.6,1216.0,GS,1574873885
2019-11-27 16:58:10,A84A7B,,,,,,222.0,140.29,512.0,GS,1574873890
2019-11-27 16:58:12,A84A7B,,,,,,228.0,137.3,-192.0,GS,1574873892
2019-11-27 16:58:19,A84A7B,,41.74045,-87.75317,3275.0,,,,,,1574873899
2019-11-27 16:58:20,A84A7B,,41.73976,-87.75199,3275.0,,,,,,1574873900
2019-11-27 16:58:21,A84A7B,,41.73897,-87.75068,3275.0,,,,,,1574873901
2019-11-27 16:58:21,A84A7B,,,,,,245.0,127.9,320.0,GS,1574873901
2019-11-27 16:58:22,A84A7B,,,,,,247.0,128.26,320.0,GS,1574873902
2019-11-27 16:58:39,A84A7B,,41.725609999999996,-87.72953000000001,3450.0,,,,,,1574873919
2019-11-27 16:58:50,A84A7B,,41.71674,-87.71559,3425.0,,,,,,1574873930
2019-11-27 16:58:55,A84A7B,,,,,,265.0,130.88,1408.0,GS,1574873935
2019-11-27 16:59:12,A84A7B,,,,,,282.0,131.41,2432.0,GS,1574873952
2019-11-27 16:59:13,A84A7B,,,,,,283.0,131.57,2432.0,GS,1574873953
2019-11-27 16:59:37,A84A7B,,,,,,315.0,103.02,832.0,GS,1574873977
2019-11-27 17:00:25,A84A7B,,41.67836,-87.55452,5675.0,,,,,,1574874025
2019-11-27 17:00:25,A84A7B,,,,,,,,,,1574874025
2019-11-27 17:00:42,A84A7B,SKW3928,41.6819,-87.52226999999999,6625.0,,,,,,1574874042
2019-11-27 17:00:59,A84A7B,SKW3928,41.68785,-87.49025,7450.0,,,,,,1574874059
2019-11-27 17:01:04,A84A7B,SKW3928,,,,,313.0,75.79,1280.0,GS,1574874064
2019-11-27 17:01:07,A84A7B,SKW3928,,,,,316.0,75.92,1216.0,GS,1574874067
2019-11-27 17:01:35,A84A7B,SKW3928,,,,,328.0,76.81,2496.0,GS,1574874095
2019-11-27 17:01:42,A84A7B,SKW3928,41.70277,-87.40791,8800.0,,,,,,1574874102
2019-11-27 17:01:51,A84A7B,SKW3928,,,,,324.0,76.82,3008.0,GS,1574874111
2019-11-27 17:02:15,A84A7B,SKW3928,,,,,327.0,76.94,1984.0,GS,1574874135
2019-11-27 17:02:24,A84A7B,SKW3928,,,,,,,,,1574874144
2019-11-27 17:02:48,A84A7B,SKW3928,,,,,339.0,77.07,1664.0,GS,1574874168
2019-11-27 17:02:55,A84A7B,SKW3928,41.72831,-87.26120999999999,11450.0,,,,,,1574874175
2019-11-27 17:03:58,A84A7B,SKW3928,,,,,365.0,77.18,1792.0,GS,1574874238
2019-11-27 17:04:29,A84A7B,SKW3928,,,,,374.0,77.97,1024.0,GS,1574874269
2019-11-27 17:04:31,A84A7B,SKW3928,41.763459999999995,-87.05349,14175.0,,,,,,1574874271
2019-11-27 17:04:34,A84A7B,SKW3928,41.76443,-87.04686,14250.0,,,,,,1574874274
2019-11-27 17:04:52,A84A7B,SKW3928,41.770070000000004,-87.00393000000001,14550.0,,,,,,1574874292
2019-11-27 17:04:54,A84A7B,SKW3928,,,,,392.0,79.87,960.0,GS,1574874294
2019-11-27 17:05:05,A84A7B,SKW3928,,,,,399.0,80.21,960.0,GS,1574874305
2019-11-27 17:05:06,A84A7B,SKW3928,41.7744,-86.97065,14775.0,,,,,,1574874306
2019-11-27 17:05:13,A84A7B,SKW3928,41.77657,-86.95373000000001,14875.0,,,,,,1574874313
2019-11-27 17:05:24,A84A7B,SKW3928,,,,,410.0,80.17,1024.0,GS,1574874324
2019-11-27 17:05:34,A84A7B,SKW3928,,,,,,,,,1574874334
2019-11-27 17:06:53,A84A7B,SKW3928,,,,,,,,,1574874413
2019-11-27 17:08:52,A84A7B,SKW3928,,,,,461.0,80.52,1472.0,GS,1574874532
