received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:38:06,A8C4A8,,,,,,411.0,158.17,1472.0,GS,1574872686
2019-11-27 16:38:09,A8C4A8,,,,,,412.0,158.22,1408.0,GS,1574872689
2019-11-27 16:38:48,A8C4A8,,,,,,411.0,158.04,1536.0,GS,1574872728
2019-11-27 16:39:03,A8C4A8,,42.08615,-87.87795,25825.0,,,,,,1574872743
2019-11-27 16:39:12,A8C4A8,,,,,,412.0,157.91,1472.0,GS,1574872752
2019-11-27 16:39:16,A8C4A8,,,,,,412.0,157.79,1408.0,GS,1574872756
2019-11-27 16:39:23,A8C4A8,,,,,,412.0,157.79,1472.0,GS,1574872763
2019-11-27 16:39:32,A8C4A8,,,,,,412.0,157.91,1472.0,GS,1574872772
2019-11-27 16:39:35,A8C4A8,,42.02955,-87.84706,26600.0,,,,,,1574872775
2019-11-27 16:39:44,A8C4A8,,42.01381,-87.83856999999999,26800.0,,,,,,1574872784
2019-11-27 16:39:45,A8C4A8,,42.01204,-87.83761,26825.0,,,,,,1574872785
2019-11-27 16:39:50,A8C4A8,,42.00311,-87.83288,26975.0,,,,,,1574872790
2019-11-27 16:39:59,A8C4A8,,41.986129999999996,-87.82383,27125.0,,,,,,1574872799
2019-11-27 16:40:00,A8C4A8,,,,,,412.0,158.4,1088.0,GS,1574872800
2019-11-27 16:40:07,A8C4A8,,41.971759999999996,-87.81622,27275.0,,,,,,1574872807
2019-11-27 16:40:11,A8C4A8,,41.964890000000004,-87.81257,27350.0,,,,,,1574872811
2019-11-27 16:40:14,A8C4A8,,41.95953,-87.80976,27400.0,,,,,,1574872814
2019-11-27 16:40:19,A8C4A8,,41.95046,-87.80490999999999,27475.0,,,,,,1574872819
2019-11-27 16:40:21,A8C4A8,,,,,,415.0,158.07,960.0,GS,1574872821
2019-11-27 16:40:21,A8C4A8,,41.94681,-87.80292,27500.0,,,,,,1574872821
2019-11-27 16:40:22,A8C4A8,,,,,,415.0,158.07,960.0,GS,1574872822
2019-11-27 16:40:22,A8C4A8,,41.94502,-87.80199,27525.0,,,,,,1574872822
2019-11-27 16:40:23,A8C4A8,,,,,,415.0,158.07,1024.0,GS,1574872823
2019-11-27 16:40:29,A8C4A8,,41.93249,-87.7952,27650.0,,,,,,1574872829
2019-11-27 16:40:33,A8C4A8,,,,,,415.0,158.12,1024.0,GS,1574872833
2019-11-27 16:40:33,A8C4A8,,41.92561,-87.7915,27700.0,,,,,,1574872833
2019-11-27 16:40:34,A8C4A8,,41.92383,-87.79056,27725.0,,,,,,1574872834
2019-11-27 16:40:43,A8C4A8,,41.909,-87.78256999999999,27875.0,,,,,,1574872843
2019-11-27 16:40:46,A8C4A8,,41.903529999999996,-87.77960999999999,27925.0,,,,,,1574872846
2019-11-27 16:40:47,A8C4A8,,,,,,417.0,158.05,896.0,GS,1574872847
2019-11-27 16:40:49,A8C4A8,,41.89774,-87.77651999999999,27950.0,,,,,,1574872849
2019-11-27 16:40:50,A8C4A8,,41.89577,-87.77546,27975.0,,,,,,1574872850
2019-11-27 16:40:50,A8C4A8,,,,,,,,,,1574872850
2019-11-27 16:40:51,A8C4A8,COL664,,,,,418.0,158.1,640.0,GS,1574872851
2019-11-27 16:40:51,A8C4A8,COL664,41.89398,-87.77445999999999,27975.0,,,,,,1574872851
2019-11-27 16:40:52,A8C4A8,COL664,,,,,418.0,158.1,576.0,GS,1574872852
2019-11-27 16:40:55,A8C4A8,COL664,,,,,420.0,158.2,448.0,GS,1574872855
2019-11-27 16:40:58,A8C4A8,COL664,,,,,420.0,158.07,256.0,GS,1574872858
2019-11-27 16:40:59,A8C4A8,COL664,41.879090000000005,-87.76652,28025.0,,,,,,1574872859
2019-11-27 16:41:00,A8C4A8,COL664,,,,,421.0,158.12,192.0,GS,1574872860
2019-11-27 16:41:00,A8C4A8,COL664,,,,,,,,,1574872860
2019-11-27 16:41:00,A8C4A8,COL664,41.877179999999996,-87.76547,28025.0,,,,,,1574872860
2019-11-27 16:41:03,A8C4A8,COL664,41.8721,-87.76272,28025.0,,,,,,1574872863
2019-11-27 16:41:04,A8C4A8,COL664,,,,,423.0,158.1,64.0,GS,1574872864
2019-11-27 16:41:05,A8C4A8,COL664,,,,,424.0,158.15,64.0,GS,1574872865
2019-11-27 16:41:10,A8C4A8,COL664,,,,,426.0,158.25,-64.0,GS,1574872870
2019-11-27 16:41:11,A8C4A8,COL664,,,,,427.0,158.3,-192.0,GS,1574872871
2019-11-27 16:41:12,A8C4A8,COL664,,,,,427.0,158.17,0.0,GS,1574872872
2019-11-27 16:41:15,A8C4A8,COL664,41.85013,-87.75099,28050.0,,,,,,1574872875
2019-11-27 16:41:17,A8C4A8,COL664,,,,,427.0,158.17,896.0,GS,1574872877
2019-11-27 16:41:17,A8C4A8,COL664,41.84683,-87.74924,28100.0,,,,,,1574872877
2019-11-27 16:41:18,A8C4A8,COL664,,,,,427.0,158.17,896.0,GS,1574872878
2019-11-27 16:41:23,A8C4A8,COL664,,,,,428.0,158.22,832.0,GS,1574872883
2019-11-27 16:41:23,A8C4A8,COL664,41.83562,-87.74325,28175.0,,,,,,1574872883
2019-11-27 16:41:26,A8C4A8,COL664,,,,,428.0,158.1,896.0,GS,1574872886
2019-11-27 16:41:32,A8C4A8,COL664,41.819359999999996,-87.73445,28300.0,,,,,,1574872892
2019-11-27 16:41:32,A8C4A8,COL664,,,,,429.0,157.98,960.0,GS,1574872892
2019-11-27 16:41:37,A8C4A8,COL664,41.80989,-87.72933,28400.0,,,,,,1574872897
