received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:25:44,A8D5A0,,,,,,,,,,1574871944
2019-11-27 16:26:47,A8D5A0,UAL1590,41.9801,-87.90739,,,,,,,1574872007
2019-11-27 16:38:51,A8D5A0,UAL1590,,,,,,,,,1574872731
2019-11-27 16:38:53,A8D5A0,UAL1590,41.97566,-87.90905,,,,,,,1574872733
2019-11-27 16:39:06,A8D5A0,UAL1590,,,,,,,,,1574872746
2019-11-27 16:39:28,A8D5A0,UAL1590,41.97538,-87.90991,,,,,,,1574872768
2019-11-27 16:39:28,A8D5A0,UAL1590,41.97538,-87.90991,,,,,,,1574872768
2019-11-27 16:39:59,A8D5A0,UAL1590,41.97532,-87.91015,,,,,,,1574872799
2019-11-27 16:40:09,A8D5A0,UAL1590,41.97522,-87.91046999999999,,,,,,,1574872809
2019-11-27 16:40:10,A8D5A0,UAL1590,41.97522,-87.91049,,,,,,,1574872810
2019-11-27 16:40:12,A8D5A0,UAL1590,41.9752,-87.91058000000001,,,,,,,1574872812
2019-11-27 16:40:14,A8D5A0,UAL1590,41.975190000000005,-87.91068,,,,,,,1574872814
2019-11-27 16:40:19,A8D5A0,UAL1590,41.97525,-87.9109,,,,,,,1574872819
2019-11-27 16:40:21,A8D5A0,UAL1590,41.97529,-87.91099,,,,,,,1574872821
2019-11-27 16:40:26,A8D5A0,UAL1590,41.97549,-87.91119,,,,,,,1574872826
2019-11-27 16:40:35,A8D5A0,UAL1590,,,,,,,,,1574872835
2019-11-27 16:41:18,A8D5A0,UAL1590,41.97606,-87.91396999999999,,,,,,,1574872878
2019-11-27 16:41:19,A8D5A0,UAL1590,41.97605,-87.91403000000001,,,,,,,1574872879
2019-11-27 16:41:26,A8D5A0,UAL1590,41.97578,-87.91422,,,,,,,1574872886
2019-11-27 16:41:30,A8D5A0,UAL1590,,,,,,,,,1574872890
2019-11-27 16:41:33,A8D5A0,UAL1590,41.9755,-87.91413,,,,,,,1574872893
2019-11-27 16:41:35,A8D5A0,UAL1590,41.97544,-87.91408,,,,,,,1574872895
2019-11-27 16:41:36,A8D5A0,UAL1590,41.97538,-87.91402,,,,,,,1574872896
2019-11-27 16:41:38,A8D5A0,UAL1590,41.97532,-87.91394,,,,,,,1574872898
2019-11-27 16:41:43,A8D5A0,UAL1590,41.975159999999995,-87.91378,,,,,,,1574872903
2019-11-27 16:41:44,A8D5A0,UAL1590,41.975120000000004,-87.91374,,,,,,,1574872904
2019-11-27 16:41:49,A8D5A0,UAL1590,41.97498,-87.91356,,,,,,,1574872909
2019-11-27 16:41:49,A8D5A0,UAL1590,41.974959999999996,-87.91355,,,,,,,1574872909
2019-11-27 16:41:52,A8D5A0,UAL1590,41.97487,-87.91344000000001,,,,,,,1574872912
2019-11-27 16:41:55,A8D5A0,UAL1590,41.97477,-87.91333,,,,,,,1574872915
2019-11-27 16:41:59,A8D5A0,UAL1590,41.97464,-87.91319,,,,,,,1574872919
2019-11-27 16:42:00,A8D5A0,UAL1590,41.97463,-87.91317,,,,,,,1574872920
2019-11-27 16:42:04,A8D5A0,UAL1590,41.9745,-87.91303,,,,,,,1574872924
2019-11-27 16:42:06,A8D5A0,UAL1590,41.97445,-87.91297,,,,,,,1574872926
2019-11-27 16:42:24,A8D5A0,UAL1590,41.97428,-87.91279,,,,,,,1574872944
2019-11-27 16:42:37,A8D5A0,UAL1590,41.97429,-87.91278,,,,,,,1574872957
2019-11-27 16:42:42,A8D5A0,UAL1590,41.97429,-87.91278,,,,,,,1574872962
2019-11-27 16:42:44,A8D5A0,UAL1590,41.97428,-87.91279,,,,,,,1574872964
2019-11-27 16:42:49,A8D5A0,UAL1590,,,,,,,,,1574872969
2019-11-27 16:44:40,A8D5A0,UAL1590,,,,,,,,,1574873080
2019-11-27 16:44:53,A8D5A0,UAL1590,41.97418,-87.91268000000001,,,,,,,1574873093
2019-11-27 16:44:54,A8D5A0,UAL1590,41.97416,-87.91264,,,,,,,1574873094
2019-11-27 16:44:54,A8D5A0,UAL1590,41.974140000000006,-87.91263000000001,,,,,,,1574873094
2019-11-27 16:44:59,A8D5A0,UAL1590,,,,,,,,,1574873099
2019-11-27 16:44:59,A8D5A0,UAL1590,41.97402,-87.91249,,,,,,,1574873099
2019-11-27 16:45:06,A8D5A0,UAL1590,41.97379,-87.91225,,,,,,,1574873106
2019-11-27 16:45:06,A8D5A0,UAL1590,41.97378,-87.91221,,,,,,,1574873106
2019-11-27 16:45:11,A8D5A0,UAL1590,41.9736,-87.91204,,,,,,,1574873111
2019-11-27 16:45:13,A8D5A0,UAL1590,41.97352,-87.91194,,,,,,,1574873113
2019-11-27 16:45:19,A8D5A0,UAL1590,41.97325,-87.91164,,,,,,,1574873119
2019-11-27 16:45:19,A8D5A0,UAL1590,41.97323,-87.91161,,,,,,,1574873119
2019-11-27 16:45:20,A8D5A0,UAL1590,41.97322,-87.91159,,,,,,,1574873120
2019-11-27 16:45:21,A8D5A0,UAL1590,41.97314,-87.91150999999999,,,,,,,1574873121
2019-11-27 16:45:22,A8D5A0,UAL1590,41.97312,-87.91149,,,,,,,1574873122
2019-11-27 16:45:23,A8D5A0,UAL1590,41.97309,-87.91145,,,,,,,1574873123
2019-11-27 16:45:27,A8D5A0,UAL1590,41.97295,-87.91129000000001,,,,,,,1574873127
2019-11-27 16:45:28,A8D5A0,UAL1590,41.97292,-87.91124,,,,,,,1574873128
2019-11-27 16:45:31,A8D5A0,UAL1590,41.972809999999996,-87.91113,,,,,,,1574873131
2019-11-27 16:45:32,A8D5A0,UAL1590,41.97278,-87.9111,,,,,,,1574873132
2019-11-27 16:45:33,A8D5A0,UAL1590,41.97274,-87.91105,,,,,,,1574873133
2019-11-27 16:45:33,A8D5A0,UAL1590,41.97273,-87.91103000000001,,,,,,,1574873133
2019-11-27 16:45:34,A8D5A0,UAL1590,41.97271,-87.91102,,,,,,,1574873134
2019-11-27 16:45:34,A8D5A0,UAL1590,,,,,,,,,1574873134
2019-11-27 16:45:35,A8D5A0,UAL1590,41.97268,-87.91098000000001,,,,,,,1574873135
