received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:20:01,A9903A,,,,,,,,,,1574871601
2019-11-27 16:21:41,A9903A,SKW3032,,,,,,,,,1574871701
2019-11-27 16:22:28,A9903A,SKW3032,41.97268,-87.90252,,,,,,,1574871748
2019-11-27 16:22:31,A9903A,SKW3032,,,,,,,,,1574871751
2019-11-27 16:22:38,A9903A,SKW3032,41.97268,-87.90252,,,,,,,1574871758
2019-11-27 16:22:49,A9903A,SKW3032,41.97267,-87.90252,,,,,,,1574871769
2019-11-27 16:22:51,A9903A,SKW3032,,,,,,,,,1574871771
2019-11-27 16:23:01,A9903A,SKW3032,,,,,,,,,1574871781
2019-11-27 16:23:11,A9903A,SKW3032,,,,,,,,,1574871791
2019-11-27 16:23:29,A9903A,SKW3032,41.97268,-87.90252,,,,,,,1574871809
2019-11-27 16:23:31,A9903A,SKW3032,,,,,,,,,1574871811
2019-11-27 16:23:41,A9903A,SKW3032,,,,,,,,,1574871821
2019-11-27 16:23:51,A9903A,SKW3032,,,,,,,,,1574871831
2019-11-27 16:24:03,A9903A,SKW3032,41.97268,-87.90252,,,,,,,1574871843
2019-11-27 16:24:21,A9903A,SKW3032,,,,,,,,,1574871861
2019-11-27 16:24:23,A9903A,SKW3032,41.97268,-87.90252,,,,,,,1574871863
2019-11-27 16:24:28,A9903A,SKW3032,41.97268,-87.90252,,,,,,,1574871868
2019-11-27 16:24:38,A9903A,SKW3032,41.97268,-87.90252,,,,,,,1574871878
2019-11-27 16:24:51,A9903A,SKW3032,,,,,,,,,1574871891
2019-11-27 16:25:18,A9903A,SKW3032,41.97268,-87.90252,,,,,,,1574871918
2019-11-27 16:25:31,A9903A,SKW3032,,,,,,,,,1574871931
2019-11-27 16:25:34,A9903A,SKW3032,41.97272,-87.90233,,,,,,,1574871934
2019-11-27 16:25:49,A9903A,SKW3032,41.972590000000004,-87.90216,,,,,,,1574871949
2019-11-27 16:26:04,A9903A,SKW3032,41.97258,-87.90215,,,,,,,1574871964
2019-11-27 16:26:09,A9903A,SKW3032,41.97258,-87.90216,,,,,,,1574871969
2019-11-27 16:27:16,A9903A,SKW3032,,,,,,,,,1574872036
2019-11-27 16:30:00,A9903A,SKW3032,41.97258,-87.90215,,,,,,,1574872200
2019-11-27 16:30:27,A9903A,SKW3032,,,,,,,,,1574872227
2019-11-27 16:30:47,A9903A,SKW3032,,,,,,,,,1574872247
2019-11-27 16:30:56,A9903A,SKW3032,41.97258,-87.90215,,,,,,,1574872256
2019-11-27 16:31:01,A9903A,SKW3032,41.97258,-87.90216,,,,,,,1574872261
2019-11-27 16:31:07,A9903A,SKW3032,,,,,,,,,1574872267
2019-11-27 16:34:22,A9903A,SKW3032,41.97208,-87.9022,,,,,,,1574872462
2019-11-27 16:34:25,A9903A,SKW3032,41.971959999999996,-87.90227,,,,,,,1574872465
2019-11-27 16:34:27,A9903A,SKW3032,41.97188,-87.9023,,,,,,,1574872467
2019-11-27 16:34:48,A9903A,SKW3032,41.97139,-87.90194,,,,,,,1574872488
2019-11-27 16:34:53,A9903A,SKW3032,41.971379999999996,-87.90174,,,,,,,1574872493
2019-11-27 16:34:53,A9903A,SKW3032,41.971379999999996,-87.90172,,,,,,,1574872493
2019-11-27 16:34:55,A9903A,SKW3032,41.971379999999996,-87.90163000000001,,,,,,,1574872495
2019-11-27 16:34:57,A9903A,SKW3032,41.97137,-87.90151999999999,,,,,,,1574872497
2019-11-27 16:34:57,A9903A,SKW3032,41.97137,-87.90146999999999,,,,,,,1574872497
2019-11-27 16:35:00,A9903A,SKW3032,41.971379999999996,-87.90128,,,,,,,1574872500
2019-11-27 16:35:01,A9903A,SKW3032,41.971379999999996,-87.90123,,,,,,,1574872501
2019-11-27 16:35:02,A9903A,SKW3032,41.971379999999996,-87.90116,,,,,,,1574872502
2019-11-27 16:35:05,A9903A,SKW3032,41.971379999999996,-87.90100000000001,,,,,,,1574872505
2019-11-27 16:35:07,A9903A,SKW3032,41.971379999999996,-87.90086,,,,,,,1574872507
2019-11-27 16:35:09,A9903A,SKW3032,41.971379999999996,-87.90073000000001,,,,,,,1574872509
2019-11-27 16:35:12,A9903A,SKW3032,41.971379999999996,-87.90049,,,,,,,1574872512
2019-11-27 16:35:13,A9903A,SKW3032,41.971379999999996,-87.90037,,,,,,,1574872513
2019-11-27 16:35:17,A9903A,SKW3032,41.971379999999996,-87.90009,,,,,,,1574872517
2019-11-27 16:35:18,A9903A,SKW3032,41.971379999999996,-87.89998,,,,,,,1574872518
2019-11-27 16:35:21,A9903A,SKW3032,41.971379999999996,-87.89981,,,,,,,1574872521
2019-11-27 16:35:27,A9903A,SKW3032,41.971379999999996,-87.89933,,,,,,,1574872527
2019-11-27 16:35:28,A9903A,SKW3032,41.971379999999996,-87.8993,,,,,,,1574872528
2019-11-27 16:35:32,A9903A,SKW3032,,,,,,,,,1574872532
2019-11-27 16:35:36,A9903A,SKW3032,41.97145,-87.89874,,,,,,,1574872536
2019-11-27 16:35:51,A9903A,SKW3032,41.971709999999995,-87.89784,,,,,,,1574872551
2019-11-27 16:35:54,A9903A,SKW3032,41.97177,-87.89769,,,,,,,1574872554
2019-11-27 16:35:57,A9903A,SKW3032,41.97184,-87.89754,,,,,,,1574872557
2019-11-27 16:35:57,A9903A,SKW3032,41.97185,-87.89752,,,,,,,1574872557
2019-11-27 16:36:08,A9903A,SKW3032,41.97211,-87.89681999999999,,,,,,,1574872568
2019-11-27 16:36:08,A9903A,SKW3032,,,,,,,,,1574872568
2019-11-27 16:36:09,A9903A,SKW3032,41.97214,-87.89676,,,,,,,1574872569
2019-11-27 16:36:10,A9903A,SKW3032,41.97217,-87.89668,,,,,,,1574872570
2019-11-27 16:36:10,A9903A,SKW3032,41.97218,-87.89663,,,,,,,1574872570
2019-11-27 16:36:12,A9903A,SKW3032,41.972229999999996,-87.89652,,,,,,,1574872572
2019-11-27 16:36:14,A9903A,SKW3032,41.97227,-87.89641999999999,,,,,,,1574872574
2019-11-27 16:36:14,A9903A,SKW3032,41.97228,-87.89639,,,,,,,1574872574
2019-11-27 16:36:15,A9903A,SKW3032,41.97229,-87.89636,,,,,,,1574872575
2019-11-27 16:36:17,A9903A,SKW3032,41.972359999999995,-87.89617,,,,,,,1574872577
2019-11-27 16:36:18,A9903A,SKW3032,41.972359999999995,-87.89615,,,,,,,1574872578
2019-11-27 16:36:18,A9903A,SKW3032,,,,,,,,,1574872578
2019-11-27 16:36:19,A9903A,SKW3032,41.97238,-87.89609,,,,,,,1574872579
2019-11-27 16:37:03,A9903A,SKW3032,41.97195,-87.89395999999999,,,,,,,1574872623
2019-11-27 16:37:03,A9903A,SKW3032,,,,,,,,,1574872623
