received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:22:23,AA0A6E,,,,,,,,,,1574871743
2019-11-27 16:22:27,AA0A6E,SKW3030,41.97266,-87.90387,,,,,,,1574871747
2019-11-27 16:22:32,AA0A6E,SKW3030,,,,,,,,,1574871752
2019-11-27 16:22:37,AA0A6E,SKW3030,41.97266,-87.90386,,,,,,,1574871757
2019-11-27 16:22:42,AA0A6E,SKW3030,41.97266,-87.90386,,,,,,,1574871762
2019-11-27 16:22:47,AA0A6E,SKW3030,41.97266,-87.90387,,,,,,,1574871767
2019-11-27 16:22:57,AA0A6E,SKW3030,41.97266,-87.90387,,,,,,,1574871777
2019-11-27 16:23:02,AA0A6E,SKW3030,,,,,,,,,1574871782
2019-11-27 16:23:07,AA0A6E,SKW3030,41.97267,-87.90386,,,,,,,1574871787
2019-11-27 16:23:12,AA0A6E,SKW3030,41.97267,-87.90386,,,,,,,1574871792
2019-11-27 16:23:17,AA0A6E,SKW3030,41.97267,-87.90386,,,,,,,1574871797
2019-11-27 16:23:32,AA0A6E,SKW3030,41.97267,-87.90386,,,,,,,1574871812
2019-11-27 16:23:32,AA0A6E,SKW3030,,,,,,,,,1574871812
2019-11-27 16:24:22,AA0A6E,SKW3030,41.97267,-87.90386,,,,,,,1574871862
2019-11-27 16:25:12,AA0A6E,SKW3030,41.972640000000006,-87.90391,,,,,,,1574871912
2019-11-27 16:25:23,AA0A6E,SKW3030,,,,,,,,,1574871923
2019-11-27 16:25:35,AA0A6E,SKW3030,41.972559999999994,-87.90411,,,,,,,1574871935
2019-11-27 16:25:54,AA0A6E,SKW3030,41.972570000000005,-87.90426,,,,,,,1574871954
2019-11-27 16:26:05,AA0A6E,SKW3030,41.972590000000004,-87.90436,,,,,,,1574871965
2019-11-27 16:26:08,AA0A6E,SKW3030,41.9726,-87.90439,,,,,,,1574871968
