received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:21,AA0EC7,,,,,,72.0,221.63,-64.0,GS,1574871561
2019-11-27 16:19:23,AA0EC7,,41.96703,-87.88315,1050.0,,,,,,1574871563
2019-11-27 16:19:27,AA0EC7,,41.965759999999996,-87.88469,1050.0,,,,,,1574871567
2019-11-27 16:19:27,AA0EC7,,,,,,104.0,221.13,0.0,GS,1574871567
2019-11-27 16:19:29,AA0EC7,,,,,,109.0,220.94,64.0,GS,1574871569
2019-11-27 16:19:29,AA0EC7,,41.96498,-87.88557,1050.0,,,,,,1574871569
2019-11-27 16:19:29,AA0EC7,,,,,,114.0,221.09,64.0,GS,1574871569
2019-11-27 16:19:30,AA0EC7,,41.9648,-87.88582,1050.0,,,,,,1574871570
2019-11-27 16:19:31,AA0EC7,,,,,,119.0,221.59,128.0,GS,1574871571
2019-11-27 16:19:32,AA0EC7,,,,,,120.0,221.63,192.0,GS,1574871572
2019-11-27 16:19:33,AA0EC7,,,,,,125.0,221.44,256.0,GS,1574871573
2019-11-27 16:19:33,AA0EC7,,41.963159999999995,-87.88775,1050.0,,,,,,1574871573
2019-11-27 16:19:34,AA0EC7,,,,,,127.0,221.19,448.0,GS,1574871574
2019-11-27 16:19:35,AA0EC7,,41.962509999999995,-87.8885,1050.0,,,,,,1574871575
2019-11-27 16:19:35,AA0EC7,,41.96223,-87.88884,1050.0,,,,,,1574871575
2019-11-27 16:19:36,AA0EC7,,,,,,132.0,221.02,1216.0,GS,1574871576
2019-11-27 16:19:36,AA0EC7,,41.96205,-87.88903,1075.0,,,,,,1574871576
2019-11-27 16:19:36,AA0EC7,,41.961859999999994,-87.88928,1075.0,,,,,,1574871576
2019-11-27 16:19:37,AA0EC7,,,,,,132.0,221.02,1728.0,GS,1574871577
2019-11-27 16:19:37,AA0EC7,,,,,,132.0,221.02,1920.0,GS,1574871577
2019-11-27 16:19:37,AA0EC7,,41.961490000000005,-87.88967,1100.0,,,,,,1574871577
2019-11-27 16:19:38,AA0EC7,,41.96095,-87.89031,1150.0,,,,,,1574871578
2019-11-27 16:19:39,AA0EC7,,41.96074,-87.89056,1150.0,,,,,,1574871579
2019-11-27 16:19:39,AA0EC7,,41.96056,-87.89075,1200.0,,,,,,1574871579
2019-11-27 16:19:39,AA0EC7,,,,,,129.0,219.69,3200.0,GS,1574871579
2019-11-27 16:19:41,AA0EC7,,41.9599,-87.8915,1275.0,,,,,,1574871581
2019-11-27 16:19:41,AA0EC7,,,,,,128.0,219.63,3456.0,GS,1574871581
2019-11-27 16:19:42,AA0EC7,,41.95935,-87.89211999999999,1350.0,,,,,,1574871582
2019-11-27 16:19:43,AA0EC7,,41.95898,-87.8925,1425.0,,,,,,1574871583
2019-11-27 16:19:43,AA0EC7,,,,,,127.0,220.21,3520.0,GS,1574871583
2019-11-27 16:19:44,AA0EC7,,,,,,127.0,220.21,3648.0,GS,1574871584
2019-11-27 16:19:44,AA0EC7,,41.95832,-87.89331,1500.0,,,,,,1574871584
2019-11-27 16:19:45,AA0EC7,,,,,,,,,,1574871585
2019-11-27 16:19:45,AA0EC7,RPA3697,41.957840000000004,-87.89381,1575.0,,,,,,1574871585
2019-11-27 16:19:45,AA0EC7,RPA3697,,,,,126.0,219.86,3648.0,GS,1574871585
2019-11-27 16:19:46,AA0EC7,RPA3697,41.957440000000005,-87.89426999999999,1625.0,,,,,,1574871586
2019-11-27 16:19:48,AA0EC7,RPA3697,,,,,124.0,220.45,3584.0,GS,1574871588
