received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:47:03,AA10BA,,41.9763,-87.89649,,,,,,,1574873223
2019-11-27 16:47:42,AA10BA,,41.9763,-87.8965,,,,,,,1574873262
2019-11-27 16:47:46,AA10BA,,,,,,,,,,1574873266
2019-11-27 16:47:47,AA10BA,SKW3170,41.9763,-87.8965,,,,,,,1574873267
2019-11-27 16:47:56,AA10BA,SKW3170,,,,,,,,,1574873276
2019-11-27 16:48:02,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873282
2019-11-27 16:48:06,AA10BA,SKW3170,,,,,,,,,1574873286
2019-11-27 16:48:16,AA10BA,SKW3170,,,,,,,,,1574873296
2019-11-27 16:48:26,AA10BA,SKW3170,,,,,,,,,1574873306
2019-11-27 16:48:36,AA10BA,SKW3170,,,,,,,,,1574873316
2019-11-27 16:48:38,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873318
2019-11-27 16:48:43,AA10BA,SKW3170,41.9763,-87.8965,,,,,,,1574873323
2019-11-27 16:48:48,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873328
2019-11-27 16:48:53,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873333
2019-11-27 16:48:56,AA10BA,SKW3170,,,,,,,,,1574873336
2019-11-27 16:48:58,AA10BA,SKW3170,41.9763,-87.8965,,,,,,,1574873338
2019-11-27 16:49:06,AA10BA,SKW3170,,,,,,,,,1574873346
2019-11-27 16:49:13,AA10BA,SKW3170,41.9763,-87.8965,,,,,,,1574873353
2019-11-27 16:49:16,AA10BA,SKW3170,,,,,,,,,1574873356
2019-11-27 16:49:18,AA10BA,SKW3170,41.9763,-87.8965,,,,,,,1574873358
2019-11-27 16:49:28,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873368
2019-11-27 16:49:33,AA10BA,SKW3170,41.9763,-87.8965,,,,,,,1574873373
2019-11-27 16:49:36,AA10BA,SKW3170,,,,,,,,,1574873376
2019-11-27 16:49:46,AA10BA,SKW3170,,,,,,,,,1574873386
2019-11-27 16:49:48,AA10BA,SKW3170,41.9763,-87.8965,,,,,,,1574873388
2019-11-27 16:49:53,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873393
2019-11-27 16:49:56,AA10BA,SKW3170,,,,,,,,,1574873396
2019-11-27 16:49:58,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873398
2019-11-27 16:50:06,AA10BA,SKW3170,,,,,,,,,1574873406
2019-11-27 16:50:08,AA10BA,SKW3170,41.9763,-87.8965,,,,,,,1574873408
2019-11-27 16:50:13,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873413
2019-11-27 16:50:16,AA10BA,SKW3170,,,,,,,,,1574873416
2019-11-27 16:50:18,AA10BA,SKW3170,41.9763,-87.8965,,,,,,,1574873418
2019-11-27 16:50:23,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873423
2019-11-27 16:50:27,AA10BA,SKW3170,,,,,,,,,1574873427
2019-11-27 16:50:28,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873428
2019-11-27 16:50:33,AA10BA,SKW3170,41.9763,-87.8965,,,,,,,1574873433
2019-11-27 16:50:37,AA10BA,SKW3170,,,,,,,,,1574873437
2019-11-27 16:50:43,AA10BA,SKW3170,41.9763,-87.89649,,,,,,,1574873443
2019-11-27 16:50:46,AA10BA,SKW3170,,,,,,,,,1574873446
2019-11-27 16:50:48,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873448
2019-11-27 16:50:56,AA10BA,SKW3170,,,,,,,,,1574873456
2019-11-27 16:51:06,AA10BA,SKW3170,,,,,,,,,1574873466
2019-11-27 16:51:08,AA10BA,SKW3170,41.9763,-87.8965,,,,,,,1574873468
2019-11-27 16:51:13,AA10BA,SKW3170,41.97632,-87.8965,,,,,,,1574873473
2019-11-27 16:51:18,AA10BA,SKW3170,41.97632,-87.8965,,,,,,,1574873478
2019-11-27 16:51:23,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873483
2019-11-27 16:51:26,AA10BA,SKW3170,,,,,,,,,1574873486
2019-11-27 16:51:36,AA10BA,SKW3170,,,,,,,,,1574873496
2019-11-27 16:51:38,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873498
2019-11-27 16:51:43,AA10BA,SKW3170,41.9763,-87.89649,,,,,,,1574873503
2019-11-27 16:51:48,AA10BA,SKW3170,41.9763,-87.89649,,,,,,,1574873508
2019-11-27 16:51:53,AA10BA,SKW3170,41.9763,-87.89649,,,,,,,1574873513
2019-11-27 16:51:56,AA10BA,SKW3170,,,,,,,,,1574873516
2019-11-27 16:51:58,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873518
2019-11-27 16:52:03,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873523
2019-11-27 16:52:13,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873533
2019-11-27 16:52:16,AA10BA,SKW3170,,,,,,,,,1574873536
2019-11-27 16:52:26,AA10BA,SKW3170,,,,,,,,,1574873546
2019-11-27 16:52:28,AA10BA,SKW3170,41.9763,-87.89649,,,,,,,1574873548
2019-11-27 16:52:36,AA10BA,SKW3170,,,,,,,,,1574873556
2019-11-27 16:52:38,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873558
2019-11-27 16:52:48,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873568
2019-11-27 16:52:53,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873573
2019-11-27 16:53:08,AA10BA,SKW3170,41.9763,-87.8965,,,,,,,1574873588
2019-11-27 16:53:13,AA10BA,SKW3170,41.9763,-87.89649,,,,,,,1574873593
2019-11-27 16:53:16,AA10BA,SKW3170,,,,,,,,,1574873596
2019-11-27 16:53:18,AA10BA,SKW3170,41.9763,-87.89649,,,,,,,1574873598
2019-11-27 16:53:23,AA10BA,SKW3170,41.9763,-87.89649,,,,,,,1574873603
2019-11-27 16:53:26,AA10BA,SKW3170,,,,,,,,,1574873606
2019-11-27 16:53:28,AA10BA,SKW3170,41.9763,-87.89649,,,,,,,1574873608
2019-11-27 16:53:33,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873613
2019-11-27 16:53:36,AA10BA,SKW3170,,,,,,,,,1574873616
2019-11-27 16:53:46,AA10BA,SKW3170,,,,,,,,,1574873626
2019-11-27 16:53:48,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873628
2019-11-27 16:53:56,AA10BA,SKW3170,,,,,,,,,1574873636
2019-11-27 16:53:58,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873638
2019-11-27 16:54:08,AA10BA,SKW3170,41.9763,-87.89649,,,,,,,1574873648
2019-11-27 16:54:13,AA10BA,SKW3170,41.9763,-87.89649,,,,,,,1574873653
2019-11-27 16:54:18,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873658
2019-11-27 16:54:23,AA10BA,SKW3170,41.97631,-87.89649,,,,,,,1574873663
