received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:21:43,AA11BE,,,,,,377.0,170.09,4032.0,GS,1574875303
2019-11-27 17:21:48,AA11BE,,42.05969,-87.84187,17200.0,,,,,,1574875308
2019-11-27 17:21:54,AA11BE,,42.049659999999996,-87.83965,17525.0,,,,,,1574875314
2019-11-27 17:22:00,AA11BE,,,,,,380.0,170.78,3200.0,GS,1574875320
2019-11-27 17:22:07,AA11BE,,,,,,384.0,169.8,3136.0,GS,1574875327
2019-11-27 17:22:17,AA11BE,,,,,,388.0,169.76,2944.0,GS,1574875337
2019-11-27 17:22:21,AA11BE,,42.0016,-87.82851,18950.0,,,,,,1574875341
2019-11-27 17:22:22,AA11BE,,,,,,388.0,170.08,3008.0,GS,1574875342
2019-11-27 17:22:23,AA11BE,,,,,,389.0,170.25,3072.0,GS,1574875343
2019-11-27 17:22:26,AA11BE,,,,,,390.0,170.27,3072.0,GS,1574875346
2019-11-27 17:22:30,AA11BE,,41.98542,-87.82477,19400.0,,,,,,1574875350
2019-11-27 17:22:33,AA11BE,,41.97981,-87.82352,19550.0,,,,,,1574875353
2019-11-27 17:22:34,AA11BE,,,,,,392.0,170.32,3072.0,GS,1574875354
2019-11-27 17:22:34,AA11BE,,41.97797,-87.82311,19600.0,,,,,,1574875354
2019-11-27 17:22:39,AA11BE,,41.97047,-87.8214,19850.0,,,,,,1574875359
2019-11-27 17:22:39,AA11BE,,,,,,,,,,1574875359
2019-11-27 17:22:40,AA11BE,N748RE,41.96712,-87.82061999999999,19950.0,,,,,,1574875360
2019-11-27 17:22:41,AA11BE,N748RE,,,,,393.0,170.35,3328.0,GS,1574875361
2019-11-27 17:22:42,AA11BE,N748RE,,,,,394.0,170.37,3328.0,GS,1574875362
2019-11-27 17:22:46,AA11BE,N748RE,41.95628,-87.81813000000001,20275.0,,,,,,1574875366
2019-11-27 17:22:48,AA11BE,N748RE,,,,,395.0,170.39,3264.0,GS,1574875368
2019-11-27 17:22:49,AA11BE,N748RE,,,,,,,,,1574875369
2019-11-27 17:22:52,AA11BE,N748RE,,,,,395.0,170.39,3264.0,GS,1574875372
2019-11-27 17:22:54,AA11BE,N748RE,41.94236,-87.815,20700.0,,,,,,1574875374
2019-11-27 17:22:55,AA11BE,N748RE,,,,,395.0,170.39,3328.0,GS,1574875375
2019-11-27 17:22:56,AA11BE,N748RE,41.93942,-87.8143,20775.0,,,,,,1574875376
2019-11-27 17:22:57,AA11BE,N748RE,41.93761,-87.81390999999999,20825.0,,,,,,1574875377
2019-11-27 17:22:58,AA11BE,N748RE,,,,,396.0,170.42,3328.0,GS,1574875378
2019-11-27 17:22:58,AA11BE,N748RE,,,,,396.0,170.42,3328.0,GS,1574875378
2019-11-27 17:22:58,AA11BE,N748RE,41.934540000000005,-87.81322,20925.0,,,,,,1574875378
2019-11-27 17:23:02,AA11BE,N748RE,,,,,396.0,170.42,3264.0,GS,1574875382
2019-11-27 17:23:02,AA11BE,N748RE,41.92731,-87.81154000000001,21175.0,,,,,,1574875382
2019-11-27 17:23:03,AA11BE,N748RE,,,,,396.0,170.28,3264.0,GS,1574875383
2019-11-27 17:23:03,AA11BE,N748RE,41.92546,-87.81116999999999,21200.0,,,,,,1574875383
2019-11-27 17:23:04,AA11BE,N748RE,,,,,396.0,170.28,3264.0,GS,1574875384
2019-11-27 17:23:06,AA11BE,N748RE,,,,,397.0,169.71,3328.0,GS,1574875386
2019-11-27 17:23:07,AA11BE,N748RE,41.91838,-87.80935,21425.0,,,,,,1574875387
2019-11-27 17:23:08,AA11BE,N748RE,41.91652,-87.80887,21475.0,,,,,,1574875388
2019-11-27 17:23:09,AA11BE,N748RE,,,,,399.0,168.61,3328.0,GS,1574875389
2019-11-27 17:23:09,AA11BE,N748RE,41.91486,-87.80841,21525.0,,,,,,1574875389
2019-11-27 17:23:09,AA11BE,N748RE,,,,,399.0,168.16,3328.0,GS,1574875389
2019-11-27 17:23:13,AA11BE,N748RE,41.90749,-87.80611,21750.0,,,,,,1574875393
2019-11-27 17:23:15,AA11BE,N748RE,41.90533,-87.80542,21825.0,,,,,,1574875395
2019-11-27 17:23:15,AA11BE,N748RE,41.90437,-87.80504,21850.0,,,,,,1574875395
