received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:19,AA26C8,,,,,,116.0,272.96,3584.0,GS,1574871559
2019-11-27 16:19:19,AA26C8,,,,,,116.0,273.45,3584.0,GS,1574871559
2019-11-27 16:19:19,AA26C8,,41.96903,-87.92224,2200.0,,,,,,1574871559
2019-11-27 16:19:20,AA26C8,,41.96906,-87.92259,2225.0,,,,,,1574871560
2019-11-27 16:19:20,AA26C8,,41.96906,-87.9229,2250.0,,,,,,1574871560
2019-11-27 16:19:20,AA26C8,,,,,,115.0,273.98,3648.0,GS,1574871560
2019-11-27 16:19:21,AA26C8,,41.9691,-87.92333,2300.0,,,,,,1574871561
2019-11-27 16:19:21,AA26C8,,41.96908,-87.92371,2325.0,,,,,,1574871561
2019-11-27 16:19:22,AA26C8,,,,,,114.0,274.01,3520.0,GS,1574871562
2019-11-27 16:19:23,AA26C8,,41.96915,-87.92477,2425.0,,,,,,1574871563
2019-11-27 16:19:23,AA26C8,,,,,,114.0,274.01,3392.0,GS,1574871563
2019-11-27 16:19:24,AA26C8,,41.969190000000005,-87.92546,2475.0,,,,,,1574871564
2019-11-27 16:19:24,AA26C8,,,,,,114.0,274.51,3392.0,GS,1574871564
2019-11-27 16:19:25,AA26C8,,41.96924,-87.92602,2525.0,,,,,,1574871565
2019-11-27 16:19:25,AA26C8,,41.96924,-87.92645999999999,2550.0,,,,,,1574871565
2019-11-27 16:19:25,AA26C8,,,,,,115.0,274.47,3264.0,GS,1574871565
2019-11-27 16:19:26,AA26C8,,,,,,116.0,274.44,2688.0,GS,1574871566
2019-11-27 16:19:26,AA26C8,,41.96931,-87.92721999999999,2625.0,,,,,,1574871566
2019-11-27 16:19:27,AA26C8,,,,,,117.0,274.4,2688.0,GS,1574871567
2019-11-27 16:19:27,AA26C8,,,,,,117.0,274.4,2688.0,GS,1574871567
2019-11-27 16:19:28,AA26C8,,,,,,118.0,274.84,2560.0,GS,1574871568
2019-11-27 16:19:30,AA26C8,,,,,,121.0,275.66,2112.0,GS,1574871570
2019-11-27 16:19:30,AA26C8,,,,,,121.0,275.66,1856.0,GS,1574871570
2019-11-27 16:19:31,AA26C8,,41.96951,-87.93058,2800.0,,,,,,1574871571
2019-11-27 16:19:31,AA26C8,,,,,,122.0,275.62,1856.0,GS,1574871571
2019-11-27 16:19:31,AA26C8,,,,,,122.0,275.62,1856.0,GS,1574871571
2019-11-27 16:19:31,AA26C8,,41.969559999999994,-87.93106999999999,2825.0,,,,,,1574871571
2019-11-27 16:19:32,AA26C8,,41.969640000000005,-87.93176,2850.0,,,,,,1574871572
2019-11-27 16:19:33,AA26C8,,41.96965,-87.93214,2875.0,,,,,,1574871573
2019-11-27 16:19:34,AA26C8,,,,,,126.0,274.99,1792.0,GS,1574871574
2019-11-27 16:19:34,AA26C8,,41.96968,-87.93285,2900.0,,,,,,1574871574
2019-11-27 16:19:34,AA26C8,,41.96968,-87.93316999999999,2925.0,,,,,,1574871574
2019-11-27 16:19:35,AA26C8,,41.96973,-87.93368000000001,2925.0,,,,,,1574871575
2019-11-27 16:19:35,AA26C8,,,,,,130.0,274.4,1792.0,GS,1574871575
2019-11-27 16:19:36,AA26C8,,41.96978,-87.93451,2975.0,,,,,,1574871576
2019-11-27 16:19:36,AA26C8,,,,,,,,,,1574871576
2019-11-27 16:19:36,AA26C8,SKW3037,41.96979,-87.93488,2975.0,,,,,,1574871576
2019-11-27 16:19:36,AA26C8,SKW3037,,,,,132.0,274.76,1728.0,GS,1574871576
2019-11-27 16:19:37,AA26C8,SKW3037,,,,,134.0,275.12,1728.0,GS,1574871577
2019-11-27 16:19:37,AA26C8,SKW3037,41.96987,-87.93585,3000.0,,,,,,1574871577
2019-11-27 16:19:37,AA26C8,SKW3037,,,,,134.0,275.12,1728.0,GS,1574871577
2019-11-27 16:19:38,AA26C8,SKW3037,,,,,136.0,275.88,1728.0,GS,1574871578
2019-11-27 16:19:38,AA26C8,SKW3037,41.96996,-87.93668000000001,3050.0,,,,,,1574871578
2019-11-27 16:19:38,AA26C8,SKW3037,,,,,136.0,275.88,1792.0,GS,1574871578
2019-11-27 16:19:39,AA26C8,SKW3037,41.97005,-87.93757,3075.0,,,,,,1574871579
2019-11-27 16:19:40,AA26C8,SKW3037,,,,,140.0,278.59,1984.0,GS,1574871580
2019-11-27 16:19:42,AA26C8,SKW3037,41.97034,-87.93956,3150.0,,,,,,1574871582
2019-11-27 16:19:42,AA26C8,SKW3037,41.97043,-87.94,3175.0,,,,,,1574871582
2019-11-27 16:19:42,AA26C8,SKW3037,,,,,144.0,282.4,2368.0,GS,1574871582
2019-11-27 16:19:43,AA26C8,SKW3037,,,,,145.0,284.7,2432.0,GS,1574871583
2019-11-27 16:19:43,AA26C8,SKW3037,,,,,145.0,284.7,2432.0,GS,1574871583
2019-11-27 16:19:44,AA26C8,SKW3037,41.9707,-87.94131,3225.0,,,,,,1574871584
2019-11-27 16:19:44,AA26C8,SKW3037,,,,,147.0,286.96,2496.0,GS,1574871584
2019-11-27 16:19:44,AA26C8,SKW3037,41.97084,-87.94181,3250.0,,,,,,1574871584
2019-11-27 16:19:44,AA26C8,SKW3037,,,,,147.0,286.96,2752.0,GS,1574871584
2019-11-27 16:19:45,AA26C8,SKW3037,,,,,148.0,289.29,2752.0,GS,1574871585
2019-11-27 16:19:45,AA26C8,SKW3037,,,,,148.0,289.29,2752.0,GS,1574871585
2019-11-27 16:19:46,AA26C8,SKW3037,,,,,150.0,291.8,2752.0,GS,1574871586
2019-11-27 16:19:46,AA26C8,SKW3037,41.971309999999995,-87.94345,3350.0,,,,,,1574871586
2019-11-27 16:19:47,AA26C8,SKW3037,,,,,150.0,291.8,2880.0,GS,1574871587
2019-11-27 16:19:47,AA26C8,SKW3037,41.97145,-87.94383,3350.0,,,,,,1574871587
2019-11-27 16:19:47,AA26C8,SKW3037,,,,,152.0,294.04,2880.0,GS,1574871587
2019-11-27 16:19:47,AA26C8,SKW3037,,,,,152.0,294.04,3200.0,GS,1574871587
2019-11-27 16:19:48,AA26C8,SKW3037,41.9718,-87.94475,3425.0,,,,,,1574871588
2019-11-27 16:19:48,AA26C8,SKW3037,,,,,152.0,296.9,3200.0,GS,1574871588
2019-11-27 16:19:48,AA26C8,SKW3037,,,,,152.0,296.9,3392.0,GS,1574871588
2019-11-27 16:19:49,AA26C8,SKW3037,41.97231,-87.94593,3500.0,,,,,,1574871589
2019-11-27 16:19:49,AA26C8,SKW3037,,,,,154.0,299.56,3392.0,GS,1574871589
2019-11-27 16:19:49,AA26C8,SKW3037,41.97249,-87.94624,3525.0,,,,,,1574871589
2019-11-27 16:19:50,AA26C8,SKW3037,41.97266,-87.94664,3550.0,,,,,,1574871590
2019-11-27 16:19:50,AA26C8,SKW3037,,,,,154.0,302.56,3648.0,GS,1574871590
2019-11-27 16:19:50,AA26C8,SKW3037,41.97285,-87.94696,3575.0,,,,,,1574871590
2019-11-27 16:19:52,AA26C8,SKW3037,41.97383,-87.94849,3700.0,,,,,,1574871592
2019-11-27 16:19:53,AA26C8,SKW3037,,,,,159.0,312.2,3648.0,GS,1574871593
2019-11-27 16:19:53,AA26C8,SKW3037,41.974090000000004,-87.94887,3725.0,,,,,,1574871593
2019-11-27 16:19:53,AA26C8,SKW3037,,,,,159.0,312.2,3648.0,GS,1574871593
2019-11-27 16:19:53,AA26C8,SKW3037,41.97429,-87.94913000000001,3750.0,,,,,,1574871593
2019-11-27 16:19:54,AA26C8,SKW3037,41.974909999999994,-87.94993000000001,3825.0,,,,,,1574871594
2019-11-27 16:19:55,AA26C8,SKW3037,,,,,161.0,317.01,3136.0,GS,1574871595
2019-11-27 16:19:55,AA26C8,SKW3037,41.97518,-87.95022,3850.0,,,,,,1574871595
2019-11-27 16:19:55,AA26C8,SKW3037,41.97555,-87.9506,3875.0,,,,,,1574871595
2019-11-27 16:19:56,AA26C8,SKW3037,41.97587,-87.95105,3925.0,,,,,,1574871596
2019-11-27 16:19:56,AA26C8,SKW3037,,,,,,,,,1574871596
2019-11-27 16:19:56,AA26C8,SKW3037,41.9762,-87.9513,3950.0,,,,,,1574871596
2019-11-27 16:19:57,AA26C8,SKW3037,,,,,163.0,323.2,2944.0,GS,1574871597
2019-11-27 16:19:57,AA26C8,SKW3037,41.97671,-87.95188,4000.0,,,,,,1574871597
2019-11-27 16:19:58,AA26C8,SKW3037,41.97739,-87.95255,4050.0,,,,,,1574871598
2019-11-27 16:19:59,AA26C8,SKW3037,41.97766,-87.95274,4075.0,,,,,,1574871599
2019-11-27 16:19:59,AA26C8,SKW3037,,,,,164.0,324.67,2880.0,GS,1574871599
2019-11-27 16:19:59,AA26C8,SKW3037,41.97803,-87.95311,4100.0,,,,,,1574871599
2019-11-27 16:20:00,AA26C8,SKW3037,,,,,165.0,326.31,2816.0,GS,1574871600
2019-11-27 16:20:00,AA26C8,SKW3037,41.97834,-87.95340999999999,4125.0,,,,,,1574871600
2019-11-27 16:20:00,AA26C8,SKW3037,,,,,165.0,326.31,2816.0,GS,1574871600
2019-11-27 16:20:00,AA26C8,SKW3037,41.97871,-87.95366999999999,4150.0,,,,,,1574871600
2019-11-27 16:20:01,AA26C8,SKW3037,,,,,166.0,327.74,2816.0,GS,1574871601
2019-11-27 16:20:01,AA26C8,SKW3037,41.97935,-87.95416999999999,4200.0,,,,,,1574871601
2019-11-27 16:20:02,AA26C8,SKW3037,,,,,166.0,328.98,2816.0,GS,1574871602
2019-11-27 16:20:04,AA26C8,SKW3037,41.98137,-87.95558,4325.0,,,,,,1574871604
2019-11-27 16:20:04,AA26C8,SKW3037,,,,,170.0,333.13,2496.0,GS,1574871604
2019-11-27 16:20:06,AA26C8,SKW3037,,,,,171.0,334.03,2368.0,GS,1574871606
2019-11-27 16:20:06,AA26C8,SKW3037,,,,,172.0,335.36,2240.0,GS,1574871606
2019-11-27 16:20:07,AA26C8,SKW3037,,,,,172.0,335.36,2240.0,GS,1574871607
2019-11-27 16:20:07,AA26C8,SKW3037,,,,,174.0,336.67,2176.0,GS,1574871607
