received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:20,AA295D,,,,,,,,,,1574871560
2019-11-27 16:19:24,AA295D,SKW3027,41.973,-87.90265,,,,,,,1574871564
2019-11-27 16:19:34,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574871574
2019-11-27 16:19:39,AA295D,SKW3027,41.973,-87.90266,,,,,,,1574871579
2019-11-27 16:19:40,AA295D,SKW3027,,,,,,,,,1574871580
2019-11-27 16:19:50,AA295D,SKW3027,,,,,,,,,1574871590
2019-11-27 16:20:35,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574871635
2019-11-27 16:20:50,AA295D,SKW3027,41.973,-87.90266,,,,,,,1574871650
2019-11-27 16:21:10,AA295D,SKW3027,,,,,,,,,1574871670
2019-11-27 16:21:30,AA295D,SKW3027,,,,,,,,,1574871690
2019-11-27 16:22:09,AA295D,SKW3027,,,,,,,,,1574871729
2019-11-27 16:22:10,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574871730
2019-11-27 16:22:19,AA295D,SKW3027,,,,,,,,,1574871739
2019-11-27 16:22:25,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574871745
2019-11-27 16:22:30,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574871750
2019-11-27 16:22:35,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574871755
2019-11-27 16:22:39,AA295D,SKW3027,,,,,,,,,1574871759
2019-11-27 16:22:45,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574871765
2019-11-27 16:22:50,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574871770
2019-11-27 16:22:59,AA295D,SKW3027,,,,,,,,,1574871779
2019-11-27 16:23:05,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574871785
2019-11-27 16:23:25,AA295D,SKW3027,41.973009999999995,-87.90267,,,,,,,1574871805
2019-11-27 16:26:55,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872015
2019-11-27 16:28:09,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872089
2019-11-27 16:28:19,AA295D,SKW3027,,,,,,,,,1574872099
2019-11-27 16:28:25,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872105
2019-11-27 16:29:00,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872140
2019-11-27 16:29:39,AA295D,SKW3027,,,,,,,,,1574872179
2019-11-27 16:29:55,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872195
2019-11-27 16:29:59,AA295D,SKW3027,,,,,,,,,1574872199
2019-11-27 16:29:59,AA295D,SKW3027,41.973009999999995,-87.90267,,,,,,,1574872199
2019-11-27 16:30:04,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872204
2019-11-27 16:30:09,AA295D,SKW3027,41.973009999999995,-87.90267,,,,,,,1574872209
2019-11-27 16:30:15,AA295D,SKW3027,41.973009999999995,-87.90267,,,,,,,1574872215
2019-11-27 16:30:19,AA295D,SKW3027,,,,,,,,,1574872219
2019-11-27 16:30:20,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872220
2019-11-27 16:30:29,AA295D,SKW3027,,,,,,,,,1574872229
2019-11-27 16:30:30,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872230
2019-11-27 16:30:35,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872235
2019-11-27 16:30:39,AA295D,SKW3027,,,,,,,,,1574872239
2019-11-27 16:30:45,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872245
2019-11-27 16:30:49,AA295D,SKW3027,,,,,,,,,1574872249
2019-11-27 16:30:50,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872250
2019-11-27 16:31:09,AA295D,SKW3027,,,,,,,,,1574872269
2019-11-27 16:31:10,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872270
2019-11-27 16:31:29,AA295D,SKW3027,,,,,,,,,1574872289
2019-11-27 16:31:30,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872290
2019-11-27 16:31:35,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872295
2019-11-27 16:31:39,AA295D,SKW3027,,,,,,,,,1574872299
2019-11-27 16:31:40,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872300
2019-11-27 16:31:49,AA295D,SKW3027,,,,,,,,,1574872309
2019-11-27 16:31:50,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872310
2019-11-27 16:31:55,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872315
2019-11-27 16:32:10,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872330
2019-11-27 16:32:15,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872335
2019-11-27 16:32:38,AA295D,SKW3027,,,,,,,,,1574872358
2019-11-27 16:32:48,AA295D,SKW3027,,,,,,,,,1574872368
2019-11-27 16:33:05,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872385
2019-11-27 16:33:08,AA295D,SKW3027,,,,,,,,,1574872388
2019-11-27 16:33:15,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872395
2019-11-27 16:33:28,AA295D,SKW3027,,,,,,,,,1574872408
2019-11-27 16:33:46,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872426
2019-11-27 16:33:48,AA295D,SKW3027,,,,,,,,,1574872428
2019-11-27 16:33:56,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872436
2019-11-27 16:33:58,AA295D,SKW3027,,,,,,,,,1574872438
2019-11-27 16:34:08,AA295D,SKW3027,,,,,,,,,1574872448
2019-11-27 16:34:11,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872451
2019-11-27 16:34:28,AA295D,SKW3027,,,,,,,,,1574872468
2019-11-27 16:34:31,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872471
2019-11-27 16:34:36,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872476
2019-11-27 16:34:38,AA295D,SKW3027,,,,,,,,,1574872478
2019-11-27 16:34:56,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872496
2019-11-27 16:35:28,AA295D,SKW3027,,,,,,,,,1574872528
2019-11-27 16:35:30,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872530
2019-11-27 16:35:38,AA295D,SKW3027,,,,,,,,,1574872538
2019-11-27 16:35:40,AA295D,SKW3027,41.973,-87.90267,,,,,,,1574872540
