received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:15:12,AA6FCA,,41.75051,-87.76165999999999,3075.0,,,,,,1574874912
2019-11-27 17:15:15,AA6FCA,,,,,,,,,,1574874915
2019-11-27 17:15:23,AA6FCA,SWA518,,,,,222.0,164.09,4416.0,GS,1574874923
2019-11-27 17:15:27,AA6FCA,SWA518,41.735659999999996,-87.75610999999999,4050.0,,,,,,1574874927
2019-11-27 17:15:32,AA6FCA,SWA518,,,,,226.0,163.32,2880.0,GS,1574874932
2019-11-27 17:15:45,AA6FCA,SWA518,,,,,,,,,1574874945
2019-11-27 17:15:47,AA6FCA,SWA518,41.71523,-87.74793000000001,4925.0,,,,,,1574874947
2019-11-27 17:15:51,AA6FCA,SWA518,41.710879999999996,-87.7463,5050.0,,,,,,1574874951
2019-11-27 17:16:04,AA6FCA,SWA518,41.69449,-87.74061999999999,5450.0,,,,,,1574874964
2019-11-27 17:16:14,AA6FCA,SWA518,41.68295,-87.73688,5750.0,,,,,,1574874974
2019-11-27 17:16:15,AA6FCA,SWA518,,,,,291.0,166.49,1216.0,GS,1574874975
2019-11-27 17:16:36,AA6FCA,SWA518,41.65311,-87.72801,7000.0,,,,,,1574874996
2019-11-27 17:16:36,AA6FCA,SWA518,,,,,293.0,168.42,6080.0,GS,1574874996
2019-11-27 17:16:37,AA6FCA,SWA518,41.65173,-87.72768,7100.0,,,,,,1574874997
2019-11-27 17:16:54,AA6FCA,SWA518,41.62921,-87.72134,8775.0,,,,,,1574875014
2019-11-27 17:17:00,AA6FCA,SWA518,,,,,287.0,166.54,3136.0,GS,1574875020
2019-11-27 17:17:00,AA6FCA,SWA518,,,,,,,,,1574875020
2019-11-27 17:17:07,AA6FCA,SWA518,41.61207,-87.71587,9525.0,,,,,,1574875027
2019-11-27 17:17:43,AA6FCA,SWA518,41.563190000000006,-87.696,11075.0,,,,,,1574875063
2019-11-27 17:17:44,AA6FCA,SWA518,,,,,336.0,155.42,3200.0,GS,1574875064
2019-11-27 17:18:00,AA6FCA,SWA518,41.54005,-87.67741,11900.0,,,,,,1574875080
2019-11-27 17:18:03,AA6FCA,SWA518,41.53572,-87.67339,12025.0,,,,,,1574875083
2019-11-27 17:18:16,AA6FCA,SWA518,,,,,,,,,1574875096
2019-11-27 17:18:18,AA6FCA,SWA518,41.51573,-87.65467,12325.0,,,,,,1574875098
2019-11-27 17:18:22,AA6FCA,SWA518,41.50932,-87.64860999999999,12350.0,,,,,,1574875102
2019-11-27 17:22:21,AA6FCA,SWA518,41.08938,-87.50704,23200.0,,,,,,1574875341
2019-11-27 17:22:27,AA6FCA,SWA518,41.078109999999995,-87.50386,23450.0,,,,,,1574875347
2019-11-27 17:22:30,AA6FCA,SWA518,,,,,422.0,167.97,2240.0,GS,1574875350
