received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:10:18,AA97D1,,,,,,403.0,177.44,2816.0,GS,1574874618
2019-11-27 17:10:19,AA97D1,,42.43643,-88.1415,21300.0,,,,,,1574874619
2019-11-27 17:10:39,AA97D1,,,,,,421.0,171.54,256.0,GS,1574874639
2019-11-27 17:10:40,AA97D1,,,,,,424.0,171.18,320.0,GS,1574874640
2019-11-27 17:10:41,AA97D1,,,,,,425.0,170.94,448.0,GS,1574874641
2019-11-27 17:10:42,AA97D1,,42.3928,-88.13481999999999,21900.0,,,,,,1574874642
2019-11-27 17:10:43,AA97D1,,42.39075,-88.13432,21900.0,,,,,,1574874643
2019-11-27 17:11:42,AA97D1,,,,,,464.0,169.2,1920.0,GS,1574874702
2019-11-27 17:11:54,AA97D1,,,,,,464.0,169.46,3392.0,GS,1574874714
2019-11-27 17:12:07,AA97D1,,,,,,455.0,169.5,4352.0,GS,1574874727
2019-11-27 17:12:33,AA97D1,,42.16498,-88.07576999999999,26350.0,,,,,,1574874753
2019-11-27 17:12:35,AA97D1,,,,,,,,,,1574874755
2019-11-27 17:12:43,AA97D1,SWA3071,,,,,443.0,169.48,1536.0,GS,1574874763
2019-11-27 17:13:24,AA97D1,SWA3071,42.06116,-88.05037,27000.0,,,,,,1574874804
2019-11-27 17:13:26,AA97D1,SWA3071,,,,,444.0,169.9,0.0,GS,1574874806
2019-11-27 17:13:26,AA97D1,SWA3071,42.05697,-88.04935,27000.0,,,,,,1574874806
2019-11-27 17:13:33,AA97D1,SWA3071,42.04305,-88.04603,27000.0,,,,,,1574874813
2019-11-27 17:13:34,AA97D1,SWA3071,,,,,,,,,1574874814
2019-11-27 17:13:34,AA97D1,SWA3071,42.041109999999996,-88.04556,27000.0,,,,,,1574874814
2019-11-27 17:13:37,AA97D1,SWA3071,,,,,444.0,169.9,0.0,GS,1574874817
2019-11-27 17:13:37,AA97D1,SWA3071,42.0349,-88.04405,27000.0,,,,,,1574874817
2019-11-27 17:13:38,AA97D1,SWA3071,,,,,444.0,169.9,64.0,GS,1574874818
2019-11-27 17:13:43,AA97D1,SWA3071,42.02243,-88.04106,27075.0,,,,,,1574874823
2019-11-27 17:13:51,AA97D1,SWA3071,,,,,444.0,170.03,2176.0,GS,1574874831
2019-11-27 17:13:53,AA97D1,SWA3071,42.00404,-88.03676999999999,27350.0,,,,,,1574874833
2019-11-27 17:13:54,AA97D1,SWA3071,,,,,443.0,169.88,2496.0,GS,1574874834
2019-11-27 17:13:54,AA97D1,SWA3071,,,,,,,,,1574874834
2019-11-27 17:13:55,AA97D1,SWA3071,,,,,443.0,169.88,2560.0,GS,1574874835
2019-11-27 17:14:15,AA97D1,SWA3071,41.95908,-88.02945,28250.0,,,,,,1574874855
2019-11-27 17:14:19,AA97D1,SWA3071,,,,,426.0,180.67,1408.0,GS,1574874859
2019-11-27 17:14:22,AA97D1,SWA3071,41.94617,-88.0297,28425.0,,,,,,1574874862
