received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:27:23,AAE958,,41.97487,-87.89715,,,,,,,1574872043
2019-11-27 16:29:58,AAE958,,41.97487,-87.89714000000001,,,,,,,1574872198
2019-11-27 16:34:18,AAE958,,41.97487,-87.89714000000001,,,,,,,1574872458
2019-11-27 16:34:27,AAE958,,,,,,,,,,1574872467
2019-11-27 16:36:07,AAE958,AAL75,,,,,,,,,1574872567
2019-11-27 16:38:43,AAE958,AAL75,41.97487,-87.89713,,,,,,,1574872723
2019-11-27 16:39:08,AAE958,AAL75,41.97488,-87.89713,,,,,,,1574872748
2019-11-27 16:39:13,AAE958,AAL75,41.97488,-87.89713,,,,,,,1574872753
2019-11-27 16:41:03,AAE958,AAL75,41.97487,-87.89714000000001,,,,,,,1574872863
2019-11-27 16:45:09,AAE958,AAL75,,,,,,,,,1574873109
2019-11-27 16:50:43,AAE958,AAL75,41.97487,-87.89713,,,,,,,1574873443
2019-11-27 16:51:07,AAE958,AAL75,41.97498,-87.89699,,,,,,,1574873467
2019-11-27 16:51:09,AAE958,AAL75,41.975,-87.89695999999999,,,,,,,1574873469
2019-11-27 16:51:16,AAE958,AAL75,41.97506,-87.8969,,,,,,,1574873476
2019-11-27 16:51:22,AAE958,AAL75,41.975120000000004,-87.89681999999999,,,,,,,1574873482
2019-11-27 16:51:24,AAE958,AAL75,41.97514,-87.89679,,,,,,,1574873484
2019-11-27 16:51:25,AAE958,AAL75,41.97515,-87.89676999999999,,,,,,,1574873485
2019-11-27 16:51:30,AAE958,AAL75,41.97521,-87.89669,,,,,,,1574873490
2019-11-27 16:51:35,AAE958,AAL75,41.97526,-87.89661,,,,,,,1574873495
2019-11-27 16:51:37,AAE958,AAL75,41.97528,-87.8966,,,,,,,1574873497
2019-11-27 16:51:43,AAE958,AAL75,41.97534,-87.89655,,,,,,,1574873503
2019-11-27 16:51:45,AAE958,AAL75,41.97537,-87.89654,,,,,,,1574873505
2019-11-27 16:51:46,AAE958,AAL75,41.97538,-87.89653,,,,,,,1574873506
2019-11-27 16:51:47,AAE958,AAL75,41.97541,-87.89652,,,,,,,1574873507
2019-11-27 16:51:48,AAE958,AAL75,41.97542,-87.89653,,,,,,,1574873508
2019-11-27 16:51:52,AAE958,AAL75,41.97548,-87.89654,,,,,,,1574873512
2019-11-27 16:51:54,AAE958,AAL75,41.97551,-87.89654,,,,,,,1574873514
