received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:51:48,AB034D,,41.97526,-87.89853000000001,,,,,,,1574873508
2019-11-27 16:52:02,AB034D,,,,,,,,,,1574873522
2019-11-27 16:52:33,AB034D,AAL1876,41.97526,-87.89853000000001,,,,,,,1574873553
2019-11-27 16:52:38,AB034D,AAL1876,41.97526,-87.89854,,,,,,,1574873558
2019-11-27 16:52:43,AB034D,AAL1876,41.97526,-87.89853000000001,,,,,,,1574873563
2019-11-27 16:53:18,AB034D,AAL1876,41.97526,-87.89854,,,,,,,1574873598
2019-11-27 16:53:58,AB034D,AAL1876,41.97525,-87.89855,,,,,,,1574873638
2019-11-27 16:54:02,AB034D,AAL1876,,,,,,,,,1574873642
2019-11-27 16:54:44,AB034D,AAL1876,41.97525,-87.89853000000001,,,,,,,1574873684
2019-11-27 16:54:52,AB034D,AAL1876,,,,,,,,,1574873692
2019-11-27 16:55:02,AB034D,AAL1876,,,,,,,,,1574873702
2019-11-27 17:00:23,AB034D,AAL1876,41.97526,-87.89855,,,,,,,1574874023
2019-11-27 17:00:28,AB034D,AAL1876,41.97526,-87.89854,,,,,,,1574874028
2019-11-27 17:00:32,AB034D,AAL1876,,,,,,,,,1574874032
2019-11-27 17:00:42,AB034D,AAL1876,41.97526,-87.89855,,,,,,,1574874042
2019-11-27 17:01:02,AB034D,AAL1876,,,,,,,,,1574874062
2019-11-27 17:01:03,AB034D,AAL1876,41.97526,-87.89855,,,,,,,1574874063
2019-11-27 17:01:08,AB034D,AAL1876,41.97526,-87.89854,,,,,,,1574874068
2019-11-27 17:01:27,AB034D,AAL1876,41.97526,-87.89854,,,,,,,1574874087
2019-11-27 17:01:32,AB034D,AAL1876,,,,,,,,,1574874092
2019-11-27 17:01:57,AB034D,AAL1876,41.97525,-87.89853000000001,,,,,,,1574874117
2019-11-27 17:04:42,AB034D,AAL1876,,,,,,,,,1574874282
2019-11-27 17:08:08,AB034D,AAL1876,41.97526,-87.89853000000001,,,,,,,1574874488
2019-11-27 17:16:51,AB034D,AAL1876,,,,,,,,,1574875011
2019-11-27 17:17:22,AB034D,AAL1876,41.97525,-87.89853000000001,,,,,,,1574875042
2019-11-27 17:17:31,AB034D,AAL1876,,,,,,,,,1574875051
2019-11-27 17:20:15,AB034D,AAL1876,41.975970000000004,-87.89813000000001,,,,,,,1574875215
2019-11-27 17:20:15,AB034D,AAL1876,41.97598,-87.89813000000001,,,,,,,1574875215
2019-11-27 17:20:19,AB034D,AAL1876,41.976000000000006,-87.89815,,,,,,,1574875219
2019-11-27 17:20:28,AB034D,AAL1876,41.97606,-87.89820999999999,,,,,,,1574875228
2019-11-27 17:20:41,AB034D,AAL1876,41.9761,-87.89829,,,,,,,1574875241
2019-11-27 17:20:42,AB034D,AAL1876,41.9761,-87.89829,,,,,,,1574875242
2019-11-27 17:21:05,AB034D,AAL1876,,,,,,,,,1574875265
2019-11-27 17:21:47,AB034D,AAL1876,41.9761,-87.89829,,,,,,,1574875307
2019-11-27 17:24:00,AB034D,AAL1876,41.97571,-87.89685,,,,,,,1574875440
2019-11-27 17:24:33,AB034D,AAL1876,41.97554,-87.89618,,,,,,,1574875473
2019-11-27 17:26:15,AB034D,AAL1876,41.97327,-87.89612,,,,,,,1574875575
2019-11-27 17:26:49,AB034D,AAL1876,41.97214,-87.89526,,,,,,,1574875609
2019-11-27 17:28:11,AB034D,AAL1876,41.97197,-87.88858,,,,,,,1574875691
2019-11-27 17:29:11,AB034D,AAL1876,41.97162,-87.88443000000001,,,,,,,1574875751
2019-11-27 17:29:12,AB034D,AAL1876,41.97157,-87.8844,,,,,,,1574875752
2019-11-27 17:29:26,AB034D,AAL1876,41.971379999999996,-87.88382,,,,,,,1574875766
2019-11-27 17:29:35,AB034D,AAL1876,41.97139,-87.88351999999999,,,,,,,1574875775
2019-11-27 17:29:38,AB034D,AAL1876,41.97139,-87.88336,,,,,,,1574875778
2019-11-27 17:29:39,AB034D,AAL1876,,,,,,,,,1574875779
2019-11-27 17:29:47,AB034D,AAL1876,41.9714,-87.88296,,,,,,,1574875787
2019-11-27 17:29:49,AB034D,AAL1876,,,,,,,,,1574875789
2019-11-27 17:30:11,AB034D,AAL1876,41.9714,-87.88219000000001,,,,,,,1574875811
2019-11-27 17:33:05,AB034D,AAL1876,41.971379999999996,-87.88115,,,,,,,1574875985
2019-11-27 17:34:54,AB034D,AAL1876,41.97081,-87.88039,,,,,,,1574876094
2019-11-27 17:34:54,AB034D,AAL1876,41.97079,-87.88039,,,,,,,1574876094
2019-11-27 17:34:54,AB034D,AAL1876,41.97078,-87.88037,,,,,,,1574876094
2019-11-27 17:34:55,AB034D,AAL1876,41.97076,-87.88037,,,,,,,1574876095
2019-11-27 17:35:13,AB034D,AAL1876,41.970040000000004,-87.88028,,,,,,,1574876113
2019-11-27 17:35:29,AB034D,AAL1876,41.96906,-87.88081,,,,,,,1574876129
2019-11-27 17:35:36,AB034D,AAL1876,41.96849,-87.88148000000001,,,,,,,1574876136
2019-11-27 17:35:40,AB034D,AAL1876,41.96787,-87.88221,,,,,,,1574876140
2019-11-27 17:35:41,AB034D,AAL1876,41.96775,-87.88235,,,,,,,1574876141
2019-11-27 17:35:43,AB034D,AAL1876,41.967209999999994,-87.88296,1000.0,,,,,,1574876143
2019-11-27 17:35:55,AB034D,AAL1876,,,,,116.0,221.19,-64.0,GS,1574876155
2019-11-27 17:35:57,AB034D,AAL1876,41.962559999999996,-87.88852,1000.0,,,,,,1574876157
2019-11-27 17:35:57,AB034D,AAL1876,,,,,119.0,221.28,0.0,GS,1574876157
2019-11-27 17:36:00,AB034D,AAL1876,,,,,133.0,221.67,128.0,GS,1574876160
2019-11-27 17:36:01,AB034D,AAL1876,41.960679999999996,-87.89075,975.0,,,,,,1574876161
2019-11-27 17:36:01,AB034D,AAL1876,,,,,136.0,221.74,64.0,GS,1574876161
2019-11-27 17:36:03,AB034D,AAL1876,41.95944,-87.89222,1000.0,,,,,,1574876163
2019-11-27 17:36:03,AB034D,AAL1876,,,,,142.0,221.3,256.0,GS,1574876163
2019-11-27 17:36:04,AB034D,AAL1876,,,,,,,,,1574876164
2019-11-27 17:36:04,AB034D,AAL1876,41.95921,-87.8925,1000.0,,,,,,1574876164
2019-11-27 17:36:04,AB034D,AAL1876,,,,,145.0,220.82,512.0,GS,1574876164
2019-11-27 17:36:04,AB034D,AAL1876,41.958890000000004,-87.89287,1025.0,,,,,,1574876164
2019-11-27 17:36:04,AB034D,AAL1876,,,,,145.0,220.82,512.0,GS,1574876164
2019-11-27 17:36:07,AB034D,AAL1876,,,,,147.0,220.05,1792.0,GS,1574876167
2019-11-27 17:36:09,AB034D,AAL1876,41.95632,-87.89573,1175.0,,,,,,1574876169
2019-11-27 17:36:09,AB034D,AAL1876,,,,,146.0,219.76,2624.0,GS,1574876169
2019-11-27 17:36:10,AB034D,AAL1876,41.9559,-87.89625,1200.0,,,,,,1574876170
2019-11-27 17:36:10,AB034D,AAL1876,,,,,146.0,219.76,2752.0,GS,1574876170
2019-11-27 17:36:11,AB034D,AAL1876,41.95558,-87.89657,1225.0,,,,,,1574876171
2019-11-27 17:36:11,AB034D,AAL1876,,,,,146.0,220.01,2624.0,GS,1574876171
2019-11-27 17:36:12,AB034D,AAL1876,41.95514,-87.89712,1275.0,,,,,,1574876172
2019-11-27 17:36:12,AB034D,AAL1876,,,,,146.0,220.01,2624.0,GS,1574876172
2019-11-27 17:36:13,AB034D,AAL1876,41.95455,-87.89771999999999,1325.0,,,,,,1574876173
2019-11-27 17:36:13,AB034D,AAL1876,,,,,145.0,221.37,2560.0,GS,1574876173
2019-11-27 17:36:14,AB034D,AAL1876,41.95413,-87.8983,1350.0,,,,,,1574876174
2019-11-27 17:36:14,AB034D,AAL1876,,,,,145.0,221.37,2560.0,GS,1574876174
2019-11-27 17:36:14,AB034D,AAL1876,,,,,,,,,1574876174
2019-11-27 17:36:14,AB034D,AAL1876,41.95381,-87.89862,1375.0,,,,,,1574876174
2019-11-27 17:36:14,AB034D,AAL1876,,,,,145.0,221.37,2624.0,GS,1574876174
2019-11-27 17:36:16,AB034D,AAL1876,41.95325,-87.89931,1425.0,,,,,,1574876176
2019-11-27 17:36:16,AB034D,AAL1876,41.95297,-87.89963,1450.0,,,,,,1574876176
2019-11-27 17:36:16,AB034D,AAL1876,,,,,144.0,221.63,2496.0,GS,1574876176
2019-11-27 17:36:17,AB034D,AAL1876,41.952709999999996,-87.89993,1475.0,,,,,,1574876177
2019-11-27 17:36:17,AB034D,AAL1876,,,,,144.0,221.63,2496.0,GS,1574876177
2019-11-27 17:36:17,AB034D,AAL1876,,,,,144.0,221.07,2432.0,GS,1574876177
2019-11-27 17:36:18,AB034D,AAL1876,41.95176,-87.9011,1575.0,,,,,,1574876178
2019-11-27 17:36:20,AB034D,AAL1876,41.95125,-87.90160999999999,1625.0,,,,,,1574876180
2019-11-27 17:36:20,AB034D,AAL1876,,,,,145.0,219.15,2240.0,GS,1574876180
2019-11-27 17:36:20,AB034D,AAL1876,41.95092,-87.90199,1625.0,,,,,,1574876180
2019-11-27 17:36:20,AB034D,AAL1876,,,,,146.0,218.05,2176.0,GS,1574876180
2019-11-27 17:36:20,AB034D,AAL1876,41.95069,-87.90219,1650.0,,,,,,1574876180
2019-11-27 17:36:20,AB034D,AAL1876,,,,,146.0,218.05,2176.0,GS,1574876180
2019-11-27 17:36:21,AB034D,AAL1876,41.950359999999996,-87.90250999999999,1675.0,,,,,,1574876181
2019-11-27 17:36:22,AB034D,AAL1876,41.9498,-87.90308,1700.0,,,,,,1574876182
2019-11-27 17:36:22,AB034D,AAL1876,,,,,147.0,215.31,2368.0,GS,1574876182
2019-11-27 17:36:23,AB034D,AAL1876,41.94957,-87.90326999999999,1725.0,,,,,,1574876183
2019-11-27 17:36:23,AB034D,AAL1876,,,,,147.0,215.31,2368.0,GS,1574876183
2019-11-27 17:36:23,AB034D,AAL1876,,,,,148.0,213.48,2432.0,GS,1574876183
2019-11-27 17:36:24,AB034D,AAL1876,41.949009999999994,-87.90378,1775.0,,,,,,1574876184
2019-11-27 17:36:24,AB034D,AAL1876,,,,,148.0,213.48,2432.0,GS,1574876184
2019-11-27 17:36:24,AB034D,AAL1876,,,,,,,,,1574876184
