received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:21:16,AB10DF,,41.97351,-87.89898000000001,,,,,,,1574871676
2019-11-27 16:21:17,AB10DF,,41.97351,-87.89896,,,,,,,1574871677
2019-11-27 16:21:21,AB10DF,,41.97351,-87.89896,,,,,,,1574871681
2019-11-27 16:21:22,AB10DF,,41.9735,-87.89894,,,,,,,1574871682
2019-11-27 16:21:22,AB10DF,,,,,,,,,,1574871682
2019-11-27 16:21:25,AB10DF,AAL1741,41.97351,-87.89896,,,,,,,1574871685
2019-11-27 16:21:27,AB10DF,AAL1741,41.97351,-87.89896,,,,,,,1574871687
2019-11-27 16:21:29,AB10DF,AAL1741,41.97351,-87.89896,,,,,,,1574871689
2019-11-27 16:21:29,AB10DF,AAL1741,41.97351,-87.89896,,,,,,,1574871689
2019-11-27 16:21:30,AB10DF,AAL1741,41.97352,-87.89896,,,,,,,1574871690
2019-11-27 16:21:33,AB10DF,AAL1741,,,,,,,,,1574871693
2019-11-27 16:21:36,AB10DF,AAL1741,41.97352,-87.89896,,,,,,,1574871696
2019-11-27 16:21:43,AB10DF,AAL1741,41.97352,-87.89896,,,,,,,1574871703
2019-11-27 16:21:56,AB10DF,AAL1741,41.97351,-87.89896,,,,,,,1574871716
2019-11-27 16:25:04,AB10DF,AAL1741,41.97351,-87.89893000000001,,,,,,,1574871904
2019-11-27 16:25:15,AB10DF,AAL1741,41.97351,-87.89894,,,,,,,1574871915
2019-11-27 16:25:44,AB10DF,AAL1741,41.9735,-87.89894,,,,,,,1574871944
2019-11-27 16:25:54,AB10DF,AAL1741,41.9735,-87.89894,,,,,,,1574871954
2019-11-27 16:26:03,AB10DF,AAL1741,,,,,,,,,1574871963
2019-11-27 16:26:04,AB10DF,AAL1741,41.973490000000005,-87.89894,,,,,,,1574871964
2019-11-27 16:26:14,AB10DF,AAL1741,41.973490000000005,-87.89896,,,,,,,1574871974
2019-11-27 16:26:29,AB10DF,AAL1741,41.973490000000005,-87.89898000000001,,,,,,,1574871989
2019-11-27 16:26:33,AB10DF,AAL1741,,,,,,,,,1574871993
2019-11-27 16:26:43,AB10DF,AAL1741,,,,,,,,,1574872003
2019-11-27 16:27:19,AB10DF,AAL1741,41.97348,-87.89896,,,,,,,1574872039
2019-11-27 16:27:43,AB10DF,AAL1741,,,,,,,,,1574872063
2019-11-27 16:27:53,AB10DF,AAL1741,,,,,,,,,1574872073
2019-11-27 16:27:59,AB10DF,AAL1741,41.97351,-87.89896,,,,,,,1574872079
2019-11-27 16:28:04,AB10DF,AAL1741,41.97351,-87.89896,,,,,,,1574872084
2019-11-27 16:28:14,AB10DF,AAL1741,41.97351,-87.89896,,,,,,,1574872094
2019-11-27 16:28:19,AB10DF,AAL1741,41.9735,-87.89894,,,,,,,1574872099
2019-11-27 16:28:43,AB10DF,AAL1741,,,,,,,,,1574872123
2019-11-27 16:29:03,AB10DF,AAL1741,,,,,,,,,1574872143
2019-11-27 16:29:09,AB10DF,AAL1741,41.97352,-87.89896,,,,,,,1574872149
2019-11-27 16:29:39,AB10DF,AAL1741,41.97351,-87.89898000000001,,,,,,,1574872179
2019-11-27 16:29:43,AB10DF,AAL1741,,,,,,,,,1574872183
2019-11-27 16:30:19,AB10DF,AAL1741,41.97339,-87.89886,,,,,,,1574872219
2019-11-27 16:30:22,AB10DF,AAL1741,41.97337,-87.89885,,,,,,,1574872222
2019-11-27 16:30:24,AB10DF,AAL1741,41.97336,-87.89883,,,,,,,1574872224
2019-11-27 16:30:30,AB10DF,AAL1741,41.973290000000006,-87.89878,,,,,,,1574872230
2019-11-27 16:30:46,AB10DF,AAL1741,41.9731,-87.89860999999999,,,,,,,1574872246
2019-11-27 16:31:13,AB10DF,AAL1741,41.97303,-87.89855,,,,,,,1574872273
2019-11-27 16:31:16,AB10DF,AAL1741,41.973009999999995,-87.89854,,,,,,,1574872276
2019-11-27 16:31:46,AB10DF,AAL1741,,,,,,,,,1574872306
2019-11-27 16:31:47,AB10DF,AAL1741,41.97215,-87.89883,,,,,,,1574872307
2019-11-27 16:31:49,AB10DF,AAL1741,41.972120000000004,-87.89896,,,,,,,1574872309
2019-11-27 16:32:01,AB10DF,AAL1741,41.97207,-87.89976,,,,,,,1574872321
2019-11-27 16:32:19,AB10DF,AAL1741,41.97206,-87.90091,,,,,,,1574872339
2019-11-27 16:32:28,AB10DF,AAL1741,41.97206,-87.90145,,,,,,,1574872348
2019-11-27 16:32:31,AB10DF,AAL1741,41.97205,-87.90169,,,,,,,1574872351
2019-11-27 16:32:32,AB10DF,AAL1741,41.97206,-87.90172,,,,,,,1574872352
2019-11-27 16:32:34,AB10DF,AAL1741,41.97206,-87.90185,,,,,,,1574872354
2019-11-27 16:32:54,AB10DF,AAL1741,41.97206,-87.90313,,,,,,,1574872374
2019-11-27 16:32:59,AB10DF,AAL1741,41.97206,-87.90345,,,,,,,1574872379
2019-11-27 16:33:10,AB10DF,AAL1741,41.97208,-87.90420999999999,,,,,,,1574872390
2019-11-27 16:33:15,AB10DF,AAL1741,41.97209,-87.90453000000001,,,,,,,1574872395
2019-11-27 16:33:15,AB10DF,AAL1741,41.9721,-87.90456,,,,,,,1574872395
2019-11-27 16:33:17,AB10DF,AAL1741,41.9721,-87.90465,,,,,,,1574872397
2019-11-27 16:33:44,AB10DF,AAL1741,41.9722,-87.90626999999999,,,,,,,1574872424
2019-11-27 16:33:54,AB10DF,AAL1741,41.97226,-87.90685,,,,,,,1574872434
2019-11-27 16:34:01,AB10DF,AAL1741,41.97237,-87.90720999999999,,,,,,,1574872441
2019-11-27 16:34:03,AB10DF,AAL1741,41.972409999999996,-87.90732,,,,,,,1574872443
2019-11-27 16:34:03,AB10DF,AAL1741,41.97242,-87.90734,,,,,,,1574872443
