received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:27:04,AB2169,,41.9779,-87.91199,,,,,,,1574872024
2019-11-27 16:27:05,AB2169,,41.9779,-87.91199,,,,,,,1574872025
2019-11-27 16:27:06,AB2169,,41.97789,-87.91199,,,,,,,1574872026
2019-11-27 16:27:08,AB2169,,41.97789,-87.91199,,,,,,,1574872028
2019-11-27 16:27:08,AB2169,,41.97789,-87.91199,,,,,,,1574872028
2019-11-27 16:27:09,AB2169,,41.97789,-87.91199,,,,,,,1574872029
2019-11-27 16:27:11,AB2169,,41.97789,-87.91199,,,,,,,1574872031
2019-11-27 16:27:13,AB2169,,41.97788,-87.91199,,,,,,,1574872033
2019-11-27 16:27:13,AB2169,,41.97788,-87.91199,,,,,,,1574872033
2019-11-27 16:27:14,AB2169,,41.97788,-87.91199,,,,,,,1574872034
2019-11-27 16:27:14,AB2169,,41.97788,-87.91197,,,,,,,1574872034
2019-11-27 16:27:15,AB2169,,41.97788,-87.91197,,,,,,,1574872035
2019-11-27 16:27:16,AB2169,,41.97788,-87.91197,,,,,,,1574872036
2019-11-27 16:27:17,AB2169,,41.97787,-87.91197,,,,,,,1574872037
2019-11-27 16:27:17,AB2169,,41.97788,-87.91197,,,,,,,1574872037
2019-11-27 16:27:18,AB2169,,41.97788,-87.91197,,,,,,,1574872038
2019-11-27 16:27:19,AB2169,,41.97786,-87.91197,,,,,,,1574872039
2019-11-27 16:27:20,AB2169,,41.97786,-87.91197,,,,,,,1574872040
2019-11-27 16:27:21,AB2169,,41.97787,-87.91197,,,,,,,1574872041
2019-11-27 16:27:22,AB2169,,41.97786,-87.91196,,,,,,,1574872042
2019-11-27 16:27:23,AB2169,,41.97786,-87.91196,,,,,,,1574872043
2019-11-27 16:27:23,AB2169,,41.97786,-87.91196,,,,,,,1574872043
2019-11-27 16:27:24,AB2169,,41.97786,-87.91196,,,,,,,1574872044
2019-11-27 16:27:25,AB2169,,41.97786,-87.91196,,,,,,,1574872045
2019-11-27 16:27:27,AB2169,,41.97786,-87.91196,,,,,,,1574872047
2019-11-27 16:27:31,AB2169,,41.97785,-87.91196,,,,,,,1574872051
2019-11-27 16:27:44,AB2169,,,,,,,,,,1574872064
2019-11-27 16:27:47,AB2169,UAL1264,41.97785,-87.91197,,,,,,,1574872067
2019-11-27 16:28:04,AB2169,UAL1264,,,,,,,,,1574872084
2019-11-27 16:28:12,AB2169,UAL1264,41.97786,-87.91193,,,,,,,1574872092
2019-11-27 16:28:14,AB2169,UAL1264,,,,,,,,,1574872094
2019-11-27 16:28:27,AB2169,UAL1264,41.97784,-87.91193,,,,,,,1574872107
2019-11-27 16:28:32,AB2169,UAL1264,41.97785,-87.91190999999999,,,,,,,1574872112
2019-11-27 16:28:37,AB2169,UAL1264,41.97785,-87.9119,,,,,,,1574872117
2019-11-27 16:28:42,AB2169,UAL1264,41.97786,-87.91190999999999,,,,,,,1574872122
2019-11-27 16:28:43,AB2169,UAL1264,,,,,,,,,1574872123
2019-11-27 16:29:14,AB2169,UAL1264,,,,,,,,,1574872154
2019-11-27 16:29:24,AB2169,UAL1264,,,,,,,,,1574872164
2019-11-27 16:29:28,AB2169,UAL1264,41.97789,-87.91196,,,,,,,1574872168
2019-11-27 16:29:33,AB2169,UAL1264,41.97789,-87.91196,,,,,,,1574872173
2019-11-27 16:29:33,AB2169,UAL1264,,,,,,,,,1574872173
2019-11-27 16:29:38,AB2169,UAL1264,41.97789,-87.91196,,,,,,,1574872178
2019-11-27 16:29:43,AB2169,UAL1264,41.977909999999994,-87.91196,,,,,,,1574872183
2019-11-27 16:29:48,AB2169,UAL1264,41.977920000000005,-87.91197,,,,,,,1574872188
2019-11-27 16:29:53,AB2169,UAL1264,41.977920000000005,-87.91197,,,,,,,1574872193
2019-11-27 16:29:58,AB2169,UAL1264,41.977920000000005,-87.91199,,,,,,,1574872198
2019-11-27 16:30:03,AB2169,UAL1264,41.977909999999994,-87.91199,,,,,,,1574872203
2019-11-27 16:30:08,AB2169,UAL1264,41.977909999999994,-87.912,,,,,,,1574872208
2019-11-27 16:30:13,AB2169,UAL1264,41.977920000000005,-87.91199,,,,,,,1574872213
2019-11-27 16:30:14,AB2169,UAL1264,,,,,,,,,1574872214
2019-11-27 16:30:18,AB2169,UAL1264,41.977909999999994,-87.912,,,,,,,1574872218
2019-11-27 16:30:23,AB2169,UAL1264,,,,,,,,,1574872223
2019-11-27 16:30:38,AB2169,UAL1264,41.9779,-87.912,,,,,,,1574872238
2019-11-27 16:30:53,AB2169,UAL1264,41.977909999999994,-87.91199,,,,,,,1574872253
2019-11-27 16:31:03,AB2169,UAL1264,,,,,,,,,1574872263
2019-11-27 16:31:08,AB2169,UAL1264,41.977909999999994,-87.91197,,,,,,,1574872268
2019-11-27 16:31:38,AB2169,UAL1264,41.9779,-87.91197,,,,,,,1574872298
2019-11-27 16:31:43,AB2169,UAL1264,,,,,,,,,1574872303
2019-11-27 16:31:53,AB2169,UAL1264,41.977909999999994,-87.91199,,,,,,,1574872313
2019-11-27 16:32:38,AB2169,UAL1264,41.97788,-87.91199,,,,,,,1574872358
2019-11-27 16:32:43,AB2169,UAL1264,41.97789,-87.91197,,,,,,,1574872363
2019-11-27 16:32:44,AB2169,UAL1264,,,,,,,,,1574872364
2019-11-27 16:32:48,AB2169,UAL1264,41.9779,-87.91197,,,,,,,1574872368
2019-11-27 16:33:04,AB2169,UAL1264,,,,,,,,,1574872384
2019-11-27 16:33:24,AB2169,UAL1264,41.97789,-87.91199,,,,,,,1574872404
2019-11-27 16:33:24,AB2169,UAL1264,,,,,,,,,1574872404
2019-11-27 16:33:34,AB2169,UAL1264,41.9779,-87.91199,,,,,,,1574872414
2019-11-27 16:33:44,AB2169,UAL1264,,,,,,,,,1574872424
2019-11-27 16:33:58,AB2169,UAL1264,41.97789,-87.91199,,,,,,,1574872438
2019-11-27 16:34:03,AB2169,UAL1264,41.97789,-87.91197,,,,,,,1574872443
2019-11-27 16:34:04,AB2169,UAL1264,,,,,,,,,1574872444
2019-11-27 16:34:14,AB2169,UAL1264,,,,,,,,,1574872454
2019-11-27 16:34:23,AB2169,UAL1264,41.97784,-87.91197,,,,,,,1574872463
2019-11-27 16:34:24,AB2169,UAL1264,,,,,,,,,1574872464
2019-11-27 16:34:28,AB2169,UAL1264,41.97784,-87.91197,,,,,,,1574872468
2019-11-27 16:34:34,AB2169,UAL1264,,,,,,,,,1574872474
2019-11-27 16:34:38,AB2169,UAL1264,41.97786,-87.91196,,,,,,,1574872478
2019-11-27 16:34:44,AB2169,UAL1264,,,,,,,,,1574872484
2019-11-27 16:34:48,AB2169,UAL1264,41.97785,-87.91194,,,,,,,1574872488
2019-11-27 16:34:53,AB2169,UAL1264,41.97786,-87.91194,,,,,,,1574872493
2019-11-27 16:34:54,AB2169,UAL1264,,,,,,,,,1574872494
2019-11-27 16:34:58,AB2169,UAL1264,41.97786,-87.91193,,,,,,,1574872498
2019-11-27 16:35:03,AB2169,UAL1264,41.97787,-87.91194,,,,,,,1574872503
2019-11-27 16:35:13,AB2169,UAL1264,41.97789,-87.91194,,,,,,,1574872513
2019-11-27 16:35:23,AB2169,UAL1264,41.97789,-87.91194,,,,,,,1574872523
2019-11-27 16:35:34,AB2169,UAL1264,,,,,,,,,1574872534
2019-11-27 16:36:04,AB2169,UAL1264,,,,,,,,,1574872564
2019-11-27 16:36:18,AB2169,UAL1264,41.9779,-87.91196,,,,,,,1574872578
2019-11-27 16:36:28,AB2169,UAL1264,41.9779,-87.91196,,,,,,,1574872588
2019-11-27 16:36:33,AB2169,UAL1264,41.9779,-87.91197,,,,,,,1574872593
2019-11-27 16:36:48,AB2169,UAL1264,41.9779,-87.91197,,,,,,,1574872608
2019-11-27 16:36:54,AB2169,UAL1264,,,,,,,,,1574872614
2019-11-27 16:37:03,AB2169,UAL1264,41.9779,-87.91197,,,,,,,1574872623
2019-11-27 16:37:06,AB2169,UAL1264,41.97807,-87.91196,,,,,,,1574872626
2019-11-27 16:37:08,AB2169,UAL1264,41.97804,-87.91196,,,,,,,1574872628
2019-11-27 16:37:09,AB2169,UAL1264,41.97805,-87.91196,,,,,,,1574872629
2019-11-27 16:37:09,AB2169,UAL1264,41.97805,-87.91196,,,,,,,1574872629
2019-11-27 16:37:10,AB2169,UAL1264,41.97807,-87.91196,,,,,,,1574872630
2019-11-27 16:37:11,AB2169,UAL1264,41.97805,-87.91196,,,,,,,1574872631
2019-11-27 16:37:12,AB2169,UAL1264,41.977959999999996,-87.91197,,,,,,,1574872632
2019-11-27 16:37:12,AB2169,UAL1264,41.977959999999996,-87.91197,,,,,,,1574872632
2019-11-27 16:37:14,AB2169,UAL1264,,,,,,,,,1574872634
2019-11-27 16:37:14,AB2169,UAL1264,41.977909999999994,-87.91197,,,,,,,1574872634
2019-11-27 16:37:18,AB2169,UAL1264,41.9779,-87.91199,,,,,,,1574872638
2019-11-27 16:37:19,AB2169,UAL1264,,,,,,,,,1574872639
2019-11-27 16:37:19,AB2169,UAL1264,41.9779,-87.91199,,,,,,,1574872639
2019-11-27 16:37:20,AB2169,UAL1264,41.97789,-87.91199,,,,,,,1574872640
2019-11-27 16:37:21,AB2169,UAL1264,41.97789,-87.91199,,,,,,,1574872641
2019-11-27 16:37:21,AB2169,UAL1264,41.9779,-87.91199,,,,,,,1574872641
2019-11-27 16:37:23,AB2169,UAL1264,41.97788,-87.91199,,,,,,,1574872643
2019-11-27 16:37:23,AB2169,UAL1264,41.97788,-87.91199,,,,,,,1574872643
2019-11-27 16:37:24,AB2169,UAL1264,41.977909999999994,-87.91199,,,,,,,1574872644
2019-11-27 16:37:24,AB2169,UAL1264,41.977920000000005,-87.91199,,,,,,,1574872644
2019-11-27 16:37:29,AB2169,UAL1264,41.97801,-87.91197,,,,,,,1574872649
2019-11-27 16:37:29,AB2169,UAL1264,41.97803,-87.91197,,,,,,,1574872649
2019-11-27 16:37:30,AB2169,UAL1264,41.97803,-87.91197,,,,,,,1574872650
2019-11-27 16:37:31,AB2169,UAL1264,41.97803,-87.91197,,,,,,,1574872651
2019-11-27 16:37:31,AB2169,UAL1264,41.97803,-87.91197,,,,,,,1574872651
2019-11-27 16:37:33,AB2169,UAL1264,41.97803,-87.91197,,,,,,,1574872653
2019-11-27 16:37:39,AB2169,UAL1264,,,,,,,,,1574872659
2019-11-27 16:37:39,AB2169,UAL1264,41.97795,-87.91199,,,,,,,1574872659
2019-11-27 16:37:39,AB2169,UAL1264,41.97795,-87.91199,,,,,,,1574872659
