received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:49:28,AB34EA,,,,,,417.0,203.0,1664.0,GS,1574873368
2019-11-27 16:50:35,AB34EA,,42.148540000000004,-87.74129,21775.0,,,,,,1574873435
2019-11-27 16:50:48,AB34EA,,,,,,415.0,202.8,1600.0,GS,1574873448
2019-11-27 16:51:04,AB34EA,,,,,,424.0,197.28,1664.0,GS,1574873464
2019-11-27 16:51:08,AB34EA,,,,,,427.0,195.76,1536.0,GS,1574873468
2019-11-27 16:51:10,AB34EA,,42.085359999999994,-87.77252,22800.0,,,,,,1574873470
2019-11-27 16:51:12,AB34EA,,42.08127,-87.77386,22850.0,,,,,,1574873472
2019-11-27 16:51:16,AB34EA,,42.07363,-87.77616,22950.0,,,,,,1574873476
2019-11-27 16:51:19,AB34EA,,42.067609999999995,-87.7777,23025.0,,,,,,1574873479
2019-11-27 16:51:21,AB34EA,,42.06353,-87.77865,23075.0,,,,,,1574873481
2019-11-27 16:51:21,AB34EA,,,,,,435.0,190.18,1664.0,GS,1574873481
2019-11-27 16:51:24,AB34EA,,42.05771,-87.77986999999999,23175.0,,,,,,1574873484
2019-11-27 16:51:25,AB34EA,,,,,,438.0,188.39,1664.0,GS,1574873485
2019-11-27 16:51:27,AB34EA,,,,,,439.0,187.58,1600.0,GS,1574873487
2019-11-27 16:51:30,AB34EA,,,,,,441.0,186.24,1536.0,GS,1574873490
2019-11-27 16:51:31,AB34EA,,42.043209999999995,-87.78214,23350.0,,,,,,1574873491
2019-11-27 16:51:34,AB34EA,,,,,,444.0,184.52,1600.0,GS,1574873494
2019-11-27 16:51:36,AB34EA,,42.03262,-87.78313,23500.0,,,,,,1574873496
2019-11-27 16:51:39,AB34EA,,,,,,447.0,182.31,1664.0,GS,1574873499
2019-11-27 16:51:43,AB34EA,,42.01935,-87.78364,23675.0,,,,,,1574873503
2019-11-27 16:51:44,AB34EA,,42.01717,-87.7837,23700.0,,,,,,1574873504
2019-11-27 16:51:45,AB34EA,,,,,,450.0,181.27,1472.0,GS,1574873505
2019-11-27 16:51:49,AB34EA,,42.006409999999995,-87.78402,23825.0,,,,,,1574873509
2019-11-27 16:51:50,AB34EA,,42.00436,-87.78408,23850.0,,,,,,1574873510
2019-11-27 16:51:51,AB34EA,,42.00227,-87.78415,23850.0,,,,,,1574873511
2019-11-27 16:51:52,AB34EA,,42.00009,-87.78426,23900.0,,,,,,1574873512
2019-11-27 16:51:54,AB34EA,,41.99515,-87.7844,23950.0,,,,,,1574873514
2019-11-27 16:51:54,AB34EA,,,,,,451.0,181.4,1536.0,GS,1574873514
2019-11-27 16:51:58,AB34EA,,,,,,451.0,181.4,1536.0,GS,1574873518
2019-11-27 16:51:59,AB34EA,,,,,,451.0,181.4,1472.0,GS,1574873519
2019-11-27 16:52:00,AB34EA,,,,,,451.0,181.27,1472.0,GS,1574873520
2019-11-27 16:52:00,AB34EA,,41.9821,-87.78482,24100.0,,,,,,1574873520
2019-11-27 16:52:01,AB34EA,,41.97992,-87.78485,24125.0,,,,,,1574873521
2019-11-27 16:52:03,AB34EA,,,,,,452.0,181.27,1408.0,GS,1574873523
2019-11-27 16:52:08,AB34EA,,41.96717,-87.78523,24275.0,,,,,,1574873528
2019-11-27 16:52:08,AB34EA,,,,,,453.0,181.26,1344.0,GS,1574873528
2019-11-27 16:52:08,AB34EA,,41.96539,-87.78532,24300.0,,,,,,1574873528
2019-11-27 16:52:15,AB34EA,,,,,,454.0,181.26,1408.0,GS,1574873535
2019-11-27 16:52:18,AB34EA,,41.94641,-87.78586999999999,24500.0,,,,,,1574873538
2019-11-27 16:52:19,AB34EA,,41.9442,-87.78594,24525.0,,,,,,1574873539
2019-11-27 16:52:20,AB34EA,,,,,,454.0,181.26,1152.0,GS,1574873540
2019-11-27 16:52:20,AB34EA,,41.94198,-87.786,24550.0,,,,,,1574873540
2019-11-27 16:52:20,AB34EA,,41.94017,-87.78607,24550.0,,,,,,1574873540
2019-11-27 16:52:21,AB34EA,,,,,,455.0,181.26,1152.0,GS,1574873541
2019-11-27 16:52:22,AB34EA,,,,,,455.0,181.26,1216.0,GS,1574873542
2019-11-27 16:52:22,AB34EA,,41.93607,-87.78619,24600.0,,,,,,1574873542
2019-11-27 16:52:23,AB34EA,,,,,,455.0,181.38,1216.0,GS,1574873543
2019-11-27 16:52:26,AB34EA,,,,,,456.0,181.26,1472.0,GS,1574873546
