received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:30:28,ABB995,,41.77207,-87.76831,2500.0,,,,,,1574872228
2019-11-27 16:30:29,ABB995,,,,,,,,,,1574872229
2019-11-27 16:30:29,ABB995,SWA2405,,,,,118.0,233.62,2752.0,GS,1574872229
2019-11-27 16:30:29,ABB995,SWA2405,41.77174,-87.76888000000001,2550.0,,,,,,1574872229
2019-11-27 16:30:30,ABB995,SWA2405,,,,,117.0,234.69,2432.0,GS,1574872230
2019-11-27 16:30:31,ABB995,SWA2405,,,,,117.0,235.09,2304.0,GS,1574872231
2019-11-27 16:30:31,ABB995,SWA2405,,,,,117.0,235.09,2304.0,GS,1574872231
2019-11-27 16:30:32,ABB995,SWA2405,,,,,117.0,235.77,2304.0,GS,1574872232
2019-11-27 16:30:32,ABB995,SWA2405,41.77075,-87.77084,2675.0,,,,,,1574872232
2019-11-27 16:30:34,ABB995,SWA2405,41.77016,-87.77215,2775.0,,,,,,1574872234
2019-11-27 16:30:35,ABB995,SWA2405,41.76993,-87.77265,2800.0,,,,,,1574872235
2019-11-27 16:30:40,ABB995,SWA2405,,,,,118.0,237.38,1920.0,GS,1574872240
2019-11-27 16:30:42,ABB995,SWA2405,,,,,119.0,237.64,1984.0,GS,1574872242
2019-11-27 16:30:43,ABB995,SWA2405,,,,,119.0,237.64,2048.0,GS,1574872243
2019-11-27 16:30:46,ABB995,SWA2405,,,,,120.0,241.31,1664.0,GS,1574872246
2019-11-27 16:30:51,ABB995,SWA2405,41.76585,-87.78301,3250.0,,,,,,1574872251
2019-11-27 16:30:51,ABB995,SWA2405,,,,,123.0,253.03,960.0,GS,1574872251
2019-11-27 16:30:52,ABB995,SWA2405,41.76576,-87.78338000000001,3250.0,,,,,,1574872252
2019-11-27 16:30:52,ABB995,SWA2405,,,,,124.0,255.07,832.0,GS,1574872252
2019-11-27 16:30:52,ABB995,SWA2405,41.76572,-87.78381999999999,3250.0,,,,,,1574872252
2019-11-27 16:30:53,ABB995,SWA2405,,,,,124.0,256.97,640.0,GS,1574872253
2019-11-27 16:30:53,ABB995,SWA2405,41.765640000000005,-87.78421,3275.0,,,,,,1574872253
2019-11-27 16:30:53,ABB995,SWA2405,,,,,124.0,256.97,640.0,GS,1574872253
2019-11-27 16:30:54,ABB995,SWA2405,41.76555,-87.78498,3275.0,,,,,,1574872254
2019-11-27 16:30:54,ABB995,SWA2405,,,,,124.0,258.42,768.0,GS,1574872254
2019-11-27 16:30:54,ABB995,SWA2405,,,,,,,,,1574872254
2019-11-27 16:30:57,ABB995,SWA2405,,,,,127.0,262.76,320.0,GS,1574872257
2019-11-27 16:30:57,ABB995,SWA2405,41.76527,-87.7876,3300.0,,,,,,1574872257
2019-11-27 16:30:57,ABB995,SWA2405,,,,,127.0,262.76,320.0,GS,1574872257
2019-11-27 16:30:58,ABB995,SWA2405,,,,,126.0,263.66,320.0,GS,1574872258
2019-11-27 16:30:59,ABB995,SWA2405,41.76517,-87.78888,3300.0,,,,,,1574872259
2019-11-27 16:30:59,ABB995,SWA2405,,,,,127.0,264.6,256.0,GS,1574872259
2019-11-27 16:30:59,ABB995,SWA2405,,,,,,,,,1574872259
2019-11-27 16:30:59,ABB995,SWA2405,41.76517,-87.78931,3300.0,,,,,,1574872259
2019-11-27 16:31:00,ABB995,SWA2405,41.76508,-87.79021999999999,3300.0,,,,,,1574872260
2019-11-27 16:31:01,ABB995,SWA2405,41.76508,-87.79061999999999,3300.0,,,,,,1574872261
2019-11-27 16:31:01,ABB995,SWA2405,,,,,129.0,265.13,320.0,GS,1574872261
2019-11-27 16:31:01,ABB995,SWA2405,41.765029999999996,-87.79111999999999,3300.0,,,,,,1574872261
2019-11-27 16:31:03,ABB995,SWA2405,41.76498,-87.79236999999999,3325.0,,,,,,1574872263
2019-11-27 16:31:03,ABB995,SWA2405,41.76495,-87.79276999999999,3325.0,,,,,,1574872263
2019-11-27 16:31:04,ABB995,SWA2405,,,,,134.0,266.16,384.0,GS,1574872264
2019-11-27 16:31:05,ABB995,SWA2405,,,,,136.0,265.79,384.0,GS,1574872265
2019-11-27 16:31:07,ABB995,SWA2405,41.764759999999995,-87.79618,3350.0,,,,,,1574872267
2019-11-27 16:31:08,ABB995,SWA2405,,,,,140.0,264.29,640.0,GS,1574872268
2019-11-27 16:31:08,ABB995,SWA2405,,,,,140.0,264.29,512.0,GS,1574872268
2019-11-27 16:31:09,ABB995,SWA2405,41.76467,-87.79711,3350.0,,,,,,1574872269
2019-11-27 16:31:09,ABB995,SWA2405,,,,,141.0,263.53,320.0,GS,1574872269
2019-11-27 16:31:09,ABB995,SWA2405,,,,,,,,,1574872269
2019-11-27 16:31:10,ABB995,SWA2405,41.76457,-87.79805,3350.0,,,,,,1574872270
2019-11-27 16:31:10,ABB995,SWA2405,,,,,142.0,262.72,192.0,GS,1574872270
2019-11-27 16:31:10,ABB995,SWA2405,41.76453,-87.79852,3350.0,,,,,,1574872270
2019-11-27 16:31:10,ABB995,SWA2405,,,,,143.0,261.98,256.0,GS,1574872270
2019-11-27 16:31:11,ABB995,SWA2405,,,,,143.0,261.98,256.0,GS,1574872271
2019-11-27 16:31:11,ABB995,SWA2405,41.76443,-87.79948,3375.0,,,,,,1574872271
2019-11-27 16:31:12,ABB995,SWA2405,,,,,144.0,262.04,448.0,GS,1574872272
2019-11-27 16:31:18,ABB995,SWA2405,,,,,152.0,260.97,320.0,GS,1574872278
2019-11-27 16:31:19,ABB995,SWA2405,,,,,154.0,261.09,448.0,GS,1574872279
2019-11-27 16:31:26,ABB995,SWA2405,,,,,163.0,265.44,-320.0,GS,1574872286
2019-11-27 16:31:27,ABB995,SWA2405,41.76313,-87.81398,3425.0,,,,,,1574872287
2019-11-27 16:31:27,ABB995,SWA2405,,,,,165.0,265.15,-448.0,GS,1574872287
2019-11-27 16:31:27,ABB995,SWA2405,41.76311,-87.81447,3425.0,,,,,,1574872287
2019-11-27 16:31:27,ABB995,SWA2405,41.76308,-87.81506,3425.0,,,,,,1574872287
2019-11-27 16:31:31,ABB995,SWA2405,41.76292,-87.81828,3400.0,,,,,,1574872291
2019-11-27 16:31:31,ABB995,SWA2405,41.7629,-87.81877,3400.0,,,,,,1574872291
2019-11-27 16:31:38,ABB995,SWA2405,41.76248,-87.82592,3400.0,,,,,,1574872298
2019-11-27 16:31:38,ABB995,SWA2405,,,,,173.0,265.7,-64.0,GS,1574872298
2019-11-27 16:31:39,ABB995,SWA2405,,,,,173.0,265.7,0.0,GS,1574872299
2019-11-27 16:31:40,ABB995,SWA2405,41.762370000000004,-87.82814,3400.0,,,,,,1574872300
2019-11-27 16:31:41,ABB995,SWA2405,,,,,175.0,266.4,448.0,GS,1574872301
2019-11-27 16:31:41,ABB995,SWA2405,41.76233,-87.82933,3400.0,,,,,,1574872301
2019-11-27 16:31:41,ABB995,SWA2405,,,,,176.0,266.75,512.0,GS,1574872301
2019-11-27 16:31:42,ABB995,SWA2405,41.76229,-87.82994000000001,3400.0,,,,,,1574872302
2019-11-27 16:31:42,ABB995,SWA2405,,,,,176.0,266.75,576.0,GS,1574872302
2019-11-27 16:31:43,ABB995,SWA2405,,,,,177.0,266.77,448.0,GS,1574872303
2019-11-27 16:31:43,ABB995,SWA2405,41.76225,-87.83166999999999,3425.0,,,,,,1574872303
2019-11-27 16:31:44,ABB995,SWA2405,,,,,177.0,266.44,384.0,GS,1574872304
2019-11-27 16:31:44,ABB995,SWA2405,41.7622,-87.83269,3450.0,,,,,,1574872304
2019-11-27 16:31:44,ABB995,SWA2405,,,,,178.0,265.82,384.0,GS,1574872304
2019-11-27 16:31:45,ABB995,SWA2405,,,,,,,,,1574872305
2019-11-27 16:31:45,ABB995,SWA2405,,,,,178.0,265.82,384.0,GS,1574872305
2019-11-27 16:31:45,ABB995,SWA2405,,,,,178.0,265.82,320.0,GS,1574872305
2019-11-27 16:31:46,ABB995,SWA2405,41.76206,-87.83454,3450.0,,,,,,1574872306
2019-11-27 16:31:46,ABB995,SWA2405,,,,,180.0,265.24,384.0,GS,1574872306
2019-11-27 16:31:46,ABB995,SWA2405,41.76205,-87.83507,3425.0,,,,,,1574872306
2019-11-27 16:31:47,ABB995,SWA2405,,,,,180.0,264.29,512.0,GS,1574872307
2019-11-27 16:31:50,ABB995,SWA2405,,,,,,,,,1574872310
2019-11-27 16:31:50,ABB995,SWA2405,41.76169,-87.83906,3475.0,,,,,,1574872310
2019-11-27 16:31:51,ABB995,SWA2405,41.76155,-87.84069000000001,3525.0,,,,,,1574872311
2019-11-27 16:31:52,ABB995,SWA2405,,,,,184.0,262.53,1216.0,GS,1574872312
2019-11-27 16:31:53,ABB995,SWA2405,41.761309999999995,-87.84297,3550.0,,,,,,1574872313
2019-11-27 16:31:56,ABB995,SWA2405,,,,,186.0,262.61,1984.0,GS,1574872316
2019-11-27 16:31:56,ABB995,SWA2405,41.76099,-87.84585,3625.0,,,,,,1574872316
2019-11-27 16:31:56,ABB995,SWA2405,,,,,186.0,262.61,2176.0,GS,1574872316
2019-11-27 16:31:56,ABB995,SWA2405,41.760940000000005,-87.84636,3650.0,,,,,,1574872316
2019-11-27 16:31:57,ABB995,SWA2405,,,,,186.0,262.91,2304.0,GS,1574872317
2019-11-27 16:31:57,ABB995,SWA2405,41.7609,-87.84706,3675.0,,,,,,1574872317
2019-11-27 16:31:57,ABB995,SWA2405,,,,,186.0,262.91,2368.0,GS,1574872317
2019-11-27 16:31:57,ABB995,SWA2405,41.76086,-87.84768000000001,3700.0,,,,,,1574872317
2019-11-27 16:31:58,ABB995,SWA2405,41.7608,-87.8484,3725.0,,,,,,1574872318
2019-11-27 16:31:58,ABB995,SWA2405,,,,,186.0,263.52,2368.0,GS,1574872318
2019-11-27 16:31:59,ABB995,SWA2405,,,,,187.0,263.86,2432.0,GS,1574872319
2019-11-27 16:31:59,ABB995,SWA2405,41.760709999999996,-87.84949,3750.0,,,,,,1574872319
2019-11-27 16:32:00,ABB995,SWA2405,,,,,186.0,264.17,2624.0,GS,1574872320
2019-11-27 16:32:00,ABB995,SWA2405,41.76062,-87.85083,3800.0,,,,,,1574872320
2019-11-27 16:32:01,ABB995,SWA2405,,,,,186.0,264.47,2688.0,GS,1574872321
2019-11-27 16:32:01,ABB995,SWA2405,41.76052,-87.85205,3850.0,,,,,,1574872321
2019-11-27 16:32:01,ABB995,SWA2405,,,,,186.0,264.47,2688.0,GS,1574872321
2019-11-27 16:32:02,ABB995,SWA2405,,,,,186.0,264.47,2688.0,GS,1574872322
2019-11-27 16:32:03,ABB995,SWA2405,,,,,187.0,264.5,2624.0,GS,1574872323
2019-11-27 16:32:04,ABB995,SWA2405,,,,,187.0,264.2,2624.0,GS,1574872324
2019-11-27 16:32:04,ABB995,SWA2405,41.760290000000005,-87.85511,3975.0,,,,,,1574872324
2019-11-27 16:32:04,ABB995,SWA2405,,,,,187.0,264.2,2688.0,GS,1574872324
2019-11-27 16:32:04,ABB995,SWA2405,41.76024,-87.85562,4000.0,,,,,,1574872324
2019-11-27 16:32:04,ABB995,SWA2405,,,,,,,,,1574872324
2019-11-27 16:32:05,ABB995,SWA2405,41.76018,-87.85679,4050.0,,,,,,1574872325
