received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:21:10,ABDB88,,,,,,,,,,1574871670
2019-11-27 16:21:30,ABDB88,RPA3624,,,,,,,,,1574871690
2019-11-27 16:23:40,ABDB88,RPA3624,,,,,,,,,1574871820
2019-11-27 16:24:20,ABDB88,RPA3624,,,,,,,,,1574871860
2019-11-27 16:27:11,ABDB88,RPA3624,,,,,,,,,1574872031
2019-11-27 16:29:51,ABDB88,RPA3624,,,,,,,,,1574872191
2019-11-27 16:31:42,ABDB88,RPA3624,,,,,,,,,1574872302
2019-11-27 16:32:22,ABDB88,RPA3624,,,,,,,,,1574872342
2019-11-27 16:34:12,ABDB88,RPA3624,,,,,,,,,1574872452
2019-11-27 16:36:22,ABDB88,RPA3624,,,,,,,,,1574872582
2019-11-27 16:37:32,ABDB88,RPA3624,,,,,,,,,1574872652
2019-11-27 16:38:12,ABDB88,RPA3624,,,,,,,,,1574872692
2019-11-27 16:38:22,ABDB88,RPA3624,,,,,,,,,1574872702
2019-11-27 16:38:32,ABDB88,RPA3624,,,,,,,,,1574872712
2019-11-27 16:38:49,ABDB88,RPA3624,41.976929999999996,-87.91127,,,,,,,1574872729
2019-11-27 16:38:49,ABDB88,RPA3624,41.976929999999996,-87.91129000000001,,,,,,,1574872729
2019-11-27 16:38:50,ABDB88,RPA3624,41.976929999999996,-87.91129000000001,,,,,,,1574872730
2019-11-27 16:38:50,ABDB88,RPA3624,41.976929999999996,-87.91129000000001,,,,,,,1574872730
2019-11-27 16:38:52,ABDB88,RPA3624,41.976929999999996,-87.91131999999999,,,,,,,1574872732
2019-11-27 16:38:53,ABDB88,RPA3624,41.976929999999996,-87.91135,,,,,,,1574872733
2019-11-27 16:38:53,ABDB88,RPA3624,41.976929999999996,-87.91135,,,,,,,1574872733
2019-11-27 16:38:54,ABDB88,RPA3624,41.97692,-87.91135,,,,,,,1574872734
2019-11-27 16:38:55,ABDB88,RPA3624,41.97692,-87.91136999999999,,,,,,,1574872735
2019-11-27 16:38:57,ABDB88,RPA3624,41.97692,-87.91143000000001,,,,,,,1574872737
2019-11-27 16:38:58,ABDB88,RPA3624,41.97692,-87.91145,,,,,,,1574872738
2019-11-27 16:39:00,ABDB88,RPA3624,41.97691,-87.91148000000001,,,,,,,1574872740
2019-11-27 16:39:02,ABDB88,RPA3624,,,,,,,,,1574872742
2019-11-27 16:39:03,ABDB88,RPA3624,41.97692,-87.91158,,,,,,,1574872743
2019-11-27 16:39:04,ABDB88,RPA3624,41.97692,-87.91161,,,,,,,1574872744
2019-11-27 16:39:13,ABDB88,RPA3624,41.97699,-87.91183000000001,,,,,,,1574872753
