received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:40:14,AC9703,,41.97445,-87.90849,,,,,,,1574872814
2019-11-27 16:40:19,AC9703,,41.97446,-87.90849,,,,,,,1574872819
2019-11-27 16:40:24,AC9703,,41.97445,-87.90849,,,,,,,1574872824
2019-11-27 16:40:34,AC9703,,41.97445,-87.90849,,,,,,,1574872834
2019-11-27 16:40:48,AC9703,,,,,,,,,,1574872848
2019-11-27 16:40:49,AC9703,DAL2183,41.97445,-87.90849,,,,,,,1574872849
2019-11-27 16:41:08,AC9703,DAL2183,,,,,,,,,1574872868
2019-11-27 16:41:09,AC9703,DAL2183,41.97445,-87.90849,,,,,,,1574872869
2019-11-27 16:41:19,AC9703,DAL2183,41.97441,-87.90849,,,,,,,1574872879
2019-11-27 16:41:36,AC9703,DAL2183,41.97426,-87.90845999999999,,,,,,,1574872896
2019-11-27 16:41:37,AC9703,DAL2183,41.97426,-87.90845,,,,,,,1574872897
2019-11-27 16:41:37,AC9703,DAL2183,41.97424,-87.90845,,,,,,,1574872897
2019-11-27 16:41:43,AC9703,DAL2183,41.97419,-87.90845,,,,,,,1574872903
2019-11-27 16:41:47,AC9703,DAL2183,41.97415,-87.90841999999999,,,,,,,1574872907
2019-11-27 16:41:48,AC9703,DAL2183,41.974140000000006,-87.90841,,,,,,,1574872908
2019-11-27 16:41:48,AC9703,DAL2183,41.97412,-87.90841999999999,,,,,,,1574872908
2019-11-27 16:41:49,AC9703,DAL2183,41.97412,-87.90841,,,,,,,1574872909
2019-11-27 16:41:59,AC9703,DAL2183,41.97403,-87.90838000000001,,,,,,,1574872919
2019-11-27 16:42:00,AC9703,DAL2183,41.97403,-87.90836999999999,,,,,,,1574872920
2019-11-27 16:42:00,AC9703,DAL2183,41.97402,-87.90836999999999,,,,,,,1574872920
2019-11-27 16:42:03,AC9703,DAL2183,41.974,-87.90836999999999,,,,,,,1574872923
2019-11-27 16:42:09,AC9703,DAL2183,41.97395,-87.90834,,,,,,,1574872929
2019-11-27 16:42:10,AC9703,DAL2183,41.97394,-87.90834,,,,,,,1574872930
2019-11-27 16:42:32,AC9703,DAL2183,41.97379,-87.90827,,,,,,,1574872952
2019-11-27 16:44:32,AC9703,DAL2183,41.97379,-87.90827,,,,,,,1574873072
2019-11-27 16:44:43,AC9703,DAL2183,,,,,,,,,1574873083
2019-11-27 16:44:53,AC9703,DAL2183,,,,,,,,,1574873093
2019-11-27 16:46:31,AC9703,DAL2183,41.97383,-87.90841999999999,,,,,,,1574873191
2019-11-27 16:47:09,AC9703,DAL2183,41.97383,-87.90841,,,,,,,1574873229
2019-11-27 16:49:57,AC9703,DAL2183,,,,,,,,,1574873397
2019-11-27 16:50:24,AC9703,DAL2183,41.97383,-87.90841999999999,,,,,,,1574873424
2019-11-27 16:51:39,AC9703,DAL2183,41.97383,-87.90841999999999,,,,,,,1574873499
2019-11-27 16:52:07,AC9703,DAL2183,,,,,,,,,1574873527
2019-11-27 16:52:09,AC9703,DAL2183,41.97383,-87.90841999999999,,,,,,,1574873529
2019-11-27 16:52:24,AC9703,DAL2183,41.97383,-87.90841999999999,,,,,,,1574873544
2019-11-27 16:52:29,AC9703,DAL2183,41.97383,-87.90841,,,,,,,1574873549
2019-11-27 16:52:55,AC9703,DAL2183,41.97383,-87.90841999999999,,,,,,,1574873575
2019-11-27 16:53:07,AC9703,DAL2183,,,,,,,,,1574873587
2019-11-27 16:53:10,AC9703,DAL2183,41.97383,-87.90841,,,,,,,1574873590
2019-11-27 16:53:45,AC9703,DAL2183,41.97383,-87.90841,,,,,,,1574873625
2019-11-27 16:54:06,AC9703,DAL2183,41.97381,-87.90849,,,,,,,1574873646
2019-11-27 16:54:07,AC9703,DAL2183,41.97382,-87.90850999999999,,,,,,,1574873647
2019-11-27 16:54:07,AC9703,DAL2183,,,,,,,,,1574873647
2019-11-27 16:54:09,AC9703,DAL2183,41.97382,-87.90854,,,,,,,1574873649
2019-11-27 16:54:11,AC9703,DAL2183,41.9738,-87.90856,,,,,,,1574873651
2019-11-27 16:54:13,AC9703,DAL2183,41.97379,-87.9086,,,,,,,1574873653
2019-11-27 16:54:16,AC9703,DAL2183,41.97378,-87.90864,,,,,,,1574873656
2019-11-27 16:54:18,AC9703,DAL2183,41.97376,-87.90869,,,,,,,1574873658
2019-11-27 16:54:18,AC9703,DAL2183,41.97376,-87.90869,,,,,,,1574873658
2019-11-27 16:54:19,AC9703,DAL2183,41.97376,-87.9087,,,,,,,1574873659
2019-11-27 16:54:19,AC9703,DAL2183,41.97376,-87.90872,,,,,,,1574873659
2019-11-27 16:54:20,AC9703,DAL2183,41.97376,-87.90872,,,,,,,1574873660
2019-11-27 16:54:20,AC9703,DAL2183,41.97374,-87.90873,,,,,,,1574873660
2019-11-27 16:54:22,AC9703,DAL2183,41.973729999999996,-87.90878000000001,,,,,,,1574873662
2019-11-27 16:54:23,AC9703,DAL2183,41.97372,-87.90881,,,,,,,1574873663
2019-11-27 16:54:23,AC9703,DAL2183,41.97372,-87.90881,,,,,,,1574873663
2019-11-27 16:54:24,AC9703,DAL2183,41.97371,-87.90883000000001,,,,,,,1574873664
2019-11-27 16:54:25,AC9703,DAL2183,41.9737,-87.90886,,,,,,,1574873665
2019-11-27 16:54:26,AC9703,DAL2183,41.97368,-87.9089,,,,,,,1574873666
2019-11-27 16:54:27,AC9703,DAL2183,41.97368,-87.90890999999999,,,,,,,1574873667
2019-11-27 16:54:28,AC9703,DAL2183,41.973659999999995,-87.90895,,,,,,,1574873668
2019-11-27 16:54:29,AC9703,DAL2183,41.97365,-87.90896,,,,,,,1574873669
2019-11-27 16:54:29,AC9703,DAL2183,41.97364,-87.90897,,,,,,,1574873669
2019-11-27 16:54:30,AC9703,DAL2183,41.97363,-87.90898,,,,,,,1574873670
2019-11-27 16:54:30,AC9703,DAL2183,41.973620000000004,-87.90899,,,,,,,1574873670
2019-11-27 16:54:31,AC9703,DAL2183,41.97361,-87.90902,,,,,,,1574873671
2019-11-27 16:54:31,AC9703,DAL2183,41.9736,-87.90904,,,,,,,1574873671
2019-11-27 16:54:33,AC9703,DAL2183,,,,,,,,,1574873673
2019-11-27 16:54:33,AC9703,DAL2183,41.97357,-87.90908,,,,,,,1574873673
2019-11-27 16:54:34,AC9703,DAL2183,41.97354,-87.90913,,,,,,,1574873674
