received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:37,ACA594,,41.61937,-87.86285,10650.0,,,,,,1574871577
2019-11-27 16:19:43,ACA594,,,,,,309.0,183.15,1088.0,GS,1574871583
2019-11-27 16:19:44,ACA594,,41.60927,-87.86354,10850.0,,,,,,1574871584
2019-11-27 16:19:45,ACA594,,41.60783,-87.86366,10875.0,,,,,,1574871585
2019-11-27 16:19:46,ACA594,,,,,,314.0,183.1,896.0,GS,1574871586
2019-11-27 16:19:53,ACA594,,,,,,324.0,183.36,1024.0,GS,1574871593
2019-11-27 16:19:56,ACA594,,41.591029999999996,-87.86491,11050.0,,,,,,1574871596
2019-11-27 16:19:56,ACA594,,,,,,329.0,183.31,1024.0,GS,1574871596
2019-11-27 16:20:14,ACA594,,41.56244,-87.86699,11375.0,,,,,,1574871614
2019-11-27 16:20:15,ACA594,,41.56064,-87.86715,11400.0,,,,,,1574871615
2019-11-27 16:20:16,ACA594,,,,,,356.0,183.06,2368.0,GS,1574871616
2019-11-27 16:20:18,ACA594,,41.555690000000006,-87.8675,11525.0,,,,,,1574871618
2019-11-27 16:20:18,ACA594,,,,,,357.0,182.89,2624.0,GS,1574871618
2019-11-27 16:20:19,ACA594,,41.55423,-87.86759,11575.0,,,,,,1574871619
2019-11-27 16:20:19,ACA594,,,,,,357.0,182.89,2752.0,GS,1574871619
2019-11-27 16:20:21,ACA594,,,,,,358.0,182.88,2816.0,GS,1574871621
2019-11-27 16:20:29,ACA594,,,,,,,,,,1574871629
2019-11-27 16:20:30,ACA594,AAL1965,41.535920000000004,-87.86878,12075.0,,,,,,1574871630
2019-11-27 16:20:30,ACA594,AAL1965,41.53523,-87.86878,12100.0,,,,,,1574871630
2019-11-27 16:20:32,ACA594,AAL1965,,,,,362.0,182.85,2752.0,GS,1574871632
2019-11-27 16:20:35,ACA594,AAL1965,,,,,363.0,182.84,2688.0,GS,1574871635
2019-11-27 16:20:40,ACA594,AAL1965,41.51878,-87.86986999999999,12550.0,,,,,,1574871640
2019-11-27 16:20:40,ACA594,AAL1965,,,,,365.0,182.67,2688.0,GS,1574871640
2019-11-27 16:21:49,ACA594,AAL1965,41.39864,-87.8782,15925.0,,,,,,1574871709
