received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:29,ACD135,,41.98389,-87.90333000000001,,,,,,,1574871569
2019-11-27 16:19:30,ACD135,,41.98388,-87.90366,,,,,,,1574871570
2019-11-27 16:19:31,ACD135,,41.98388,-87.90409,,,,,,,1574871571
2019-11-27 16:19:32,ACD135,,41.98389,-87.90426,,,,,,,1574871572
2019-11-27 16:19:33,ACD135,,41.98389,-87.90460999999999,,,,,,,1574871573
2019-11-27 16:19:34,ACD135,,41.98389,-87.90494,,,,,,,1574871574
2019-11-27 16:19:37,ACD135,,41.98388,-87.90587,,,,,,,1574871577
2019-11-27 16:19:38,ACD135,,41.98387,-87.90618,,,,,,,1574871578
2019-11-27 16:19:45,ACD135,,41.98359,-87.90809,,,,,,,1574871585
2019-11-27 16:19:53,ACD135,,41.98294,-87.90974,,,,,,,1574871593
2019-11-27 16:19:56,ACD135,,41.98275,-87.91014,,,,,,,1574871596
2019-11-27 16:19:56,ACD135,,41.98272,-87.91023,,,,,,,1574871596
2019-11-27 16:19:57,ACD135,,41.98267,-87.91031,,,,,,,1574871597
2019-11-27 16:19:57,ACD135,,41.98264,-87.9104,,,,,,,1574871597
2019-11-27 16:20:14,ACD135,,41.98082,-87.91271,,,,,,,1574871614
2019-11-27 16:20:21,ACD135,,41.97999,-87.9133,,,,,,,1574871621
2019-11-27 16:20:22,ACD135,,41.979890000000005,-87.91336,,,,,,,1574871622
2019-11-27 16:20:27,ACD135,,41.97935,-87.91369,,,,,,,1574871627
2019-11-27 16:20:27,ACD135,,41.97931,-87.91372,,,,,,,1574871627
2019-11-27 16:20:32,ACD135,,41.97874,-87.91389000000001,,,,,,,1574871632
2019-11-27 16:20:35,ACD135,,41.978390000000005,-87.91394,,,,,,,1574871635
2019-11-27 16:20:40,ACD135,,41.977740000000004,-87.91389000000001,,,,,,,1574871640
2019-11-27 16:21:28,ACD135,,41.974309999999996,-87.91116,,,,,,,1574871688
2019-11-27 16:21:32,ACD135,,41.9742,-87.91103000000001,,,,,,,1574871692
2019-11-27 16:21:32,ACD135,,,,,,,,,,1574871692
2019-11-27 16:21:32,ACD135,SKW5098,41.97418,-87.91101,,,,,,,1574871692
2019-11-27 16:21:36,ACD135,SKW5098,41.974070000000005,-87.9109,,,,,,,1574871696
2019-11-27 16:21:37,ACD135,SKW5098,41.974070000000005,-87.91089000000001,,,,,,,1574871697
2019-11-27 16:21:43,ACD135,SKW5098,41.97398,-87.91078,,,,,,,1574871703
2019-11-27 16:21:48,ACD135,SKW5098,41.973859999999995,-87.91067,,,,,,,1574871708
2019-11-27 16:21:57,ACD135,SKW5098,,,,,,,,,1574871717
2019-11-27 16:21:59,ACD135,SKW5098,41.97348,-87.91023,,,,,,,1574871719
2019-11-27 16:22:00,ACD135,SKW5098,41.973440000000004,-87.91018000000001,,,,,,,1574871720
2019-11-27 16:22:01,ACD135,SKW5098,41.97339,-87.91011999999999,,,,,,,1574871721
2019-11-27 16:22:05,ACD135,SKW5098,41.97319,-87.90987,,,,,,,1574871725
2019-11-27 16:22:07,ACD135,SKW5098,41.97303,-87.90966,,,,,,,1574871727
2019-11-27 16:22:10,ACD135,SKW5098,41.97289,-87.90949,,,,,,,1574871730
2019-11-27 16:22:10,ACD135,SKW5098,41.97285,-87.90945,,,,,,,1574871730
2019-11-27 16:22:11,ACD135,SKW5098,41.9728,-87.90937,,,,,,,1574871731
2019-11-27 16:22:12,ACD135,SKW5098,41.97276,-87.90932,,,,,,,1574871732
2019-11-27 16:22:12,ACD135,SKW5098,41.97273,-87.90926999999999,,,,,,,1574871732
2019-11-27 16:22:17,ACD135,SKW5098,41.97244,-87.90888000000001,,,,,,,1574871737
2019-11-27 16:22:20,ACD135,SKW5098,41.97227,-87.90862,,,,,,,1574871740
2019-11-27 16:22:23,ACD135,SKW5098,41.97206,-87.90829000000001,,,,,,,1574871743
2019-11-27 16:22:24,ACD135,SKW5098,41.97198,-87.90817,,,,,,,1574871744
2019-11-27 16:22:27,ACD135,SKW5098,41.97184,-87.90786,,,,,,,1574871747
2019-11-27 16:22:29,ACD135,SKW5098,41.97177,-87.90768,,,,,,,1574871749
2019-11-27 16:22:29,ACD135,SKW5098,41.971740000000004,-87.90762,,,,,,,1574871749
