received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:18,ACE400,,41.69778,-87.55798,5400.0,,,,,,1574871558
2019-11-27 16:19:23,ACE400,,,,,,308.0,96.14,1344.0,GS,1574871563
2019-11-27 16:19:26,ACE400,,,,,,309.0,95.38,192.0,GS,1574871566
2019-11-27 16:19:26,ACE400,,41.69665,-87.54411,5500.0,,,,,,1574871566
2019-11-27 16:19:27,ACE400,,,,,,309.0,95.19,-192.0,GS,1574871567
2019-11-27 16:19:27,ACE400,,41.6965,-87.542,5500.0,,,,,,1574871567
2019-11-27 16:19:27,ACE400,,41.696459999999995,-87.54125,5500.0,,,,,,1574871567
2019-11-27 16:19:29,ACE400,,41.69627,-87.53819,5475.0,,,,,,1574871569
2019-11-27 16:19:30,ACE400,,,,,,312.0,94.22,-576.0,GS,1574871570
2019-11-27 16:19:30,ACE400,,41.696090000000005,-87.53529,5475.0,,,,,,1574871570
2019-11-27 16:19:31,ACE400,,,,,,312.0,93.85,-576.0,GS,1574871571
2019-11-27 16:19:32,ACE400,,,,,,313.0,93.29,-576.0,GS,1574871572
2019-11-27 16:19:37,ACE400,,,,,,,,,,1574871577
2019-11-27 16:19:37,ACE400,LAK395,41.695679999999996,-87.52214000000001,5450.0,,,,,,1574871577
2019-11-27 16:19:38,ACE400,LAK395,,,,,315.0,91.27,-256.0,GS,1574871578
2019-11-27 16:19:40,ACE400,LAK395,,,,,316.0,90.54,-512.0,GS,1574871580
2019-11-27 16:19:43,ACE400,LAK395,,,,,318.0,88.92,64.0,GS,1574871583
2019-11-27 16:19:45,ACE400,LAK395,41.69572,-87.50704,5450.0,,,,,,1574871585
2019-11-27 16:19:47,ACE400,LAK395,,,,,318.0,87.48,768.0,GS,1574871587
2019-11-27 16:19:52,ACE400,LAK395,41.69618,-87.49368,5450.0,,,,,,1574871592
2019-11-27 16:19:53,ACE400,LAK395,41.696329999999996,-87.49154,5450.0,,,,,,1574871593
2019-11-27 16:20:07,ACE400,LAK395,,,,,,,,,1574871607
2019-11-27 16:20:07,ACE400,LAK395,41.69875,-87.46341,5550.0,,,,,,1574871607
2019-11-27 16:20:08,ACE400,LAK395,,,,,309.0,80.9,1920.0,GS,1574871608
2019-11-27 16:20:15,ACE400,LAK395,,,,,307.0,79.31,2048.0,GS,1574871615
2019-11-27 16:20:27,ACE400,LAK395,,,,,,,,,1574871627
2019-11-27 16:20:28,ACE400,LAK395,41.70443,-87.42511,6300.0,,,,,,1574871628
2019-11-27 16:20:28,ACE400,LAK395,,,,,309.0,76.91,2176.0,GS,1574871628
2019-11-27 16:20:29,ACE400,LAK395,,,,,309.0,76.55,2112.0,GS,1574871629
2019-11-27 16:20:31,ACE400,LAK395,41.70543,-87.41934,6400.0,,,,,,1574871631
2019-11-27 16:20:34,ACE400,LAK395,,,,,314.0,75.83,2048.0,GS,1574871634
2019-11-27 16:20:35,ACE400,LAK395,41.70708,-87.41072,6575.0,,,,,,1574871635
2019-11-27 16:20:36,ACE400,LAK395,,,,,317.0,75.39,2176.0,GS,1574871636
2019-11-27 16:20:36,ACE400,LAK395,41.70745,-87.40863,6625.0,,,,,,1574871636
2019-11-27 16:20:37,ACE400,LAK395,41.70767,-87.40765999999999,6650.0,,,,,,1574871637
2019-11-27 16:20:39,ACE400,LAK395,41.70854,-87.40311,6725.0,,,,,,1574871639
2019-11-27 16:20:40,ACE400,LAK395,41.70882,-87.40191999999999,6750.0,,,,,,1574871640
2019-11-27 16:20:40,ACE400,LAK395,,,,,320.0,75.01,2496.0,GS,1574871640
2019-11-27 16:20:41,ACE400,LAK395,,,,,322.0,74.89,2304.0,GS,1574871641
2019-11-27 16:20:42,ACE400,LAK395,41.70969,-87.39752,6850.0,,,,,,1574871642
2019-11-27 16:20:45,ACE400,LAK395,41.71094,-87.39132,6975.0,,,,,,1574871645
2019-11-27 16:20:46,ACE400,LAK395,,,,,324.0,74.47,2560.0,GS,1574871646
2019-11-27 16:20:51,ACE400,LAK395,41.71321,-87.3807,7225.0,,,,,,1574871651
2019-11-27 16:21:02,ACE400,LAK395,,,,,331.0,74.96,3072.0,GS,1574871662
