received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:21:01,AD64CD,,41.97521,-87.89577,,,,,,,1574871661
2019-11-27 16:21:13,AD64CD,,41.97504,-87.89527,,,,,,,1574871673
2019-11-27 16:25:23,AD64CD,,,,,,,,,,1574871923
2019-11-27 16:25:23,AD64CD,AAL1442,41.97429,-87.89531,,,,,,,1574871923
2019-11-27 16:25:43,AD64CD,AAL1442,,,,,,,,,1574871943
2019-11-27 16:25:49,AD64CD,AAL1442,41.97337,-87.89596999999999,,,,,,,1574871949
2019-11-27 16:26:13,AD64CD,AAL1442,41.9727,-87.89738,,,,,,,1574871973
2019-11-27 16:26:16,AD64CD,AAL1442,41.972609999999996,-87.89757,,,,,,,1574871976
2019-11-27 16:26:29,AD64CD,AAL1442,41.97235,-87.89824,,,,,,,1574871989
2019-11-27 16:27:02,AD64CD,AAL1442,41.97207,-87.90016999999999,,,,,,,1574872022
2019-11-27 16:27:12,AD64CD,AAL1442,41.97206,-87.9011,,,,,,,1574872032
2019-11-27 16:27:14,AD64CD,AAL1442,41.97207,-87.90123,,,,,,,1574872034
2019-11-27 16:27:16,AD64CD,AAL1442,41.97206,-87.90138,,,,,,,1574872036
2019-11-27 16:27:18,AD64CD,AAL1442,41.97207,-87.90155,,,,,,,1574872038
2019-11-27 16:27:31,AD64CD,AAL1442,41.97206,-87.90259,,,,,,,1574872051
2019-11-27 16:27:46,AD64CD,AAL1442,41.97207,-87.90369,,,,,,,1574872066
2019-11-27 16:27:58,AD64CD,AAL1442,,,,,,,,,1574872078
2019-11-27 16:28:07,AD64CD,AAL1442,41.97213,-87.90496,,,,,,,1574872087
2019-11-27 16:28:20,AD64CD,AAL1442,41.97217,-87.90587,,,,,,,1574872100
2019-11-27 16:28:29,AD64CD,AAL1442,41.97222,-87.90651,,,,,,,1574872109
2019-11-27 16:28:33,AD64CD,AAL1442,41.97226,-87.90679,,,,,,,1574872113
2019-11-27 16:28:33,AD64CD,AAL1442,,,,,,,,,1574872113
2019-11-27 16:28:34,AD64CD,AAL1442,41.97227,-87.90686,,,,,,,1574872114
2019-11-27 16:28:38,AD64CD,AAL1442,41.97234,-87.90711999999999,,,,,,,1574872118
2019-11-27 16:28:39,AD64CD,AAL1442,41.97237,-87.90723,,,,,,,1574872119
2019-11-27 16:28:40,AD64CD,AAL1442,41.972390000000004,-87.90728,,,,,,,1574872120
2019-11-27 16:28:40,AD64CD,AAL1442,41.972390000000004,-87.9073,,,,,,,1574872120
2019-11-27 16:28:41,AD64CD,AAL1442,41.97242,-87.90734,,,,,,,1574872121
2019-11-27 16:28:43,AD64CD,AAL1442,,,,,,,,,1574872123
2019-11-27 16:28:43,AD64CD,AAL1442,41.97248,-87.90749,,,,,,,1574872123
2019-11-27 16:28:44,AD64CD,AAL1442,41.97251,-87.90755,,,,,,,1574872124
2019-11-27 16:28:46,AD64CD,AAL1442,41.972570000000005,-87.90767,,,,,,,1574872126
2019-11-27 16:28:57,AD64CD,AAL1442,41.97292,-87.90821,,,,,,,1574872137
2019-11-27 16:29:00,AD64CD,AAL1442,41.973040000000005,-87.90836999999999,,,,,,,1574872140
2019-11-27 16:29:03,AD64CD,AAL1442,41.97312,-87.90848000000001,,,,,,,1574872143
2019-11-27 16:29:07,AD64CD,AAL1442,41.973240000000004,-87.90865,,,,,,,1574872147
