received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:20,AD6EC6,,41.973290000000006,-87.90948,,,,,,,1574871560
2019-11-27 16:19:21,AD6EC6,,41.97327,-87.90949,,,,,,,1574871561
2019-11-27 16:19:21,AD6EC6,,41.97325,-87.90952,,,,,,,1574871561
2019-11-27 16:19:21,AD6EC6,,,,,,,,,,1574871561
2019-11-27 16:19:22,AD6EC6,AAL1119,41.973240000000004,-87.90954,,,,,,,1574871562
2019-11-27 16:19:23,AD6EC6,AAL1119,41.97322,-87.90959000000001,,,,,,,1574871563
2019-11-27 16:19:24,AD6EC6,AAL1119,41.97318,-87.90965,,,,,,,1574871564
2019-11-27 16:19:32,AD6EC6,AAL1119,41.973,-87.90993,,,,,,,1574871572
2019-11-27 16:19:33,AD6EC6,AAL1119,41.97298,-87.90998,,,,,,,1574871573
2019-11-27 16:19:34,AD6EC6,AAL1119,41.97296,-87.91001,,,,,,,1574871574
2019-11-27 16:19:35,AD6EC6,AAL1119,41.97293,-87.91004000000001,,,,,,,1574871575
2019-11-27 16:19:36,AD6EC6,AAL1119,41.97289,-87.91011,,,,,,,1574871576
2019-11-27 16:19:37,AD6EC6,AAL1119,41.97287,-87.91015,,,,,,,1574871577
2019-11-27 16:19:39,AD6EC6,AAL1119,41.972809999999996,-87.91023,,,,,,,1574871579
2019-11-27 16:19:42,AD6EC6,AAL1119,41.97274,-87.91033,,,,,,,1574871582
2019-11-27 16:19:43,AD6EC6,AAL1119,41.97271,-87.91038,,,,,,,1574871583
2019-11-27 16:19:43,AD6EC6,AAL1119,41.9727,-87.91039,,,,,,,1574871583
2019-11-27 16:19:44,AD6EC6,AAL1119,41.97266,-87.91041,,,,,,,1574871584
2019-11-27 16:19:45,AD6EC6,AAL1119,41.97265,-87.91044000000001,,,,,,,1574871585
2019-11-27 16:19:48,AD6EC6,AAL1119,41.9725,-87.91051,,,,,,,1574871588
2019-11-27 16:19:49,AD6EC6,AAL1119,41.97245,-87.91051999999999,,,,,,,1574871589
2019-11-27 16:19:50,AD6EC6,AAL1119,41.97242,-87.91051999999999,,,,,,,1574871590
2019-11-27 16:19:51,AD6EC6,AAL1119,41.9724,-87.91051999999999,,,,,,,1574871591
2019-11-27 16:19:52,AD6EC6,AAL1119,41.97235,-87.91051,,,,,,,1574871592
2019-11-27 16:19:55,AD6EC6,AAL1119,41.97224,-87.91046,,,,,,,1574871595
2019-11-27 16:19:56,AD6EC6,AAL1119,,,,,,,,,1574871596
2019-11-27 16:19:57,AD6EC6,AAL1119,41.97218,-87.91041,,,,,,,1574871597
2019-11-27 16:19:59,AD6EC6,AAL1119,41.97214,-87.91036,,,,,,,1574871599
2019-11-27 16:20:02,AD6EC6,AAL1119,41.97204,-87.91026,,,,,,,1574871602
2019-11-27 16:20:03,AD6EC6,AAL1119,41.97202,-87.91024,,,,,,,1574871603
2019-11-27 16:20:07,AD6EC6,AAL1119,41.9719,-87.91011,,,,,,,1574871607
2019-11-27 16:21:58,AD6EC6,AAL1119,41.97152,-87.90968000000001,,,,,,,1574871718
2019-11-27 16:22:01,AD6EC6,AAL1119,41.97145,-87.90959000000001,,,,,,,1574871721
2019-11-27 16:22:02,AD6EC6,AAL1119,41.97144,-87.90957,,,,,,,1574871722
2019-11-27 16:22:11,AD6EC6,AAL1119,41.97116,-87.90926999999999,,,,,,,1574871731
2019-11-27 16:22:11,AD6EC6,AAL1119,41.971140000000005,-87.90924,,,,,,,1574871731
2019-11-27 16:22:12,AD6EC6,AAL1119,41.97113,-87.90923000000001,,,,,,,1574871732
2019-11-27 16:22:13,AD6EC6,AAL1119,41.971059999999994,-87.90916,,,,,,,1574871733
2019-11-27 16:22:20,AD6EC6,AAL1119,41.97079,-87.90886,,,,,,,1574871740
2019-11-27 16:22:22,AD6EC6,AAL1119,41.970729999999996,-87.90879,,,,,,,1574871742
2019-11-27 16:22:24,AD6EC6,AAL1119,41.97065,-87.90867,,,,,,,1574871744
2019-11-27 16:22:28,AD6EC6,AAL1119,,,,,,,,,1574871748
2019-11-27 16:22:29,AD6EC6,AAL1119,41.970490000000005,-87.90833,,,,,,,1574871749
2019-11-27 16:22:35,AD6EC6,AAL1119,41.97043,-87.90799999999999,,,,,,,1574871755
2019-11-27 16:22:36,AD6EC6,AAL1119,41.97043,-87.90798000000001,,,,,,,1574871756
2019-11-27 16:22:37,AD6EC6,AAL1119,41.97043,-87.9079,,,,,,,1574871757
2019-11-27 16:22:38,AD6EC6,AAL1119,41.97043,-87.90784000000001,,,,,,,1574871758
2019-11-27 16:22:38,AD6EC6,AAL1119,,,,,,,,,1574871758
2019-11-27 16:22:39,AD6EC6,AAL1119,41.97043,-87.90782,,,,,,,1574871759
