received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:20,AD84DE,,41.972159999999995,-87.91039,,,,,,,1574871560
2019-11-27 16:19:22,AD84DE,,,,,,,,,,1574871562
2019-11-27 16:19:24,AD84DE,AAL2947,41.97203,-87.91025,,,,,,,1574871564
2019-11-27 16:19:28,AD84DE,AAL2947,41.97188,-87.9101,,,,,,,1574871568
2019-11-27 16:19:56,AD84DE,AAL2947,41.97129,-87.90942,,,,,,,1574871596
2019-11-27 16:20:00,AD84DE,AAL2947,41.97126,-87.9094,,,,,,,1574871600
2019-11-27 16:20:09,AD84DE,AAL2947,41.97126,-87.9094,,,,,,,1574871609
2019-11-27 16:20:11,AD84DE,AAL2947,41.97125,-87.9094,,,,,,,1574871611
2019-11-27 16:20:14,AD84DE,AAL2947,41.97125,-87.90939,,,,,,,1574871614
2019-11-27 16:20:16,AD84DE,AAL2947,41.97124,-87.90938,,,,,,,1574871616
2019-11-27 16:20:19,AD84DE,AAL2947,41.97124,-87.90937,,,,,,,1574871619
2019-11-27 16:20:20,AD84DE,AAL2947,41.97123,-87.90937,,,,,,,1574871620
2019-11-27 16:20:21,AD84DE,AAL2947,41.97123,-87.90937,,,,,,,1574871621
2019-11-27 16:20:24,AD84DE,AAL2947,41.97123,-87.90937,,,,,,,1574871624
2019-11-27 16:20:26,AD84DE,AAL2947,41.97123,-87.90937,,,,,,,1574871626
2019-11-27 16:20:27,AD84DE,AAL2947,,,,,,,,,1574871627
2019-11-27 16:20:30,AD84DE,AAL2947,41.97123,-87.90937,,,,,,,1574871630
2019-11-27 16:20:31,AD84DE,AAL2947,41.97123,-87.90937,,,,,,,1574871631
2019-11-27 16:20:31,AD84DE,AAL2947,41.97123,-87.90937,,,,,,,1574871631
2019-11-27 16:20:43,AD84DE,AAL2947,41.97122,-87.90935,,,,,,,1574871643
2019-11-27 16:20:49,AD84DE,AAL2947,41.97122,-87.90935999999999,,,,,,,1574871649
2019-11-27 16:20:52,AD84DE,AAL2947,,,,,,,,,1574871652
2019-11-27 16:20:54,AD84DE,AAL2947,41.97122,-87.90935,,,,,,,1574871654
2019-11-27 16:20:59,AD84DE,AAL2947,41.97122,-87.90935999999999,,,,,,,1574871659
2019-11-27 16:21:09,AD84DE,AAL2947,41.97122,-87.90934,,,,,,,1574871669
2019-11-27 16:21:12,AD84DE,AAL2947,,,,,,,,,1574871672
2019-11-27 16:21:29,AD84DE,AAL2947,,,,,,,,,1574871689
2019-11-27 16:21:31,AD84DE,AAL2947,41.9711,-87.90924,,,,,,,1574871691
2019-11-27 16:21:31,AD84DE,AAL2947,41.9711,-87.90924,,,,,,,1574871691
2019-11-27 16:21:32,AD84DE,AAL2947,41.971090000000004,-87.90923000000001,,,,,,,1574871692
2019-11-27 16:21:34,AD84DE,AAL2947,41.971070000000005,-87.9092,,,,,,,1574871694
2019-11-27 16:21:34,AD84DE,AAL2947,41.971059999999994,-87.9092,,,,,,,1574871694
2019-11-27 16:21:36,AD84DE,AAL2947,41.97102,-87.90915,,,,,,,1574871696
2019-11-27 16:21:38,AD84DE,AAL2947,41.97097,-87.90912,,,,,,,1574871698
2019-11-27 16:21:45,AD84DE,AAL2947,41.9708,-87.90894,,,,,,,1574871705
2019-11-27 16:21:46,AD84DE,AAL2947,41.97077,-87.9089,,,,,,,1574871706
2019-11-27 16:21:47,AD84DE,AAL2947,41.97076,-87.90888000000001,,,,,,,1574871707
2019-11-27 16:21:48,AD84DE,AAL2947,41.970729999999996,-87.90885,,,,,,,1574871708
2019-11-27 16:21:49,AD84DE,AAL2947,41.970690000000005,-87.9088,,,,,,,1574871709
2019-11-27 16:21:56,AD84DE,AAL2947,41.97055,-87.90854,,,,,,,1574871716
2019-11-27 16:21:56,AD84DE,AAL2947,41.97055,-87.90853,,,,,,,1574871716
2019-11-27 16:21:59,AD84DE,AAL2947,41.97051,-87.9084,,,,,,,1574871719
2019-11-27 16:21:59,AD84DE,AAL2947,41.97051,-87.90838000000001,,,,,,,1574871719
2019-11-27 16:22:02,AD84DE,AAL2947,41.97047,-87.90826,,,,,,,1574871722
2019-11-27 16:22:08,AD84DE,AAL2947,41.97043,-87.90793000000001,,,,,,,1574871728
2019-11-27 16:22:09,AD84DE,AAL2947,41.97043,-87.9079,,,,,,,1574871729
2019-11-27 16:22:10,AD84DE,AAL2947,,,,,,,,,1574871730
2019-11-27 16:22:10,AD84DE,AAL2947,41.97043,-87.90784000000001,,,,,,,1574871730
