received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:18,C00B98,,42.01762,-87.91628,5125.0,,,,,,1574871558
2019-11-27 16:19:18,C00B98,,42.01794,-87.91578,5150.0,,,,,,1574871558
2019-11-27 16:19:19,C00B98,,,,,,260.0,47.49,2048.0,GS,1574871559
2019-11-27 16:19:20,C00B98,,,,,,261.0,47.48,1920.0,GS,1574871560
2019-11-27 16:19:20,C00B98,,42.01912,-87.91413,5175.0,,,,,,1574871560
2019-11-27 16:19:22,C00B98,,,,,,263.0,47.46,1664.0,GS,1574871562
2019-11-27 16:19:23,C00B98,,,,,,265.0,47.29,1536.0,GS,1574871563
2019-11-27 16:19:24,C00B98,,42.02234,-87.90935,5300.0,,,,,,1574871564
2019-11-27 16:19:24,C00B98,,,,,,266.0,47.28,1472.0,GS,1574871564
2019-11-27 16:19:24,C00B98,,,,,,267.0,47.12,1472.0,GS,1574871564
2019-11-27 16:19:26,C00B98,,,,,,269.0,46.95,1408.0,GS,1574871566
2019-11-27 16:19:26,C00B98,,42.02449,-87.90635999999999,5350.0,,,,,,1574871566
2019-11-27 16:19:26,C00B98,,,,,,269.0,46.95,1408.0,GS,1574871566
2019-11-27 16:19:28,C00B98,,,,,,271.0,46.49,1472.0,GS,1574871568
2019-11-27 16:19:30,C00B98,,,,,,273.0,46.33,1472.0,GS,1574871570
2019-11-27 16:19:30,C00B98,,,,,,274.0,46.18,1536.0,GS,1574871570
2019-11-27 16:19:30,C00B98,,42.02811,-87.90123,5450.0,,,,,,1574871570
2019-11-27 16:19:34,C00B98,,,,,,278.0,45.58,1728.0,GS,1574871574
2019-11-27 16:19:36,C00B98,,42.0331,-87.89437,5600.0,,,,,,1574871576
2019-11-27 16:19:38,C00B98,,,,,,281.0,45.0,2176.0,GS,1574871578
2019-11-27 16:19:39,C00B98,,,,,,281.0,45.0,2176.0,GS,1574871579
2019-11-27 16:19:43,C00B98,,,,,,284.0,44.71,2432.0,GS,1574871583
2019-11-27 16:19:44,C00B98,,42.041140000000006,-87.8836,5900.0,,,,,,1574871584
2019-11-27 16:19:45,C00B98,,,,,,285.0,44.72,2432.0,GS,1574871585
2019-11-27 16:19:45,C00B98,,,,,,285.0,44.72,2432.0,GS,1574871585
2019-11-27 16:19:47,C00B98,,42.04314,-87.88098000000001,6000.0,,,,,,1574871587
2019-11-27 16:19:48,C00B98,,,,,,286.0,44.58,2432.0,GS,1574871588
2019-11-27 16:19:49,C00B98,,42.0451,-87.87836,6075.0,,,,,,1574871589
2019-11-27 16:19:49,C00B98,,,,,,287.0,44.44,2496.0,GS,1574871589
2019-11-27 16:19:58,C00B98,,42.05403,-87.86674000000001,6475.0,,,,,,1574871598
2019-11-27 16:20:01,C00B98,,42.05745,-87.86241,6625.0,,,,,,1574871601
2019-11-27 16:20:10,C00B98,,,,,,,,,,1574871610
2019-11-27 16:20:10,C00B98,SKV7610,42.065490000000004,-87.85166,7000.0,,,,,,1574871610
2019-11-27 16:20:13,C00B98,SKV7610,42.068329999999996,-87.84700000000001,7125.0,,,,,,1574871613
2019-11-27 16:20:16,C00B98,SKV7610,,,,,302.0,53.74,2688.0,GS,1574871616
2019-11-27 16:20:31,C00B98,SKV7610,,,,,314.0,58.94,2048.0,GS,1574871631
2019-11-27 16:20:35,C00B98,SKV7610,42.08578,-87.81212,7950.0,,,,,,1574871635
2019-11-27 16:20:59,C00B98,SKV7610,42.099140000000006,-87.76665,8750.0,,,,,,1574871659
2019-11-27 16:21:10,C00B98,SKV7610,42.10474,-87.74499,9200.0,,,,,,1574871670
2019-11-27 16:21:13,C00B98,SKV7610,,,,,332.0,70.86,2688.0,GS,1574871673
2019-11-27 16:21:41,C00B98,SKV7610,42.12035,-87.68488,10650.0,,,,,,1574871701
2019-11-27 16:21:42,C00B98,SKV7610,,,,,328.0,70.79,2944.0,GS,1574871702
2019-11-27 16:21:43,C00B98,SKV7610,42.12126,-87.68131,10750.0,,,,,,1574871703
2019-11-27 16:21:43,C00B98,SKV7610,,,,,327.0,70.73,2944.0,GS,1574871703
2019-11-27 16:21:52,C00B98,SKV7610,,,,,327.0,70.9,2560.0,GS,1574871712
2019-11-27 16:21:59,C00B98,SKV7610,42.12931,-87.6502,11425.0,,,,,,1574871719
2019-11-27 16:22:01,C00B98,SKV7610,,,,,330.0,70.74,1664.0,GS,1574871721
2019-11-27 16:22:06,C00B98,SKV7610,,,,,332.0,70.69,1664.0,GS,1574871726
2019-11-27 16:22:10,C00B98,SKV7610,,,,,335.0,70.86,1536.0,GS,1574871730
2019-11-27 16:22:11,C00B98,SKV7610,,,,,335.0,70.7,1536.0,GS,1574871731
2019-11-27 16:22:28,C00B98,SKV7610,42.14393,-87.59374,12225.0,,,,,,1574871748
2019-11-27 16:22:29,C00B98,SKV7610,,,,,344.0,70.83,2048.0,GS,1574871749
2019-11-27 16:22:33,C00B98,SKV7610,,,,,345.0,70.88,2176.0,GS,1574871753
2019-11-27 16:23:13,C00B98,SKV7610,,,,,354.0,81.73,1792.0,GS,1574871793
2019-11-27 16:24:33,C00B98,SKV7610,42.17386,-87.31812,16250.0,,,,,,1574871873
2019-11-27 16:24:35,C00B98,SKV7610,,,,,373.0,86.01,1856.0,GS,1574871875
2019-11-27 16:26:05,C00B98,SKV7610,42.18503,-87.10023000000001,18725.0,,,,,,1574871965
2019-11-27 16:26:11,C00B98,SKV7610,,,,,391.0,86.2,1600.0,GS,1574871971
