received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:31:53,406D7A,,,,,,437.0,210.67,64.0,GS,1574875913
2019-11-27 17:32:41,406D7A,,,,,,436.0,210.56,128.0,GS,1574875961
2019-11-27 17:32:55,406D7A,,42.19464,-87.97539,39975.0,,,,,,1574875975
2019-11-27 17:32:57,406D7A,,,,,,434.0,210.69,64.0,GS,1574875977
2019-11-27 17:33:41,406D7A,,,,,,436.0,210.74,0.0,GS,1574876021
2019-11-27 17:34:01,406D7A,,,,,,435.0,210.51,64.0,GS,1574876041
2019-11-27 17:34:14,406D7A,,,,,,,,,,1574876054
2019-11-27 17:34:32,406D7A,BAW26E,42.02669,-88.10892,40000.0,,,,,,1574876072
2019-11-27 17:34:32,406D7A,BAW26E,,,,,433.0,210.65,0.0,GS,1574876072
2019-11-27 17:34:35,406D7A,BAW26E,42.02151,-88.11304,40000.0,,,,,,1574876075
2019-11-27 17:34:54,406D7A,BAW26E,,,,,,,,,1574876094
2019-11-27 17:35:06,406D7A,BAW26E,,,,,431.0,210.49,64.0,GS,1574876106
2019-11-27 17:35:07,406D7A,BAW26E,,,,,431.0,210.49,64.0,GS,1574876107
2019-11-27 17:35:15,406D7A,BAW26E,41.95185,-88.16821999999999,39975.0,,,,,,1574876115
2019-11-27 17:35:15,406D7A,BAW26E,,,,,431.0,210.37,128.0,GS,1574876115
2019-11-27 17:35:16,406D7A,BAW26E,41.95033,-88.16946999999999,39975.0,,,,,,1574876116
2019-11-27 17:35:22,406D7A,BAW26E,41.94035,-88.17727,40000.0,,,,,,1574876122
2019-11-27 17:35:56,406D7A,BAW26E,,,,,432.0,210.42,0.0,GS,1574876156
2019-11-27 17:36:05,406D7A,BAW26E,,,,,432.0,210.6,64.0,GS,1574876165
