received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:49:13,A19ECF,,,,,,546.0,88.43,64.0,GS,1574873353
2019-11-27 16:49:21,A19ECF,,,,,,546.0,88.43,-64.0,GS,1574873361
2019-11-27 16:49:53,A19ECF,,,,,,547.0,88.53,0.0,GS,1574873393
2019-11-27 16:50:29,A19ECF,,,,,,551.0,88.65,0.0,GS,1574873429
2019-11-27 16:50:34,A19ECF,,,,,,552.0,88.65,0.0,GS,1574873434
2019-11-27 16:50:58,A19ECF,,,,,,550.0,88.65,0.0,GS,1574873458
2019-11-27 16:51:09,A19ECF,,,,,,549.0,88.75,0.0,GS,1574873469
2019-11-27 16:51:18,A19ECF,,,,,,548.0,88.75,-64.0,GS,1574873478
2019-11-27 16:51:52,A19ECF,,41.40477,-87.68111999999999,35000.0,,,,,,1574873512
2019-11-27 16:51:54,A19ECF,,41.40491,-87.67102,35000.0,,,,,,1574873514
2019-11-27 16:52:08,A19ECF,,41.40566,-87.62401,35000.0,,,,,,1574873528
2019-11-27 16:52:52,A19ECF,,,,,,556.0,88.97,0.0,GS,1574873572
2019-11-27 16:53:08,A19ECF,,41.40852,-87.42108,35000.0,,,,,,1574873588
2019-11-27 16:53:11,A19ECF,,,,,,558.0,88.97,0.0,GS,1574873591
2019-11-27 16:53:15,A19ECF,,,,,,558.0,88.97,-64.0,GS,1574873595
2019-11-27 16:53:15,A19ECF,,,,,,558.0,88.97,-64.0,GS,1574873595
2019-11-27 16:53:26,A19ECF,,,,,,558.0,89.08,64.0,GS,1574873606
2019-11-27 16:53:29,A19ECF,,,,,,,,,,1574873609
2019-11-27 16:53:33,A19ECF,SKW5875,41.409620000000004,-87.33694,35000.0,,,,,,1574873613
2019-11-27 16:53:33,A19ECF,SKW5875,,,,,557.0,88.97,-64.0,GS,1574873613
2019-11-27 16:53:42,A19ECF,SKW5875,41.40998,-87.30592,35000.0,,,,,,1574873622
2019-11-27 16:53:48,A19ECF,SKW5875,41.41026,-87.28535,35000.0,,,,,,1574873628
2019-11-27 16:54:08,A19ECF,SKW5875,,,,,555.0,89.17,-64.0,GS,1574873648
2019-11-27 16:54:10,A19ECF,SKW5875,41.41113,-87.21066,35000.0,,,,,,1574873650
2019-11-27 16:54:10,A19ECF,SKW5875,,,,,,,,,1574873650
2019-11-27 16:54:33,A19ECF,SKW5875,,,,,556.0,89.18,64.0,GS,1574873673
2019-11-27 16:56:12,A19ECF,SKW5875,41.41515,-86.79225,35000.0,,,,,,1574873772
