received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:05:33,A32437,,42.28731,-88.76155,39000.0,,,,,,1574874333
2019-11-27 17:06:40,A32437,,42.21703,-88.55792,39000.0,,,,,,1574874400
2019-11-27 17:06:51,A32437,,42.205659999999995,-88.52502,39000.0,,,,,,1574874411
2019-11-27 17:06:59,A32437,,42.197140000000005,-88.50043000000001,39000.0,,,,,,1574874419
2019-11-27 17:07:11,A32437,,,,,,538.0,114.95,0.0,GS,1574874431
2019-11-27 17:07:12,A32437,,,,,,538.0,114.95,64.0,GS,1574874432
2019-11-27 17:07:20,A32437,,42.17456,-88.43528,39000.0,,,,,,1574874440
2019-11-27 17:07:32,A32437,,42.16194,-88.39893000000001,38975.0,,,,,,1574874452
2019-11-27 17:07:33,A32437,,42.160779999999995,-88.39555,38975.0,,,,,,1574874453
2019-11-27 17:08:10,A32437,,42.121809999999996,-88.28451,38975.0,,,,,,1574874490
2019-11-27 17:08:55,A32437,,,,,,537.0,115.09,0.0,GS,1574874535
2019-11-27 17:09:02,A32437,,,,,,537.0,115.09,0.0,GS,1574874542
2019-11-27 17:09:06,A32437,,42.062529999999995,-88.11503,39000.0,,,,,,1574874546
2019-11-27 17:09:10,A32437,,42.058820000000004,-88.10448000000001,39000.0,,,,,,1574874550
2019-11-27 17:09:13,A32437,,,,,,537.0,115.23,64.0,GS,1574874553
2019-11-27 17:09:37,A32437,,42.03011,-88.02297,39000.0,,,,,,1574874577
2019-11-27 17:09:53,A32437,,,,,,538.0,115.42,0.0,GS,1574874593
2019-11-27 17:09:54,A32437,,,,,,,,,,1574874594
2019-11-27 17:10:15,A32437,DAL1579,,,,,537.0,115.33,0.0,GS,1574874615
2019-11-27 17:10:22,A32437,DAL1579,,,,,537.0,115.33,64.0,GS,1574874622
2019-11-27 17:10:27,A32437,DAL1579,41.97615,-87.87046,39000.0,,,,,,1574874627
2019-11-27 17:10:35,A32437,DAL1579,,,,,536.0,115.51,0.0,GS,1574874635
2019-11-27 17:10:37,A32437,DAL1579,,,,,535.0,115.42,0.0,GS,1574874637
2019-11-27 17:10:38,A32437,DAL1579,,,,,535.0,115.42,0.0,GS,1574874638
2019-11-27 17:10:39,A32437,DAL1579,41.96335,-87.83429,39000.0,,,,,,1574874639
2019-11-27 17:10:40,A32437,DAL1579,41.96242,-87.8317,39000.0,,,,,,1574874640
2019-11-27 17:10:41,A32437,DAL1579,,,,,536.0,115.37,0.0,GS,1574874641
2019-11-27 17:10:41,A32437,DAL1579,41.9613,-87.8286,39000.0,,,,,,1574874641
2019-11-27 17:10:43,A32437,DAL1579,41.9593,-87.82285,39000.0,,,,,,1574874643
2019-11-27 17:10:43,A32437,DAL1579,,,,,536.0,115.37,0.0,GS,1574874643
2019-11-27 17:10:44,A32437,DAL1579,41.95837,-87.82016999999999,39000.0,,,,,,1574874644
2019-11-27 17:10:47,A32437,DAL1579,41.955059999999996,-87.81085,39000.0,,,,,,1574874647
2019-11-27 17:10:48,A32437,DAL1579,,,,,536.0,115.37,-64.0,GS,1574874648
2019-11-27 17:10:48,A32437,DAL1579,41.953990000000005,-87.80784,39000.0,,,,,,1574874648
2019-11-27 17:10:50,A32437,DAL1579,41.95167,-87.80127,39000.0,,,,,,1574874650
2019-11-27 17:10:53,A32437,DAL1579,41.94845,-87.79226,39000.0,,,,,,1574874653
2019-11-27 17:10:55,A32437,DAL1579,41.9464,-87.78638000000001,39000.0,,,,,,1574874655
2019-11-27 17:11:01,A32437,DAL1579,,,,,535.0,115.42,64.0,GS,1574874661
2019-11-27 17:11:02,A32437,DAL1579,,,,,535.0,115.42,64.0,GS,1574874662
2019-11-27 17:11:05,A32437,DAL1579,41.93593,-87.75686999999999,39025.0,,,,,,1574874665
2019-11-27 17:11:09,A32437,DAL1579,41.93156,-87.74455,39025.0,,,,,,1574874669
2019-11-27 17:11:10,A32437,DAL1579,,,,,536.0,115.51,0.0,GS,1574874670
2019-11-27 17:11:10,A32437,DAL1579,41.93035,-87.74129,39025.0,,,,,,1574874670
2019-11-27 17:11:15,A32437,DAL1579,41.92597,-87.72896,39025.0,,,,,,1574874675
2019-11-27 17:11:19,A32437,DAL1579,41.92131,-87.7159,39000.0,,,,,,1574874679
2019-11-27 17:11:22,A32437,DAL1579,,,,,537.0,115.56,-64.0,GS,1574874682
2019-11-27 17:11:24,A32437,DAL1579,,,,,537.0,115.71,-64.0,GS,1574874684
2019-11-27 17:11:29,A32437,DAL1579,41.91028,-87.68521,39000.0,,,,,,1574874689
2019-11-27 17:11:30,A32437,DAL1579,,,,,537.0,115.71,-64.0,GS,1574874690
2019-11-27 17:11:31,A32437,DAL1579,,,,,537.0,115.71,0.0,GS,1574874691
2019-11-27 17:11:32,A32437,DAL1579,41.907070000000004,-87.6762,39000.0,,,,,,1574874692
2019-11-27 17:11:33,A32437,DAL1579,41.90609,-87.67352,39000.0,,,,,,1574874693
2019-11-27 17:11:38,A32437,DAL1579,,,,,537.0,115.56,0.0,GS,1574874698
2019-11-27 17:11:42,A32437,DAL1579,,,,,537.0,115.56,64.0,GS,1574874702
2019-11-27 17:11:44,A32437,DAL1579,,,,,537.0,115.56,64.0,GS,1574874704
2019-11-27 17:11:47,A32437,DAL1579,41.891059999999996,-87.63149,39025.0,,,,,,1574874707
2019-11-27 17:11:48,A32437,DAL1579,41.89005,-87.62864,39000.0,,,,,,1574874708
2019-11-27 17:11:50,A32437,DAL1579,,,,,537.0,115.47,0.0,GS,1574874710
2019-11-27 17:11:50,A32437,DAL1579,41.887890000000006,-87.62248000000001,39000.0,,,,,,1574874710
2019-11-27 17:11:55,A32437,DAL1579,41.882540000000006,-87.60746999999999,39000.0,,,,,,1574874715
2019-11-27 17:12:00,A32437,DAL1579,41.87723,-87.59262,39000.0,,,,,,1574874720
2019-11-27 17:12:00,A32437,DAL1579,,,,,537.0,115.56,0.0,GS,1574874720
2019-11-27 17:12:01,A32437,DAL1579,,,,,537.0,115.56,0.0,GS,1574874721
2019-11-27 17:12:04,A32437,DAL1579,41.87251,-87.57945,39000.0,,,,,,1574874724
2019-11-27 17:12:07,A32437,DAL1579,41.86932,-87.57061999999999,39000.0,,,,,,1574874727
2019-11-27 17:12:08,A32437,DAL1579,,,,,537.0,115.71,0.0,GS,1574874728
2019-11-27 17:12:15,A32437,DAL1579,41.8613,-87.5483,39000.0,,,,,,1574874735
2019-11-27 17:12:22,A32437,DAL1579,,,,,537.0,115.71,0.0,GS,1574874742
