received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:37:15,A339B4,,41.41113,-88.75917,31025.0,,,,,,1574872635
2019-11-27 16:38:05,A339B4,,41.460770000000004,-88.59854,31050.0,,,,,,1574872685
2019-11-27 16:38:58,A339B4,,41.51102,-88.43489,31025.0,,,,,,1574872738
2019-11-27 16:39:16,A339B4,,41.52942,-88.37864,31025.0,,,,,,1574872756
2019-11-27 16:39:25,A339B4,,,,,,546.0,63.62,0.0,GS,1574872765
2019-11-27 16:40:57,A339B4,,,,,,524.0,55.89,0.0,GS,1574872857
2019-11-27 16:40:57,A339B4,,41.661390000000004,-88.09406,31000.0,,,,,,1574872857
2019-11-27 16:40:58,A339B4,,41.66267,-88.09151,31025.0,,,,,,1574872858
2019-11-27 16:40:59,A339B4,,,,,,524.0,55.89,0.0,GS,1574872859
2019-11-27 16:41:14,A339B4,,,,,,521.0,55.94,0.0,GS,1574872874
2019-11-27 16:41:14,A339B4,,41.68423,-88.04893,31025.0,,,,,,1574872874
2019-11-27 16:41:22,A339B4,,,,,,520.0,55.97,-64.0,GS,1574872882
2019-11-27 16:41:23,A339B4,,,,,,,,,,1574872883
2019-11-27 16:41:26,A339B4,DAL1453,,,,,520.0,55.97,-64.0,GS,1574872886
2019-11-27 16:41:43,A339B4,DAL1453,,,,,,,,,1574872903
2019-11-27 16:42:00,A339B4,DAL1453,,,,,516.0,55.88,-64.0,GS,1574872920
2019-11-27 16:42:03,A339B4,DAL1453,41.7494,-87.92045,30975.0,,,,,,1574872923
2019-11-27 16:42:04,A339B4,DAL1453,,,,,516.0,55.88,-64.0,GS,1574872924
2019-11-27 16:42:10,A339B4,DAL1453,,,,,516.0,55.88,0.0,GS,1574872930
2019-11-27 16:42:14,A339B4,DAL1453,41.76439,-87.89088000000001,30975.0,,,,,,1574872934
2019-11-27 16:42:14,A339B4,DAL1453,,,,,,,,,1574872934
2019-11-27 16:42:16,A339B4,DAL1453,41.76686,-87.88601,30975.0,,,,,,1574872936
2019-11-27 16:42:19,A339B4,DAL1453,,,,,516.0,55.97,0.0,GS,1574872939
2019-11-27 16:42:22,A339B4,DAL1453,41.77528,-87.86934000000001,30975.0,,,,,,1574872942
2019-11-27 16:42:23,A339B4,DAL1453,,,,,516.0,55.97,-64.0,GS,1574872943
2019-11-27 16:42:25,A339B4,DAL1453,,,,,516.0,55.97,-64.0,GS,1574872945
2019-11-27 16:42:34,A339B4,DAL1453,,,,,,,,,1574872954
2019-11-27 16:42:34,A339B4,DAL1453,41.791109999999996,-87.83806,30975.0,,,,,,1574872954
2019-11-27 16:42:39,A339B4,DAL1453,41.797579999999996,-87.82521,30975.0,,,,,,1574872959
2019-11-27 16:42:40,A339B4,DAL1453,,,,,515.0,56.0,-64.0,GS,1574872960
2019-11-27 16:42:42,A339B4,DAL1453,41.801629999999996,-87.81716999999999,30975.0,,,,,,1574872962
2019-11-27 16:42:46,A339B4,DAL1453,41.80705,-87.80648000000001,30950.0,,,,,,1574872966
2019-11-27 16:42:49,A339B4,DAL1453,41.81131,-87.79799,30950.0,,,,,,1574872969
2019-11-27 16:42:50,A339B4,DAL1453,,,,,515.0,56.0,-64.0,GS,1574872970
2019-11-27 16:42:54,A339B4,DAL1453,41.81795,-87.78482,30950.0,,,,,,1574872974
2019-11-27 16:42:56,A339B4,DAL1453,,,,,515.0,56.16,-64.0,GS,1574872976
2019-11-27 16:42:58,A339B4,DAL1453,,,,,515.0,56.16,-64.0,GS,1574872978
2019-11-27 16:42:58,A339B4,DAL1453,41.82339,-87.77396,30950.0,,,,,,1574872978
2019-11-27 16:42:59,A339B4,DAL1453,41.82476,-87.77118,30950.0,,,,,,1574872979
2019-11-27 16:43:01,A339B4,DAL1453,,,,,515.0,56.16,0.0,GS,1574872981
2019-11-27 16:43:04,A339B4,DAL1453,,,,,,,,,1574872984
2019-11-27 16:43:10,A339B4,DAL1453,,,,,514.0,56.09,0.0,GS,1574872990
2019-11-27 16:43:24,A339B4,DAL1453,41.85777,-87.70561,30950.0,,,,,,1574873004
2019-11-27 16:43:28,A339B4,DAL1453,,,,,513.0,56.03,64.0,GS,1574873008
2019-11-27 16:43:29,A339B4,DAL1453,,,,,513.0,56.03,64.0,GS,1574873009
2019-11-27 16:43:31,A339B4,DAL1453,,,,,513.0,56.03,0.0,GS,1574873011
2019-11-27 16:43:31,A339B4,DAL1453,41.86722,-87.68674,30950.0,,,,,,1574873011
2019-11-27 16:43:39,A339B4,DAL1453,,,,,514.0,56.09,-64.0,GS,1574873019
2019-11-27 16:43:40,A339B4,DAL1453,,,,,514.0,56.09,-64.0,GS,1574873020
2019-11-27 16:43:49,A339B4,DAL1453,41.89073,-87.63991999999999,30950.0,,,,,,1574873029
2019-11-27 16:43:53,A339B4,DAL1453,41.89586,-87.62939,30975.0,,,,,,1574873033
2019-11-27 16:43:54,A339B4,DAL1453,,,,,516.0,57.17,320.0,GS,1574873034
2019-11-27 16:43:58,A339B4,DAL1453,41.90232,-87.61565,30975.0,,,,,,1574873038
2019-11-27 16:44:09,A339B4,DAL1453,41.91554,-87.58556,31000.0,,,,,,1574873049
2019-11-27 16:44:20,A339B4,DAL1453,41.92825,-87.55363,31000.0,,,,,,1574873060
