received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:23:53,A3A0CF,,,,,,548.0,123.78,-64.0,GS,1574875433
2019-11-27 17:24:24,A3A0CF,,,,,,548.0,124.07,64.0,GS,1574875464
2019-11-27 17:24:34,A3A0CF,,,,,,548.0,124.07,0.0,GS,1574875474
2019-11-27 17:25:51,A3A0CF,,,,,,548.0,124.07,0.0,GS,1574875551
2019-11-27 17:26:39,A3A0CF,,,,,,548.0,123.92,64.0,GS,1574875599
2019-11-27 17:26:42,A3A0CF,,42.56495,-89.11439,37000.0,,,,,,1574875602
2019-11-27 17:31:38,A3A0CF,,,,,,549.0,124.62,0.0,GS,1574875898
2019-11-27 17:31:50,A3A0CF,,,,,,549.0,124.47,0.0,GS,1574875910
2019-11-27 17:32:13,A3A0CF,,42.09384,-88.18234,37000.0,,,,,,1574875933
2019-11-27 17:32:34,A3A0CF,,,,,,550.0,124.41,0.0,GS,1574875954
2019-11-27 17:32:38,A3A0CF,,,,,,550.0,124.56,0.0,GS,1574875958
2019-11-27 17:33:19,A3A0CF,,42.00952,-87.988,37000.0,,,,,,1574875999
2019-11-27 17:33:54,A3A0CF,,,,,,571.0,90.7,0.0,GS,1574876034
2019-11-27 17:34:05,A3A0CF,,,,,,571.0,90.8,0.0,GS,1574876045
2019-11-27 17:34:07,A3A0CF,,41.99938,-87.82043,37000.0,,,,,,1574876047
2019-11-27 17:34:14,A3A0CF,,,,,,570.0,90.9,64.0,GS,1574876054
2019-11-27 17:34:22,A3A0CF,,,,,,,,,,1574876062
2019-11-27 17:34:41,A3A0CF,UAL1929,,,,,570.0,91.11,-64.0,GS,1574876081
2019-11-27 17:34:42,A3A0CF,UAL1929,,,,,,,,,1574876082
2019-11-27 17:35:00,A3A0CF,UAL1929,,,,,572.0,90.9,-64.0,GS,1574876100
2019-11-27 17:35:03,A3A0CF,UAL1929,41.9968,-87.62315,37000.0,,,,,,1574876103
2019-11-27 17:35:08,A3A0CF,UAL1929,,,,,572.0,90.8,-64.0,GS,1574876108
2019-11-27 17:35:53,A3A0CF,UAL1929,41.99501,-87.44523000000001,37000.0,,,,,,1574876153
