received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:20:36,A3E89A,,42.07077,-86.75329,36000.0,,,,,,1574871636
2019-11-27 16:22:28,A3E89A,,,,,,377.0,246.22,0.0,GS,1574871748
2019-11-27 16:22:31,A3E89A,,41.99058,-86.99861999999999,36000.0,,,,,,1574871751
2019-11-27 16:22:33,A3E89A,,,,,,377.0,246.08,0.0,GS,1574871753
2019-11-27 16:23:00,A3E89A,,,,,,376.0,246.36,0.0,GS,1574871780
2019-11-27 16:23:02,A3E89A,,,,,,376.0,246.5,-64.0,GS,1574871782
2019-11-27 16:23:05,A3E89A,,41.96686,-87.07058,36000.0,,,,,,1574871785
2019-11-27 16:23:12,A3E89A,,,,,,376.0,246.36,0.0,GS,1574871792
2019-11-27 16:23:38,A3E89A,,41.94315,-87.14256,36000.0,,,,,,1574871818
2019-11-27 16:23:43,A3E89A,,41.939609999999995,-87.1532,36000.0,,,,,,1574871823
2019-11-27 16:23:46,A3E89A,,41.93756,-87.15941,36000.0,,,,,,1574871826
2019-11-27 16:23:58,A3E89A,,,,,,376.0,246.02,64.0,GS,1574871838
2019-11-27 16:24:00,A3E89A,,41.928020000000004,-87.1882,36000.0,,,,,,1574871840
2019-11-27 16:24:11,A3E89A,,41.919959999999996,-87.21247,36000.0,,,,,,1574871851
2019-11-27 16:24:16,A3E89A,,41.91633,-87.22333,36000.0,,,,,,1574871856
2019-11-27 16:24:17,A3E89A,,,,,,377.0,246.08,0.0,GS,1574871857
2019-11-27 16:24:21,A3E89A,,,,,,377.0,246.22,0.0,GS,1574871861
2019-11-27 16:24:39,A3E89A,,,,,,377.0,246.08,-64.0,GS,1574871879
2019-11-27 16:24:49,A3E89A,,,,,,377.0,245.95,-64.0,GS,1574871889
2019-11-27 16:24:50,A3E89A,,41.892590000000006,-87.29505999999999,36000.0,,,,,,1574871890
2019-11-27 16:24:50,A3E89A,,,,,,377.0,245.95,-64.0,GS,1574871890
2019-11-27 16:24:53,A3E89A,,41.89054,-87.30126,36000.0,,,,,,1574871893
2019-11-27 16:24:54,A3E89A,,41.88984,-87.30343,36000.0,,,,,,1574871894
2019-11-27 16:25:01,A3E89A,,,,,,377.0,245.95,64.0,GS,1574871901
2019-11-27 16:25:02,A3E89A,,,,,,377.0,245.95,64.0,GS,1574871902
2019-11-27 16:25:05,A3E89A,,,,,,377.0,245.95,64.0,GS,1574871905
2019-11-27 16:25:12,A3E89A,,41.8765,-87.34337,36000.0,,,,,,1574871912
2019-11-27 16:25:16,A3E89A,,,,,,378.0,246.15,0.0,GS,1574871916
2019-11-27 16:25:16,A3E89A,,41.87369,-87.35191,36000.0,,,,,,1574871916
2019-11-27 16:25:26,A3E89A,,,,,,378.0,246.01,0.0,GS,1574871926
2019-11-27 16:25:35,A3E89A,,41.86042,-87.39196,36025.0,,,,,,1574871935
2019-11-27 16:25:48,A3E89A,,,,,,378.0,246.15,-64.0,GS,1574871948
2019-11-27 16:25:50,A3E89A,,41.84986,-87.42383000000001,36025.0,,,,,,1574871950
2019-11-27 16:25:51,A3E89A,,41.848929999999996,-87.42658,36025.0,,,,,,1574871951
2019-11-27 16:26:01,A3E89A,,,,,,377.0,245.95,64.0,GS,1574871961
