received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:33:53,A44A6D,,41.662440000000004,-89.05281,28950.0,,,,,,1574872433
2019-11-27 16:33:56,A44A6D,,,,,,550.0,74.63,64.0,GS,1574872436
2019-11-27 16:34:07,A44A6D,,,,,,550.0,74.73,64.0,GS,1574872447
2019-11-27 16:36:06,A44A6D,,,,,,544.0,74.89,-64.0,GS,1574872566
2019-11-27 16:36:08,A44A6D,,,,,,544.0,74.89,-64.0,GS,1574872568
2019-11-27 16:36:11,A44A6D,,,,,,544.0,74.89,-64.0,GS,1574872571
2019-11-27 16:36:12,A44A6D,,41.75523,-88.59987,29025.0,,,,,,1574872572
2019-11-27 16:36:41,A44A6D,,,,,,544.0,74.89,-64.0,GS,1574872601
2019-11-27 16:37:06,A44A6D,,,,,,542.0,74.94,0.0,GS,1574872626
2019-11-27 16:37:07,A44A6D,,41.79094,-88.42302,28975.0,,,,,,1574872627
2019-11-27 16:37:31,A44A6D,,,,,,543.0,75.07,-64.0,GS,1574872651
2019-11-27 16:37:47,A44A6D,,,,,,542.0,75.04,64.0,GS,1574872667
2019-11-27 16:37:52,A44A6D,,,,,,542.0,75.04,64.0,GS,1574872672
2019-11-27 16:38:00,A44A6D,,,,,,541.0,75.01,0.0,GS,1574872680
2019-11-27 16:38:03,A44A6D,,,,,,,,,,1574872683
2019-11-27 16:38:17,A44A6D,DAL1932,,,,,541.0,75.12,0.0,GS,1574872697
2019-11-27 16:38:48,A44A6D,DAL1932,,,,,541.0,75.12,0.0,GS,1574872728
2019-11-27 16:38:53,A44A6D,DAL1932,41.85942,-88.07945,29000.0,,,,,,1574872733
2019-11-27 16:38:54,A44A6D,DAL1932,41.85996,-88.07675,29000.0,,,,,,1574872734
2019-11-27 16:39:02,A44A6D,DAL1932,41.86508,-88.05082,29000.0,,,,,,1574872742
2019-11-27 16:39:03,A44A6D,DAL1932,,,,,540.0,75.22,0.0,GS,1574872743
2019-11-27 16:39:04,A44A6D,DAL1932,41.86634,-88.04437,29000.0,,,,,,1574872744
2019-11-27 16:39:19,A44A6D,DAL1932,,,,,540.0,75.32,64.0,GS,1574872759
2019-11-27 16:39:20,A44A6D,DAL1932,41.8765,-87.99275,29000.0,,,,,,1574872760
2019-11-27 16:39:25,A44A6D,DAL1932,,,,,539.0,75.29,0.0,GS,1574872765
2019-11-27 16:39:26,A44A6D,DAL1932,,,,,539.0,75.29,0.0,GS,1574872766
2019-11-27 16:39:27,A44A6D,DAL1932,41.88095,-87.96996,29000.0,,,,,,1574872767
2019-11-27 16:39:35,A44A6D,DAL1932,41.88612,-87.94377,29000.0,,,,,,1574872775
2019-11-27 16:39:35,A44A6D,DAL1932,,,,,539.0,75.19,0.0,GS,1574872775
2019-11-27 16:39:39,A44A6D,DAL1932,41.88863,-87.93101,29000.0,,,,,,1574872779
2019-11-27 16:39:40,A44A6D,DAL1932,,,,,539.0,75.29,-64.0,GS,1574872780
2019-11-27 16:39:46,A44A6D,DAL1932,,,,,540.0,75.32,-64.0,GS,1574872786
2019-11-27 16:39:52,A44A6D,DAL1932,,,,,540.0,75.32,-64.0,GS,1574872792
2019-11-27 16:39:59,A44A6D,DAL1932,,,,,540.0,75.32,0.0,GS,1574872799
2019-11-27 16:40:00,A44A6D,DAL1932,,,,,540.0,75.32,0.0,GS,1574872800
2019-11-27 16:40:02,A44A6D,DAL1932,,,,,540.0,75.32,0.0,GS,1574872802
2019-11-27 16:40:04,A44A6D,DAL1932,41.90456,-87.84962,29000.0,,,,,,1574872804
2019-11-27 16:40:06,A44A6D,DAL1932,41.90586,-87.84285,29000.0,,,,,,1574872806
2019-11-27 16:40:07,A44A6D,DAL1932,,,,,540.0,75.32,0.0,GS,1574872807
2019-11-27 16:40:07,A44A6D,DAL1932,41.90648,-87.83975,28975.0,,,,,,1574872807
2019-11-27 16:40:08,A44A6D,DAL1932,,,,,540.0,75.32,0.0,GS,1574872808
2019-11-27 16:40:08,A44A6D,DAL1932,41.90712,-87.83633,29000.0,,,,,,1574872808
2019-11-27 16:40:09,A44A6D,DAL1932,,,,,540.0,75.32,0.0,GS,1574872809
2019-11-27 16:40:10,A44A6D,DAL1932,,,,,540.0,75.32,0.0,GS,1574872810
2019-11-27 16:40:11,A44A6D,DAL1932,,,,,540.0,75.32,0.0,GS,1574872811
2019-11-27 16:40:11,A44A6D,DAL1932,41.909040000000005,-87.82645,29000.0,,,,,,1574872811
2019-11-27 16:40:16,A44A6D,DAL1932,,,,,540.0,75.32,0.0,GS,1574872816
2019-11-27 16:40:19,A44A6D,DAL1932,,,,,540.0,75.32,0.0,GS,1574872819
2019-11-27 16:40:21,A44A6D,DAL1932,41.91522,-87.79488,28975.0,,,,,,1574872821
2019-11-27 16:40:23,A44A6D,DAL1932,41.9166,-87.78794,28975.0,,,,,,1574872823
2019-11-27 16:40:24,A44A6D,DAL1932,41.91724,-87.78469,29000.0,,,,,,1574872824
2019-11-27 16:40:25,A44A6D,DAL1932,,,,,539.0,75.29,64.0,GS,1574872825
2019-11-27 16:40:26,A44A6D,DAL1932,,,,,539.0,75.29,64.0,GS,1574872826
2019-11-27 16:40:27,A44A6D,DAL1932,,,,,539.0,75.29,64.0,GS,1574872827
2019-11-27 16:40:28,A44A6D,DAL1932,41.91973,-87.77188000000001,28975.0,,,,,,1574872828
2019-11-27 16:40:29,A44A6D,DAL1932,,,,,539.0,75.29,64.0,GS,1574872829
2019-11-27 16:40:29,A44A6D,DAL1932,41.920390000000005,-87.76853,28975.0,,,,,,1574872829
2019-11-27 16:40:30,A44A6D,DAL1932,,,,,539.0,75.29,64.0,GS,1574872830
2019-11-27 16:40:33,A44A6D,DAL1932,,,,,539.0,75.29,64.0,GS,1574872833
2019-11-27 16:40:36,A44A6D,DAL1932,,,,,539.0,75.29,64.0,GS,1574872836
2019-11-27 16:40:38,A44A6D,DAL1932,,,,,539.0,75.4,0.0,GS,1574872838
2019-11-27 16:40:39,A44A6D,DAL1932,41.92685,-87.73550999999999,29000.0,,,,,,1574872839
2019-11-27 16:40:40,A44A6D,DAL1932,,,,,540.0,75.42,0.0,GS,1574872840
