received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:19,A4DF5A,,,,,,241.0,319.37,0.0,GS,1574871559
2019-11-27 16:19:20,A4DF5A,,41.69412,-87.53912,8450.0,,,,,,1574871560
2019-11-27 16:19:20,A4DF5A,,,,,,240.0,319.22,0.0,GS,1574871560
2019-11-27 16:19:21,A4DF5A,,41.69488,-87.54002,8450.0,,,,,,1574871561
2019-11-27 16:19:22,A4DF5A,,,,,,240.0,319.22,0.0,GS,1574871562
2019-11-27 16:19:22,A4DF5A,,41.69605,-87.54136,8450.0,,,,,,1574871562
2019-11-27 16:19:23,A4DF5A,,41.69656,-87.54194,8450.0,,,,,,1574871563
2019-11-27 16:19:24,A4DF5A,,41.69733,-87.54281,8450.0,,,,,,1574871564
2019-11-27 16:19:24,A4DF5A,,,,,,241.0,320.04,64.0,GS,1574871564
2019-11-27 16:19:25,A4DF5A,,,,,,241.0,320.04,0.0,GS,1574871565
2019-11-27 16:19:25,A4DF5A,,41.69875,-87.54431,8450.0,,,,,,1574871565
2019-11-27 16:19:26,A4DF5A,,41.69925,-87.54486999999999,8450.0,,,,,,1574871566
2019-11-27 16:19:26,A4DF5A,,,,,,242.0,321.86,0.0,GS,1574871566
2019-11-27 16:19:27,A4DF5A,,41.70016,-87.54574000000001,8450.0,,,,,,1574871567
2019-11-27 16:19:28,A4DF5A,,,,,,243.0,324.68,-64.0,GS,1574871568
2019-11-27 16:19:29,A4DF5A,,41.70215,-87.54749,8425.0,,,,,,1574871569
2019-11-27 16:19:30,A4DF5A,,41.70323,-87.54836,8425.0,,,,,,1574871570
2019-11-27 16:19:31,A4DF5A,,41.70438,-87.54915,8425.0,,,,,,1574871571
2019-11-27 16:19:32,A4DF5A,,,,,,250.0,332.62,64.0,GS,1574871572
2019-11-27 16:19:33,A4DF5A,,41.706520000000005,-87.55043,8425.0,,,,,,1574871573
2019-11-27 16:19:34,A4DF5A,,,,,,252.0,336.68,64.0,GS,1574871574
2019-11-27 16:19:34,A4DF5A,,,,,,252.0,336.68,64.0,GS,1574871574
2019-11-27 16:19:35,A4DF5A,,,,,,254.0,338.78,64.0,GS,1574871575
2019-11-27 16:19:35,A4DF5A,,41.70882,-87.55161,8450.0,,,,,,1574871575
2019-11-27 16:19:36,A4DF5A,,,,,,256.0,340.86,64.0,GS,1574871576
2019-11-27 16:19:36,A4DF5A,,41.70983,-87.55203,8450.0,,,,,,1574871576
2019-11-27 16:19:37,A4DF5A,,41.710879999999996,-87.55242,8450.0,,,,,,1574871577
2019-11-27 16:19:37,A4DF5A,,,,,,258.0,343.11,64.0,GS,1574871577
2019-11-27 16:19:40,A4DF5A,,,,,,262.0,349.25,64.0,GS,1574871580
2019-11-27 16:19:40,A4DF5A,,41.71434,-87.55337,8450.0,,,,,,1574871580
2019-11-27 16:19:41,A4DF5A,,41.71555,-87.55363,8450.0,,,,,,1574871581
2019-11-27 16:19:41,A4DF5A,,,,,,264.0,351.07,64.0,GS,1574871581
2019-11-27 16:19:42,A4DF5A,,,,,,265.0,353.09,0.0,GS,1574871582
2019-11-27 16:19:42,A4DF5A,,,,,,,,,,1574871582
2019-11-27 16:19:43,A4DF5A,AWI3779,41.71825,-87.55388,8450.0,,,,,,1574871583
2019-11-27 16:19:45,A4DF5A,AWI3779,,,,,271.0,358.73,-64.0,GS,1574871585
2019-11-27 16:19:45,A4DF5A,AWI3779,41.7209,-87.55391999999999,8450.0,,,,,,1574871585
2019-11-27 16:19:46,A4DF5A,AWI3779,,,,,273.0,0.21,-64.0,GS,1574871586
2019-11-27 16:19:47,A4DF5A,AWI3779,41.7223,-87.55388,8450.0,,,,,,1574871587
