received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:18:42,A533BD,,41.82751,-88.46645,27025.0,,,,,,1574875122
2019-11-27 17:19:19,A533BD,,41.83383,-88.34625,27000.0,,,,,,1574875159
2019-11-27 17:19:25,A533BD,,41.83484,-88.32652,27000.0,,,,,,1574875165
2019-11-27 17:19:26,A533BD,,41.835159999999995,-88.32065,27000.0,,,,,,1574875166
2019-11-27 17:19:44,A533BD,,41.83817,-88.26173,27000.0,,,,,,1574875184
2019-11-27 17:20:00,A533BD,,,,,,534.0,86.24,0.0,GS,1574875200
2019-11-27 17:20:07,A533BD,,41.8419,-88.18694,27000.0,,,,,,1574875207
2019-11-27 17:20:11,A533BD,,41.84258,-88.17371,27000.0,,,,,,1574875211
2019-11-27 17:20:14,A533BD,,41.84308,-88.16346999999999,27000.0,,,,,,1574875214
2019-11-27 17:20:22,A533BD,,41.844359999999995,-88.13676,27000.0,,,,,,1574875222
2019-11-27 17:20:31,A533BD,,,,,,534.0,86.24,0.0,GS,1574875231
2019-11-27 17:20:35,A533BD,,,,,,,,,,1574875235
2019-11-27 17:20:49,A533BD,UAL2248,,,,,534.0,86.24,-64.0,GS,1574875249
2019-11-27 17:20:59,A533BD,UAL2248,41.85032,-88.01441,27000.0,,,,,,1574875259
2019-11-27 17:21:02,A533BD,UAL2248,,,,,533.0,86.45,64.0,GS,1574875262
2019-11-27 17:21:05,A533BD,UAL2248,,,,,,,,,1574875265
2019-11-27 17:21:08,A533BD,UAL2248,41.85172,-87.98446,27000.0,,,,,,1574875268
2019-11-27 17:21:13,A533BD,UAL2248,,,,,531.0,86.55,-64.0,GS,1574875273
2019-11-27 17:21:20,A533BD,UAL2248,41.853390000000005,-87.94703,27000.0,,,,,,1574875280
2019-11-27 17:21:21,A533BD,UAL2248,41.853559999999995,-87.94406,27000.0,,,,,,1574875281
2019-11-27 17:21:21,A533BD,UAL2248,,,,,532.0,86.44,0.0,GS,1574875281
2019-11-27 17:21:24,A533BD,UAL2248,41.85405,-87.93355,27000.0,,,,,,1574875284
2019-11-27 17:21:27,A533BD,UAL2248,,,,,531.0,86.33,-64.0,GS,1574875287
2019-11-27 17:21:29,A533BD,UAL2248,41.85484,-87.91649,27000.0,,,,,,1574875289
2019-11-27 17:21:37,A533BD,UAL2248,41.856190000000005,-87.88935,27000.0,,,,,,1574875297
2019-11-27 17:21:39,A533BD,UAL2248,,,,,530.0,86.32,0.0,GS,1574875299
