received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:58:08,A566DA,,41.37305,-87.57129,36000.0,,,,,,1574873888
2019-11-27 17:00:41,A566DA,,41.59861,-87.76134,36000.0,,,,,,1574874041
2019-11-27 17:00:52,A566DA,,,,,,377.0,327.66,0.0,GS,1574874052
2019-11-27 17:01:45,A566DA,,41.69316,-87.8415,36000.0,,,,,,1574874105
2019-11-27 17:01:47,A566DA,,,,,,,,,,1574874107
2019-11-27 17:01:47,A566DA,RPA4676,,,,,377.0,327.45,0.0,GS,1574874107
2019-11-27 17:01:59,A566DA,RPA4676,41.71317,-87.85848,36000.0,,,,,,1574874119
2019-11-27 17:02:14,A566DA,RPA4676,,,,,377.0,327.45,0.0,GS,1574874134
2019-11-27 17:02:16,A566DA,RPA4676,,,,,377.0,327.45,-64.0,GS,1574874136
2019-11-27 17:02:25,A566DA,RPA4676,41.7518,-87.89131,36000.0,,,,,,1574874145
2019-11-27 17:02:27,A566DA,RPA4676,,,,,,,,,1574874147
2019-11-27 17:02:40,A566DA,RPA4676,,,,,375.0,327.49,0.0,GS,1574874160
2019-11-27 17:02:40,A566DA,RPA4676,41.77426,-87.91049,36000.0,,,,,,1574874160
2019-11-27 17:02:45,A566DA,RPA4676,41.78156,-87.91666,36000.0,,,,,,1574874165
2019-11-27 17:02:46,A566DA,RPA4676,41.782790000000006,-87.91771999999999,36000.0,,,,,,1574874166
2019-11-27 17:02:49,A566DA,RPA4676,41.7872,-87.92148,36000.0,,,,,,1574874169
2019-11-27 17:02:51,A566DA,RPA4676,41.79018,-87.92397,36000.0,,,,,,1574874171
2019-11-27 17:03:01,A566DA,RPA4676,41.80467,-87.93632,36000.0,,,,,,1574874181
2019-11-27 17:03:11,A566DA,RPA4676,,,,,375.0,327.41,0.0,GS,1574874191
2019-11-27 17:03:21,A566DA,RPA4676,,,,,375.0,327.41,-64.0,GS,1574874201
2019-11-27 17:03:35,A566DA,RPA4676,41.85448,-87.97889,36000.0,,,,,,1574874215
2019-11-27 17:03:36,A566DA,RPA4676,,,,,375.0,327.28,64.0,GS,1574874216
2019-11-27 17:03:43,A566DA,RPA4676,41.86592,-87.98867,36000.0,,,,,,1574874223
2019-11-27 17:03:45,A566DA,RPA4676,,,,,376.0,327.37,0.0,GS,1574874225
2019-11-27 17:03:47,A566DA,RPA4676,,,,,376.0,327.37,-64.0,GS,1574874227
2019-11-27 17:03:47,A566DA,RPA4676,,,,,,,,,1574874227
2019-11-27 17:03:49,A566DA,RPA4676,,,,,375.0,327.49,-64.0,GS,1574874229
2019-11-27 17:04:03,A566DA,RPA4676,,,,,375.0,327.41,-64.0,GS,1574874243
2019-11-27 17:04:05,A566DA,RPA4676,,,,,375.0,327.41,-64.0,GS,1574874245
2019-11-27 17:04:06,A566DA,RPA4676,41.89999,-88.0178,36000.0,,,,,,1574874246
2019-11-27 17:04:09,A566DA,RPA4676,,,,,374.0,327.33,64.0,GS,1574874249
2019-11-27 17:04:11,A566DA,RPA4676,41.90698,-88.0238,36000.0,,,,,,1574874251
2019-11-27 17:04:11,A566DA,RPA4676,,,,,374.0,327.33,64.0,GS,1574874251
2019-11-27 17:04:12,A566DA,RPA4676,41.9084,-88.02502,36000.0,,,,,,1574874252
2019-11-27 17:04:13,A566DA,RPA4676,41.909859999999995,-88.02629,36000.0,,,,,,1574874253
2019-11-27 17:04:18,A566DA,RPA4676,,,,,,,,,1574874258
2019-11-27 17:04:18,A566DA,RPA4676,41.91728,-88.03264,36000.0,,,,,,1574874258
2019-11-27 17:04:20,A566DA,RPA4676,,,,,373.0,327.46,64.0,GS,1574874260
2019-11-27 17:04:21,A566DA,RPA4676,41.92127,-88.03607,36000.0,,,,,,1574874261
2019-11-27 17:04:23,A566DA,RPA4676,,,,,373.0,327.46,-64.0,GS,1574874263
2019-11-27 17:04:24,A566DA,RPA4676,,,,,373.0,327.46,-64.0,GS,1574874264
2019-11-27 17:04:28,A566DA,RPA4676,41.93179,-88.04507,36000.0,,,,,,1574874268
2019-11-27 17:04:29,A566DA,RPA4676,,,,,373.0,327.46,0.0,GS,1574874269
2019-11-27 17:04:30,A566DA,RPA4676,41.93495,-88.04774,36000.0,,,,,,1574874270
