received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:52:11,A7FB7D,,41.4328,-88.41311,6725.0,,,,,,1574873531
2019-11-27 16:53:29,A7FB7D,,,,,,286.0,51.65,-960.0,GS,1574873609
2019-11-27 16:55:35,A7FB7D,,41.590140000000005,-88.11125,5400.0,,,,,,1574873735
2019-11-27 16:55:45,A7FB7D,,,,,,297.0,58.18,0.0,GS,1574873745
2019-11-27 16:55:46,A7FB7D,,,,,,,,,,1574873746
2019-11-27 16:55:49,A7FB7D,SKW3622,41.60029,-88.0894,5400.0,,,,,,1574873749
2019-11-27 16:55:51,A7FB7D,SKW3622,41.60165,-88.08644,5400.0,,,,,,1574873751
2019-11-27 16:55:57,A7FB7D,SKW3622,,,,,298.0,58.44,-64.0,GS,1574873757
2019-11-27 16:55:58,A7FB7D,SKW3622,41.60641,-88.07608,5400.0,,,,,,1574873758
2019-11-27 16:55:58,A7FB7D,SKW3622,41.60683,-88.07515,5400.0,,,,,,1574873758
2019-11-27 16:56:03,A7FB7D,SKW3622,,,,,297.0,58.34,-256.0,GS,1574873763
2019-11-27 16:56:10,A7FB7D,SKW3622,41.6157,-88.05599000000001,5325.0,,,,,,1574873770
2019-11-27 16:56:13,A7FB7D,SKW3622,41.61756,-88.05203,5275.0,,,,,,1574873773
2019-11-27 16:56:20,A7FB7D,SKW3622,41.62259,-88.04124,5150.0,,,,,,1574873780
2019-11-27 16:56:33,A7FB7D,SKW3622,41.63218,-88.0208,4925.0,,,,,,1574873793
2019-11-27 16:56:36,A7FB7D,SKW3622,41.63409,-88.01678000000001,4875.0,,,,,,1574873796
2019-11-27 16:56:38,A7FB7D,SKW3622,,,,,299.0,57.95,-1024.0,GS,1574873798
2019-11-27 16:56:45,A7FB7D,SKW3622,41.64065,-88.00291999999999,4750.0,,,,,,1574873805
2019-11-27 16:56:45,A7FB7D,SKW3622,,,,,303.0,57.77,-960.0,GS,1574873805
2019-11-27 16:56:46,A7FB7D,SKW3622,,,,,305.0,57.97,-1024.0,GS,1574873806
2019-11-27 16:56:54,A7FB7D,SKW3622,,,,,310.0,58.31,-960.0,GS,1574873814
2019-11-27 16:56:56,A7FB7D,SKW3622,41.6494,-87.98414,4575.0,,,,,,1574873816
2019-11-27 16:56:56,A7FB7D,SKW3622,,,,,312.0,58.34,-960.0,GS,1574873816
2019-11-27 16:56:57,A7FB7D,SKW3622,,,,,312.0,58.34,-960.0,GS,1574873817
2019-11-27 16:57:11,A7FB7D,SKW3622,,,,,306.0,58.75,320.0,GS,1574873831
2019-11-27 16:57:12,A7FB7D,SKW3622,41.66127,-87.95827,4350.0,,,,,,1574873832
2019-11-27 16:57:13,A7FB7D,SKW3622,,,,,306.0,58.75,384.0,GS,1574873833
2019-11-27 16:57:20,A7FB7D,SKW3622,41.66681,-87.94606999999999,4400.0,,,,,,1574873840
2019-11-27 16:57:21,A7FB7D,SKW3622,,,,,302.0,58.52,64.0,GS,1574873841
2019-11-27 16:57:29,A7FB7D,SKW3622,,,,,305.0,58.23,-128.0,GS,1574873849
2019-11-27 16:57:35,A7FB7D,SKW3622,,,,,310.0,58.15,-64.0,GS,1574873855
2019-11-27 16:57:37,A7FB7D,SKW3622,41.68016,-87.91722,4400.0,,,,,,1574873857
2019-11-27 16:57:45,A7FB7D,SKW3622,,,,,316.0,58.97,0.0,GS,1574873865
